,groupRef,typeRef,unit,value
2020-03-16 20:00:00+00:00,weatherRef,UBC Humidity,%RH,55.000000
2020-03-16 20:00:00+00:00,weatherRef,UBC Precipitation Probability,%,1.000000
2020-03-16 20:00:00+00:00,weatherRef,UBC Cloud Cover,%,0.000000
2020-03-16 20:02:21+00:00,weatherRef,UBC Running Mean Temp,°C,5.636005
2020-03-16 20:02:21+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659882
2020-03-16 20:02:52+00:00,weatherRef,UBC Running Mean Temp,°C,5.664157
2020-03-16 20:02:52+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669172
2020-03-16 20:09:12+00:00,weatherRef,UBC Running Mean Temp,°C,5.636003
2020-03-16 20:09:12+00:00,weatherRef,UBC Target Comfort Temp,°C,20.659881
2020-03-16 20:09:38+00:00,weatherRef,UBC Running Mean Temp,°C,5.664155
2020-03-16 20:09:38+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669171
2020-03-16 20:16:05+00:00,weatherRef,UBC Running Mean Temp,°C,5.664153
2020-03-16 20:16:05+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669170
2020-03-16 20:16:26+00:00,weatherRef,UBC Running Mean Temp,°C,5.664153
2020-03-16 20:16:26+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669170
2020-03-16 20:22:52+00:00,weatherRef,UBC Running Mean Temp,°C,5.664151
2020-03-16 20:22:52+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669170
2020-03-16 20:23:13+00:00,weatherRef,UBC Running Mean Temp,°C,5.664151
2020-03-16 20:23:13+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669170
2020-03-16 20:29:38+00:00,weatherRef,UBC Running Mean Temp,°C,5.664149
2020-03-16 20:29:38+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669169
2020-03-16 20:29:59+00:00,weatherRef,UBC Running Mean Temp,°C,5.664148
2020-03-16 20:29:59+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669169
2020-03-16 20:36:26+00:00,weatherRef,UBC Running Mean Temp,°C,5.664147
2020-03-16 20:36:26+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669168
2020-03-16 20:36:48+00:00,weatherRef,UBC Running Mean Temp,°C,5.664146
2020-03-16 20:36:48+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669168
2020-03-16 20:43:13+00:00,weatherRef,UBC Running Mean Temp,°C,5.664144
2020-03-16 20:43:13+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669168
2020-03-16 20:43:34+00:00,weatherRef,UBC Running Mean Temp,°C,5.664144
2020-03-16 20:43:34+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669168
2020-03-16 20:49:59+00:00,weatherRef,UBC Running Mean Temp,°C,5.664142
2020-03-16 20:49:59+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669167
2020-03-16 20:50:17+00:00,weatherRef,UBC Running Mean Temp,°C,5.664142
2020-03-16 20:50:17+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669167
2020-03-16 20:56:48+00:00,weatherRef,UBC Running Mean Temp,°C,5.664140
2020-03-16 20:56:48+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669166
2020-03-16 20:57:05+00:00,weatherRef,UBC Running Mean Temp,°C,5.696533
2020-03-16 20:57:05+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679856
2020-03-16 21:00:00+00:00,weatherRef,UBC Cloud Cover,%,0.000000
2020-03-16 21:00:00+00:00,weatherRef,UBC Precipitation Probability,%,0.000000
2020-03-16 21:00:00+00:00,weatherRef,UBC Condition,omit,clear
2020-03-16 21:00:00+00:00,weatherRef,UBC Wind Bearing,deg,247.500000
2020-03-16 21:00:00+00:00,weatherRef,UBC Temp,°C,6.800000
2020-03-16 21:00:00+00:00,weatherRef,UBC Visibility,km,16.093000
2020-03-16 21:00:00+00:00,weatherRef,UBC Solar Radiation,W/m²,639.000000
2020-03-16 21:00:00+00:00,weatherRef,UBC Humidity,%RH,57.000000
2020-03-16 21:00:00+00:00,weatherRef,UBC Windspeed,m/s,7.920000
2020-03-16 21:00:00+00:00,weatherRef,UBC Pressure,kPa,102.300003
2020-03-16 21:00:00+00:00,weatherRef,UBC Dewpoint,°C,-0.210000
2020-03-16 21:00:00+00:00,weatherRef,UBC Precipitation Intensity,mm,0.000000
2020-03-16 21:03:34+00:00,weatherRef,UBC Running Mean Temp,°C,5.664138
2020-03-16 21:03:34+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669166
2020-03-16 21:03:54+00:00,weatherRef,UBC Running Mean Temp,°C,5.696531
2020-03-16 21:03:54+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679855
2020-03-16 21:10:17+00:00,weatherRef,UBC Running Mean Temp,°C,5.664136
2020-03-16 21:10:17+00:00,weatherRef,UBC Target Comfort Temp,°C,20.669165
2020-03-16 21:10:42+00:00,weatherRef,UBC Running Mean Temp,°C,5.696529
2020-03-16 21:10:42+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679855
2020-03-16 21:17:05+00:00,weatherRef,UBC Running Mean Temp,°C,5.696527
2020-03-16 21:17:05+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679854
2020-03-16 21:17:26+00:00,weatherRef,UBC Running Mean Temp,°C,5.696527
2020-03-16 21:17:26+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679854
2020-03-16 21:23:54+00:00,weatherRef,UBC Running Mean Temp,°C,5.696525
2020-03-16 21:23:54+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679853
2020-03-16 21:24:05+00:00,weatherRef,UBC Running Mean Temp,°C,5.696525
2020-03-16 21:24:05+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679853
2020-03-16 21:30:42+00:00,weatherRef,UBC Running Mean Temp,°C,5.696523
2020-03-16 21:30:42+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679853
2020-03-16 21:30:49+00:00,weatherRef,UBC Running Mean Temp,°C,5.696523
2020-03-16 21:30:49+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679853
2020-03-16 21:37:26+00:00,weatherRef,UBC Running Mean Temp,°C,5.696521
2020-03-16 21:37:26+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679852
2020-03-16 21:37:31+00:00,weatherRef,UBC Running Mean Temp,°C,5.696521
2020-03-16 21:37:31+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679852
2020-03-16 21:44:05+00:00,weatherRef,UBC Running Mean Temp,°C,5.696519
2020-03-16 21:44:05+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679851
2020-03-16 21:44:19+00:00,weatherRef,UBC Running Mean Temp,°C,5.696519
2020-03-16 21:44:19+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679851
2020-03-16 21:50:49+00:00,weatherRef,UBC Running Mean Temp,°C,5.696517
2020-03-16 21:50:49+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679851
2020-03-16 21:51:10+00:00,weatherRef,UBC Running Mean Temp,°C,5.696517
2020-03-16 21:51:10+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679851
2020-03-16 21:57:31+00:00,weatherRef,UBC Running Mean Temp,°C,5.696515
2020-03-16 21:57:31+00:00,weatherRef,UBC Target Comfort Temp,°C,20.679850
2020-03-16 21:58:04+00:00,weatherRef,UBC Running Mean Temp,°C,5.731379
2020-03-16 21:58:04+00:00,weatherRef,UBC Target Comfort Temp,°C,20.691355
