id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,water,zone,mod
@p:ubcv:r:23d51440-d9fc211b Brock Hall Unsorted Points JCL-NAE11/Programming.M&V.ML-6N1M-1_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007313,✓,JCL-NAE11/Programming.M&V.ML-6N1M-1_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45931,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.693-07:00 Los_Angeles,"","","",JCL-NAE11/Programming.M&V.ML-6N1M-1_EM_kwh,✓,AV3007312,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/Programming.M&V.ML-6N1M-1_EM_kwh.Trend1,Los_Angeles,kWh,"","","","",2020-04-09T19:01:59.05Z UTC
@p:ubcv:r:23d51440-8e6181c1 Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-08.PW5-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004568,✓,JCL-NAE11/FC-A.FEC-11A-08.PW5-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:03-07:00 Los_Angeles,"","",4116,2019-01-06T06:00:35-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:17.097-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.FEC-11A-08.PW5-S,✓,BI3003873,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-08.PW5-S.Trend1,Los_Angeles,"","","","","",2020-04-08T18:55:07.071Z UTC
@p:ubcv:r:23d51441-0cdad7ac Brock Hall Unsorted Points JCL-NAE11/FC-A.RTU-1.BV-6.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007418,✓,JCL-NAE11/FC-A.RTU-1.BV-6.Trend1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45919,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:25.7-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.RTU-1.BV-6.Trend1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","","",Los_Angeles,"","","","","",2020-04-08T18:49:35.804Z UTC
@p:ubcv:r:23d51441-de6e80e9 Brock Hall Unsorted Points JCL-NAE11/Programming.M&V.HRV-1 OA PH_HWLT,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3009310,✓,JCL-NAE11/Programming.M&V.HRV-1 OA PH_HWLT,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45919,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.709-07:00 Los_Angeles,"","","",JCL-NAE11/Programming.M&V.HRV-1 OA PH_HWLT,✓,AV3009309,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/Programming.M&V.HRV-1 OA PH_HWLT.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:59.052Z UTC
@p:ubcv:r:23d51440-d2be9b7f Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-07.DHR-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004505,✓,JCL-NAE11/FC-A.FEC-11A-07.DHR-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68624,2019-01-17T14:50:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.971-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.FEC-11A-07.DHR-T,✓,AI3003819,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-07.DHR-T.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:59.056Z UTC
@p:ubcv:r:23d5143f-5e35e465 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-19.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004259,✓,JCL-NAE11/FC-A.VMA-11A-19.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.947-07:00 Los_Angeles,"","","",Discharge Air Pressure Cmd,"",AI3003257,"","","","",✓,"","","",✓,"","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-7f24f88c .+(\.|-| )(SA|DA)-VP,"","",JCL-NAE11/FC-A.VMA-11A-19.DA-VP.Trend1,Los_Angeles,Pa,"","","","",2020-04-09T19:01:59.057Z UTC
@p:ubcv:r:23d5143f-35a27038 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-17.SA-F,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004188,✓,JCL-NAE11/FC-A.VMA-11A-17.SA-F,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","",✓,@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.954-07:00 Los_Angeles,"","","",Discharge Air Flow,"",AV3003234,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE11/FC-A.VMA-11A-17.SA-F.Trend1,Los_Angeles,L/s,"","","","",2020-04-09T19:01:59.058Z UTC
@p:ubcv:r:23d51440-54407148 Brock Hall Unsorted Points JCL-NAE11/Programming.M&V.RTU-1_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007303,✓,JCL-NAE11/Programming.M&V.RTU-1_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45918,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.725-07:00 Los_Angeles,"","","",JCL-NAE11/Programming.M&V.RTU-1_EM_kwh,✓,AV3007302,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/Programming.M&V.RTU-1_EM_kwh.Trend1,Los_Angeles,_,"","","","",2020-04-09T19:15:03.845Z UTC
@p:ubcv:r:23d5143f-f5d60681 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-29.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004399,✓,JCL-NAE11/FC-A.VND-11A-29.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T20:42:13-07:00 Los_Angeles,"","",707,2019-02-06T16:09:29-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.862-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-29.BO-1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-29.BO-1.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:21.688Z UTC
@p:ubcv:r:23d51441-ae248273 Brock Hall Unsorted Points JCL-NAE11/FC-A.RTU-1.AV-14,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007416,✓,JCL-NAE11/FC-A.RTU-1.AV-14,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45914,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.737-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.RTU-1.AV-14,✓,AV3006972,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.RTU-1.AV-14.Trend1,Los_Angeles,_,"","","","",2020-04-09T19:15:03.847Z UTC
@p:ubcv:r:23d51441-6989de21 Brock Hall Unsorted Points JCL-NAE11/FC-A.HRV-1 Integration.AO-13,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007415,✓,JCL-NAE11/FC-A.HRV-1 Integration.AO-13,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45919,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.754-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.HRV-1 Integration.AO-13,✓,AO3006148,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.HRV-1 Integration.AO-13.Trend1,Los_Angeles,%,"","","","",2020-04-09T19:01:59.062Z UTC
@p:ubcv:r:23d51440-40dc280d Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-06.RA-T,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004475,✓,JCL-NAE11/FC-A.FEC-11A-06.RA-T,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:10:00-07:00 Los_Angeles,"","",68600,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:32.987-07:00 Los_Angeles,"","","",Return Air Temp,"",AI3003793,"","","","",✓,"","","","","","",✓,"","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-33dbc1b0 .+(\.|-| )RA-T,"",✓,JCL-NAE11/FC-A.FEC-11A-06.RA-T.Trend1,Los_Angeles,°C,"","","","",2020-04-09T19:01:59.064Z UTC
@p:ubcv:r:23d51440-3e8272aa Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-4,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3006086,✓,JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-4,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",44302,2019-01-18T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.772-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-4,✓,AI3006065,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-4.Trend1,Los_Angeles,W,"","","","",2020-04-09T19:01:59.065Z UTC
@p:ubcv:r:23d51440-63fcfd68 Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-04.EF6-S,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004457,✓,JCL-NAE11/FC-A.FEC-11A-04.EF6-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,✓,✓,"",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-04-15T01:29:36-07:00 Los_Angeles,"","",204,2018-06-08T12:49:55-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.515-07:00 Los_Angeles,"","","",Exhaust Fan Run Feedback,"",BI3003780,"","","","",✓,"","","","","","","",✓,"",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-04.EF6-S.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:19.017Z UTC
@p:ubcv:r:23d5143f-456d1c55 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-41.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004411,✓,JCL-NAE11/FC-A.VND-11A-41.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T20:42:12-07:00 Los_Angeles,"","",358,2019-01-16T00:03:22-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.688-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-41.BO-1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-41.BO-1.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:20.11Z UTC
@p:ubcv:r:23d51440-b1d7560f Brock Hall Unsorted Points JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3006083,✓,JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45500,2019-01-18T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.787-07:00 Los_Angeles,"","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-1,✓,AI3006062,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/BACnet IP integration interface.114 - Electrical Submeter 2.AI-1.Trend1,Los_Angeles,W,"","","","",2020-04-09T19:01:59.066Z UTC
@p:ubcv:r:23d5143f-bbdcec0f Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-18.DPR-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004225,✓,JCL-NAE11/FC-A.VMA-11A-18.DPR-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.967-07:00 Los_Angeles,"","","",Discharge Air Damper Cmd,"",AO3003247,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE11/FC-A.VMA-11A-18.DPR-O.Trend1,Los_Angeles,%,"","","","",2020-04-14T16:50:02.676Z UTC
@p:ubcv:r:23d51440-000525e0 Brock Hall Unsorted Points JCL-NAE11/Programming.M&V.Level10-18_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3007309,✓,JCL-NAE11/Programming.M&V.Level10-18_EM_kwh,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",45919,2019-01-17T03:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:25.813-07:00 Los_Angeles,"","","",JCL-NAE11/Programming.M&V.Level10-18_EM_kwh,✓,AV3007308,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/Programming.M&V.Level10-18_EM_kwh.Trend1,Los_Angeles,kWh,"","","","",2020-04-09T19:01:59.07Z UTC
@p:ubcv:r:23d5143f-e6482d97 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-09.SA-F,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3003912,✓,JCL-NAE11/FC-A.VMA-11A-09.SA-F,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","",✓,@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.973-07:00 Los_Angeles,"","","",Discharge Air Flow,"",AV3003146,"","","","",✓,"","","","","","","","","",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE11/FC-A.VMA-11A-09.SA-F.Trend1,Los_Angeles,L/s,"","","","",2020-04-09T19:01:59.071Z UTC
@p:ubcv:r:23d5143f-f7344637 Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-12.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004019,✓,JCL-NAE11/FC-A.VMA-11A-12.DA-VP,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.981-07:00 Los_Angeles,"","","",Discharge Air Pressure Cmd,"",AI3003181,"","","","",✓,"","","",✓,"","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-7f24f88c .+(\.|-| )(SA|DA)-VP,"","",JCL-NAE11/FC-A.VMA-11A-12.DA-VP.Trend1,Los_Angeles,Pa,"","","","",2020-04-09T19:01:59.072Z UTC
@p:ubcv:r:23d51440-12cecd7f Brock Hall Unsorted Points JCL-NAE11/FC-A.FEC-11A-24.EF-4 EF4-S,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004597,✓,JCL-NAE11/FC-A.FEC-11A-24.EF-4 EF4-S,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,✓,✓,"",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-04-16T14:13:19-07:00 Los_Angeles,"","",203,2018-06-08T12:49:59-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.552-07:00 Los_Angeles,"","","",Exhaust Fan Run Feedback,"",BI3003882,"","","","",✓,"","","","","","","",✓,"",✓,@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.FEC-11A-24.EF-4 EF4-S.Trend1,Los_Angeles,"","","","","",2020-04-08T18:55:04.975Z UTC
@p:ubcv:r:23d5143f-ac58801a Brock Hall Unsorted Points JCL-NAE11/FC-A.VMA-11A-14.DPR-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004090,✓,JCL-NAE11/FC-A.VMA-11A-14.DPR-O,✓,"",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",22920,2019-01-17T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:14:17.996-07:00 Los_Angeles,"","","",Discharge Air Damper Cmd,"",AO3003204,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE11/FC-A.VMA-11A-14.DPR-O.Trend1,Los_Angeles,%,"","","","",2020-04-14T16:50:00.806Z UTC
@p:ubcv:r:23d5143f-cd45fbf7 Brock Hall Unsorted Points JCL-NAE11/FC-A.VND-11A-38.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"",TL3004408,✓,JCL-NAE11/FC-A.VND-11A-38.BO-1,"","",@p:ubcv:r:21e6b1e6-abdb0612 BRCK (NAE-11),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d51329-aa3ab65a Brock Hall Unsorted Points,"","","",@p:ubcv:r:23d51329-26c18c41 Brock Hall Unsorted Points,"",✓,"","","",2020-05-11T20:42:12-07:00 Los_Angeles,"","",343,2019-01-16T00:03:22-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:14:16.565-07:00 Los_Angeles,"","","",JCL-NAE11/FC-A.VND-11A-38.BO-1,✓,"","","","","",✓,"","","","","","","","","","",@p:ubcv:r:209d153f-1e4b0233 Brock Hall,"","","","","","","","",JCL-NAE11/FC-A.VND-11A-38.BO-1.Trend1,Los_Angeles,"","","","","",2020-04-08T18:50:20.329Z UTC
