id,air,alarm,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,covTest,current,damper,delta,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,filter,flow,gas,groupRef,heating,highLim,his,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,lowLim,max,min,mode,navName,noTagMatch,objectId,occ,outside,point,pointType,power,pressure,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,tags,temp,testUnits,tlName,tz,unit,utilityPoint,volt,voltage,volume,water,zone,mod
@p:ubcv:r:23d11ee1-2650ad2b NSDC Unsorted Points NSDC_VAV211_RM219A_DMP,✓,"",@p:ubcv:r:23d10ff4-a00d027c NSDC NSDC_VAV211_RM219A (780231),TL6,✓,NSDC_VAV211_RM219A_DMP,✓,"",@p:ubcv:r:23d10ff4-a00d027c NSDC NSDC_VAV211_RM219A (780231),"","",✓,"","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:42:53-07:00 Los_Angeles,"","",43057,2019-01-13T13:05:34-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:53.131-07:00 Los_Angeles,2019-01-23T16:53:00.571-08:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"",AV16,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"","","",NSDC_VAV211_RM219A_DMP_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:44.967Z UTC
@p:ubcv:r:23d11a8e-68685480 NSDC Unsorted Points NSDC_2N1M_PWR_MTR_PHASE_C_VOLTAGE,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1376,✓,NSDC_2N1M_PWR_MTR_PHASE_C_VOLTAGE,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:41-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:13-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:45.906-07:00 Los_Angeles,"","","","","","",NSDC_2N1M_PWR_MTR_PHASE_C_VOLTAGE,✓,AV1307,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_2N1M_PWR_MTR_PHASE_C_VOLTAGE_POLL_TL,Los_Angeles,V,"","","","","","",2020-04-09T19:02:44.098Z UTC
@p:ubcv:r:23d11b9e-1ebcb1bb NSDC Unsorted Points NSDC_AHU2_VFD2_kWh,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL591,✓,NSDC_AHU2_VFD2_kWh,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","",✓,"",✓,"","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:31-07:00 Los_Angeles,"","",44842,2019-01-13T12:37:28-08:00 Los_Angeles,ok,✓,"",Number,2020-05-12T15:45:53.667-07:00 Los_Angeles,2019-01-23T16:53:05.683-08:00 Los_Angeles,"","","","","",Energy,"",AV443,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0e-401f02be .+_kWh(\(Total\))?(_TL)?,"","","",NSDC_AHU2_VFD2_kWh_POLL_TL,Los_Angeles,kWh,"","","","","","",2020-04-09T19:02:44.503Z UTC
@p:ubcv:r:23d11a8f-c6df8a9d NSDC Unsorted Points NSDC_GM6_MTR_THIS_SEP,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL342,✓,NSDC_GM6_MTR_THIS_SEP,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:38-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:17-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:43.787-07:00 Los_Angeles,"","","","","","",NSDC_GM6_MTR_THIS_SEP,✓,AV286,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_GM6_MTR_THIS_SEP_POLL_TL,Los_Angeles,m³,"","","","","","",2020-04-09T19:02:44.101Z UTC
@p:ubcv:r:245f5db0-5fc2e295 NSDC Unsorted Points NSDC_VAV225_RM206_SAT,✓,"",@p:ubcv:r:245f5c62-9593d8b2 NSDC_VAV225_RM206 (780245),TL97,✓,NSDC_VAV225_RM206_SAT,"","",@p:ubcv:r:245f5c62-9593d8b2 NSDC_VAV225_RM206 (780245),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:43:27-07:00 Los_Angeles,"","",32323,2019-05-01T11:22:18-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:16.285-07:00 Los_Angeles,"","","","","","",Discharge Air Temp,"",AI1,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,"",✓,"",NSDC_VAV225_RM206_SAT_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:45.089Z UTC
@p:ubcv:r:23d11b19-72733392 NSDC Unsorted Points NSDC_HRV4_EF_S,✓,"",@p:ubcv:r:23d10ea4-235f480f NSDC NSDC_HRV4_Rms157_158 (780110),TL1,✓,NSDC_HRV4_EF_S,"","",@p:ubcv:r:23d10ea4-235f480f NSDC NSDC_HRV4_Rms157_158 (780110),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,✓,✓,"","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-03T06:54:30-07:00 Los_Angeles,conn fault,"",43471,2019-01-13T12:46:41-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.373-07:00 Los_Angeles,2019-01-23T16:52:50.85-08:00 Los_Angeles,"","","","","","Exhaust Fan Run ","",AI1,"","",✓,"","","","","","","",✓,"",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:24413a2c-c7fd0c25 (.+_)?EF_?(\d+)?(_A_\d+)?_F?S(_.+)?(_TL)?,"","","",NSDC_HRV4_EF_S_POLL_TL,Los_Angeles,A,"","","","","","",2020-04-09T19:02:44.449Z UTC
@p:ubcv:r:23d11a8f-a9015c17 NSDC Unsorted Points NSDC_GM8_MTR_THIS_APR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL367,✓,NSDC_GM8_MTR_THIS_APR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:42-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:17-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:45.926-07:00 Los_Angeles,"","","","","","",NSDC_GM8_MTR_THIS_APR,✓,AV311,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_GM8_MTR_THIS_APR_POLL_TL,Los_Angeles,m³,"","","","","","",2020-04-09T19:02:44.104Z UTC
@p:ubcv:r:23d11a8f-1ea167c4 NSDC Unsorted Points NSDC_GM5_MTR_CURRENT_DEMAND_M3_PER_MIN,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL308,✓,NSDC_GM5_MTR_CURRENT_DEMAND_M3_PER_MIN,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:39-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:16-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:44.925-07:00 Los_Angeles,"","","","","","",NSDC_GM5_MTR_CURRENT_DEMAND_M3_PER_MIN,✓,AV252,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_GM5_MTR_CURRENT_DEMAND_M3_PER_MIN_POLL_TL,Los_Angeles,m³/min,"","","","","","",2020-04-09T19:02:44.105Z UTC
@p:ubcv:r:23d11a8e-58ccf662 NSDC Unsorted Points NSDC_2N1P_PWR_MTR_PHASE_A_REACTIVE_POWER,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1337,✓,NSDC_2N1P_PWR_MTR_PHASE_A_REACTIVE_POWER,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","",✓,"","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,VAR => kW,2020-05-12T15:32:43-07:00 Los_Angeles,"","",45346,2019-01-13T12:38:11-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:48.207-07:00 Los_Angeles,2019-01-23T16:52:52.068-08:00 Los_Angeles,"","","","","",Power,"",AV1199,"","",✓,"",✓,"","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0f-1a1d5719 .+_POWER(_TL)?,"","","",NSDC_2N1P_PWR_MTR_PHASE_A_REACTIVE_POWER_POLL_TL,Los_Angeles,kW,"","","","","","",2020-04-17T22:31:59.997Z UTC
@p:ubcv:r:245f5db0-4283af95 NSDC Unsorted Points NSDC_VAV225_RM206_FLW,✓,"",@p:ubcv:r:245f5c62-9593d8b2 NSDC_VAV225_RM206 (780245),TL3,✓,NSDC_VAV225_RM206_FLW,"","",@p:ubcv:r:245f5c62-9593d8b2 NSDC_VAV225_RM206 (780245),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","",✓,"",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:43:21-07:00 Los_Angeles,"","",32324,2019-05-01T11:22:00-07:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:15.137-07:00 Los_Angeles,"","","","","","",Discharge Air Flow,"",AV18,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV225_RM206_FLW_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:45.09Z UTC
@p:ubcv:r:23d11b08-bacf518b NSDC Unsorted Points NSDC_HRV2_AVG_RT,✓,"",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),TL15,✓,NSDC_HRV2_AVG_RT,"","",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:40:21-07:00 Los_Angeles,"","",45337,2019-01-13T12:33:24-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:41:25-07:00 Los_Angeles,2019-01-23T16:53:13.055-08:00 Los_Angeles,"","","","","",Zone Temp,"",AV3,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",NSDC_HRV2_AVG_RT_POLL_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:44.439Z UTC
@p:ubcv:r:23d11a8e-ec562e23 NSDC Unsorted Points NSDC_2N1P_PWR_MTR_PHASE_B_REAL_POWER,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1335,✓,NSDC_2N1P_PWR_MTR_PHASE_B_REAL_POWER,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","",✓,"","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,W => kW,2020-05-12T15:32:40-07:00 Los_Angeles,"","",45346,2019-01-13T12:38:11-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:43.796-07:00 Los_Angeles,2019-01-23T16:52:57.02-08:00 Los_Angeles,"","","","","",Power,"",AV1197,"","",✓,"",✓,"","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0f-1a1d5719 .+_POWER(_TL)?,"","","",NSDC_2N1P_PWR_MTR_PHASE_B_REAL_POWER_POLL_TL,Los_Angeles,kW,"","","","","","",2020-04-21T20:26:57.003Z UTC
@p:ubcv:r:23d11ec8-e4a48eaf NSDC Unsorted Points NSDC_VAV210_RM222_VLV,"","",@p:ubcv:r:23d10ff4-b1af6622 NSDC NSDC_VAV210_RM222 (780230),TL98,✓,NSDC_VAV210_RM222_VLV,"","",@p:ubcv:r:23d10ff4-b1af6622 NSDC NSDC_VAV210_RM222 (780230),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:42:56-07:00 Los_Angeles,"","",43624,2019-01-13T13:05:40-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:44:34.895-07:00 Los_Angeles,"","","","","","",NSDC_VAV210_RM222_VLV,✓,AO3,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV210_RM222_VLV_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:44.955Z UTC
@p:ubcv:r:23d11c12-38f4f75b NSDC Unsorted Points NSDC_VAV304_RM316_SOUTH_SAT,✓,"",@p:ubcv:r:23d10ff4-82a30d9c NSDC NSDC_VAV304_RM316S (780204),TL96,✓,NSDC_VAV304_RM316_SOUTH_SAT,"","",@p:ubcv:r:23d10ff4-82a30d9c NSDC NSDC_VAV304_RM316S (780204),"","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:42:56-07:00 Los_Angeles,"","",44612,2019-01-13T12:50:40-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:46:58.863-07:00 Los_Angeles,2019-01-23T16:53:23.415-08:00 Los_Angeles,"","","","","",Discharge Air Temp,"",AI1,"","",✓,"","","","","","","","","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,"",✓,"",NSDC_VAV304_RM316_SOUTH_SAT_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:44.761Z UTC
@p:ubcv:r:23d11b3d-4f58940f NSDC Unsorted Points NSDC_OAT_AV_MUXED_CP780112,"","",@p:ubcv:r:23d10ea4-0b416085 NSDC NSDC_HRV6_Rm163 (780112),TL12,✓,NSDC_OAT_AV_MUXED_CP780112,"","",@p:ubcv:r:23d10ea4-0b416085 NSDC NSDC_HRV6_Rm163 (780112),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:37:50-07:00 Los_Angeles,"","",44389,2019-01-13T12:46:31-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:41:24.508-07:00 Los_Angeles,"","","","","","",NSDC_OAT_AV_MUXED_CP780112,✓,AV10,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_OAT_AV_MUXED_CP780112_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:44.459Z UTC
@p:ubcv:r:23d11acd-613e344e NSDC Unsorted Points NSDC_AHU1_SFS_BV_MUXED_CP780104,"","",@p:ubcv:r:23d10ea4-310e7086 NSDC NSDC_VAV101_RM112 (780104),TL94,✓,NSDC_AHU1_SFS_BV_MUXED_CP780104,"","",@p:ubcv:r:23d10ea4-310e7086 NSDC NSDC_VAV101_RM112 (780104),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T05:04:14-07:00 Los_Angeles,"","",1477,2019-01-10T23:35:33-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:48:01.805-07:00 Los_Angeles,"","","","","","",NSDC_AHU1_SFS_BV_MUXED_CP780104,✓,BV12,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_AHU1_SFS_BV_MUXED_CP780104_POLL_TL,Los_Angeles,"","","","","","","",2020-04-08T18:54:46.444Z UTC
@p:ubcv:r:23d11b9e-43128c95 NSDC Unsorted Points NSDC_AHU2_RAT,✓,"",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),TL8,✓,NSDC_AHU2_RAT,"","",@p:ubcv:r:23d10dfd-0745560d NSDC NSDC_eBMGR_LVL3_AHUs (780200),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:45:26-07:00 Los_Angeles,"","",44842,2019-01-13T12:37:26-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:45:52.836-07:00 Los_Angeles,2019-01-23T16:53:02.772-08:00 Los_Angeles,"","","","","",Return Air Temp,"",AI1301,"","",✓,"","","","","","",✓,"","",✓,@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","",@p:ubcv:r:23e65d0f-3b2d274c .+_RAT(_TL)?,"",✓,"",NSDC_AHU2_RAT_POLL_TL,Los_Angeles,°C,"","","","","","",2020-04-09T19:02:44.514Z UTC
@p:ubcv:r:23d11a90-357a14aa NSDC Unsorted Points NSDC_DHW_WC_B4_ENAB,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL428,✓,NSDC_DHW_WC_B4_ENAB,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-04-09T04:29:07-07:00 Los_Angeles,"","",10,2019-05-11T17:55:15-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:42:40.885-07:00 Los_Angeles,"","","","","","",NSDC_DHW_WC_B4_ENAB,✓,BO1702,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_DHW_WC_B4_ENAB_COV_TL,Los_Angeles,"","","","","","","",2020-04-08T18:49:37.032Z UTC
@p:ubcv:r:23d11a8f-48a1c76a NSDC Unsorted Points NSDC_6N1M_PWR_MTR_THIS_FEB_PEAK_DEMAND,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL1513,✓,NSDC_6N1M_PWR_MTR_THIS_FEB_PEAK_DEMAND,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:49-07:00 Los_Angeles,"","",45347,2019-01-13T12:38:16-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:49.008-07:00 Los_Angeles,"","","","","","",NSDC_6N1M_PWR_MTR_THIS_FEB_PEAK_DEMAND,✓,AV1482,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_6N1M_PWR_MTR_THIS_FEB_PEAK_DEMAND_POLL_TL,Los_Angeles,Wh,"","","","","","",2020-04-09T19:02:44.124Z UTC
@p:ubcv:r:23d11a8f-2fdf61b4 NSDC Unsorted Points NSDC_WM3_MTR_LAST_YEAR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),TL409,✓,NSDC_WM3_MTR_LAST_YEAR,"","",@p:ubcv:r:23d10dfd-af69e495 NSDC NSDC_eBMGR_LVL1_BLR_HWS_DHW (780100),✓,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:32:37-07:00 Los_Angeles,"",cov,45347,2019-01-13T12:38:14-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:42:42.772-07:00 Los_Angeles,"","","","","","",NSDC_WM3_MTR_LAST_YEAR,✓,AV86,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_WM3_MTR_LAST_YEAR_POLL_TL,Los_Angeles,L,"","","","","","",2020-04-09T19:02:44.125Z UTC
@p:ubcv:r:23d11efb-9ce4690c NSDC Unsorted Points NSDC_VAV212_RM223_VLV_AV,"","",@p:ubcv:r:23d10ff4-4dfbe486 NSDC NSDC_VAV212_RM223 (780232),TL93,✓,NSDC_VAV212_RM223_VLV_AV,"","",@p:ubcv:r:23d10ff4-4dfbe486 NSDC NSDC_VAV212_RM223 (780232),"","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:42:50-07:00 Los_Angeles,"","",43424,2019-01-13T13:06:05-08:00 Los_Angeles,ok,"","",Number,2020-05-12T15:49:37.406-07:00 Los_Angeles,"","","","","","",NSDC_VAV212_RM223_VLV_AV,✓,AV49,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV212_RM223_VLV_AV_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:44.978Z UTC
@p:ubcv:r:23d11eaa-75b8abe8 NSDC Unsorted Points NSDC_VAV209_RM216_DMP_OP,"","",@p:ubcv:r:23d10ff4-e27fb918 NSDC NSDC_VAV209_RM216 (780229),TL92,✓,NSDC_VAV209_RM216_DMP_OP,"","",@p:ubcv:r:23d10ff4-e27fb918 NSDC NSDC_VAV209_RM216 (780229),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-12T15:37:38-07:00 Los_Angeles,"","",38153,2019-01-14T20:06:14-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:49:34.69-07:00 Los_Angeles,"","","","","","",NSDC_VAV209_RM216_DMP_OP,✓,BO6,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_VAV209_RM216_Dmp_Open_TL*,Los_Angeles,"","","","","","","",2020-04-08T18:54:50.598Z UTC
@p:ubcv:r:23d11b08-7a02f17d NSDC Unsorted Points NSDC_HRV2_RM153_MOT_BV,"","",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),TL25,✓,NSDC_HRV2_RM153_MOT_BV,"","",@p:ubcv:r:23d10ea4-d8686a06 NSDC NSDC_HRV2_Rms153_154 (780108),"","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d11a43-845f5b70 NSDC Unsorted Points,✓,"","","","","",@p:ubcv:r:23d11a43-674f631f NSDC Unsorted Points,"","",✓,"",2020-05-11T14:42:46-07:00 Los_Angeles,"","",31064,2019-01-12T14:32:11-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T15:41:21.925-07:00 Los_Angeles,"","","","","","",NSDC_HRV2_RM153_MOT_BV,✓,BV5,"","",✓,"","","","","","","","","","",@p:ubcv:r:222c8b4a-3766c50d NSDC,"","","","","","","","","","",NSDC_HRV2_RM153_MOT_BV_COV_TL,Los_Angeles,"","","","","","","",2020-04-08T18:53:11.855Z UTC
