id,air,average,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cur,curConvert,curErr,curStatus,damper,delta,deltaTempPoint,demand,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,pump,quantityID,return,run,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:25a3574d-2fc91f90 Cunningham Unsorted Points CUNNINGHAM_AHU03_RAT,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL16,"",CUNNINGHAM_AHU03_RAT,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Return Air Temp,"",AI1104,"","","","",✓,"","","","",✓,"",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-3b2d274c .+_RAT(_TL)?,✓,CUNNINGHAM_AHU03_RAT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.125Z UTC
@p:ubcv:r:25a35714-62f7255e Cunningham Unsorted Points WB_OAT_MUX,"","",@p:ubcv:r:25a26938-0dd0046d CUNN Penthouse 2 (790200),"",TL5,"",WB_OAT_MUX,"","",@p:ubcv:r:25a26938-0dd0046d CUNN Penthouse 2 (790200),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9584,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T16:02:25.425-07:00 Los_Angeles,"","",WB_OAT_MUX,✓,AV1,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",WB_OAT_MUX_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.172Z UTC
@p:ubcv:r:25a35718-8ab0e0e8 Cunningham HX-1 625_HX1_LOAD_HWS_HWST,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL36,"",625_HX1_LOAD_HWS_HWST,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2634be7d-99da72ee Cunningham HX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,✓,"",Leaving Hot Water Temp,"",AI1603,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0e-90aebcb3 .+_HWST(_AV)?(_\d+)?(_TL)?,✓,625_HX1_LOAD_HWS_HWST_POLL_TL,Los_Angeles,°C,"","","",✓,"",2020-04-23T21:02:30.797Z UTC
@p:ubcv:r:25a35716-9fa72d82 Cunningham Unsorted Points F03_02_HC11_HCV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL15,"",F03_02_HC11_HCV,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,✓,✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO1203,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",F03_02_HC11_HCV_POLL_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:45.16Z UTC
@p:ubcv:r:25a35716-2e797352 Cunningham Unsorted Points P7 F04_HC09_P7_PS,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL8,"",F04_HC09_P7_PS,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","",P7,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Run Status,"",AI1103,"","","","",✓,"","",✓,"","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2401fc01-30caa756 .+_PC?H?\d+[A-Z]?_P?S(_\d+)?(_TL)?,"",F04_HC09_P7_PS_POLL_TL,Los_Angeles,A,"","","",✓,"",2020-05-12T11:03:27.015Z UTC
@p:ubcv:r:25a3574e-5a254715 Cunningham Unsorted Points P04 CUNNINGHAM_AHU03_HC03_P04_C,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL5,"",CUNNINGHAM_AHU03_HC03_P04_C,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P04,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T09:29:36-07:00 Los_Angeles,conn fault,"","",421,2019-12-30T08:45:09-08:00 Los_Angeles,fault,"",✓,Bool,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Run Cmd,"",BO1103,"","","","",✓,"","",✓,"","",✓,"",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:244ba6df-17358a53 .+_PC?H?\d+[A-Z]?_P?C(_\d+)?(_TL)?,"",CUNNINGHAM_AHU03_HC03_P04_C_COV_TL,Los_Angeles,"","","","",✓,"",2020-05-12T11:03:27.106Z UTC
@p:ubcv:r:25a35718-5821d40b Cunningham DHX-1 625_DHX1_DHW_3W_VLV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL2,"",625_DHX1_DHW_3W_VLV,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",625_DHX1_DHW_3W_VLV,✓,AO1403,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_DHX1_DHW_3W_VLV_TL,Los_Angeles,%,"","","","","",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:25a35716-fd799b57 Cunningham Unsorted Points F03_HC08_SAT,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL9,"",F03_HC08_SAT,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI1104,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,✓,F03_HC08_SAT_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.162Z UTC
@p:ubcv:r:25a35718-7275f1e1 Cunningham Unsorted Points CUNNINGHAM_KAM_FLW_MUX,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL22,"",CUNNINGHAM_KAM_FLW_MUX,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",CUNNINGHAM_KAM_FLW_MUX,✓,AV233,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_KAM_FLW_MUX_TL,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:45.194Z UTC
@p:ubcv:r:25a35718-bbeb783c Cunningham DHX-1 625_DHX1_LOAD_LWT,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL6,"",625_DHX1_LOAD_LWT,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",625_DHX1_LOAD_LWT,✓,AI1501,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_DHX1_LOAD_LWT_TL,Los_Angeles,°C,"","","","","",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:25a3574d-46d1d878 Cunningham Unsorted Points CUNNINGHAM_AHU_03_RA_CO2_SP,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL45,"",CUNNINGHAM_AHU_03_RA_CO2_SP,"",✓,@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Zone CO2 Sp,"",AV40,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"",✓,"","","","","","",CUNNINGHAM_AHU_03_RA_CO2_SP_POLL_TL,Los_Angeles,ppm,"","","","",✓,2020-04-09T19:02:45.126Z UTC
@p:ubcv:r:25a35716-ac533603 Cunningham Unsorted Points P6 F03_01_HC12_P6_PS_BV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL3,"",F03_01_HC12_P6_PS_BV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P6,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T15:04:19-07:00 Los_Angeles,conn fault,"","",2611,2020-01-08T08:04:05-08:00 Los_Angeles,fault,"",✓,Bool,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Run Status,"",BV1,"","","","",✓,"","",✓,"","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-e879dd15 .+_PS_BV(_TL)?,"",F03_01_HC12_P6_PS_BV_COV_TL,Los_Angeles,"","","","",✓,"",2020-05-12T11:03:27.099Z UTC
@p:ubcv:r:25a3574d-98628fd9 Cunningham Unsorted Points CUNNINGHAM_AHU03_MAD,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL28,"",CUNNINGHAM_AHU03_MAD,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"",✓,Mixed Air Damper Cmd,"",AO1201,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:245cb36b-079a5e5e .+_MAD(_AV)?(_TL)?,"",CUNNINGHAM_AHU03_MAD_POLL_TL,Los_Angeles,%,"","","","","",2020-04-09T19:02:45.127Z UTC
@p:ubcv:r:25a3574d-e644ab75 Cunningham Unsorted Points CUNNINGHAM_AHU03_HC03_HCV,"","",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"",TL29,"",CUNNINGHAM_AHU03_HC03_HCV,✓,"",@p:ubcv:r:25a25f0c-8763f231 CUNN Main Router (790000),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,✓,✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:59:44.374-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO1203,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",CUNNINGHAM_AHU03_HC03_HCV_POLL_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:45.128Z UTC
@p:ubcv:r:263b7688-b2f5263d Cunningham Elec Main Meter Power,"","","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",opc::OpcErr: Status Code [0x40900000] Whatever was updating this value has stopped doing so.,fault,"","","","",$equipRef $navName,"","",✓,"","","","","",@p:ubcv:r:215fd39e-33fd484d Cunningham Elec Main Meter,"","","","",@p:ubcv:r:21697fca-2b8e529c Cunningham Utilities,"",✓,5kW,15min,2020-04-09T03:30:00-07:00 Los_Angeles,"","","",314573,2010-12-31T16:00:00-08:00 Los_Angeles,ok,"","",Number,"","","",Power,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Cunningham_624.Elec_Power,✓,"",✓,✓,"","",116,"","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,88,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","","",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.784Z UTC
@p:ubcv:r:25a3572c-3bf66a55 Cunningham Unsorted Points CUNNINGHAM_FC_RM382_FAN_STATUS,✓,"",@p:ubcv:r:25a26787-08f2f9b7 CUNN FC Rm 382 (790013),"",TL1,"",CUNNINGHAM_FC_RM382_FAN_STATUS,"","",@p:ubcv:r:25a26787-08f2f9b7 CUNN FC Rm 382 (790013),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"",✓,"",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T15:00:00-07:00 Los_Angeles,conn fault,"","",198,2020-01-02T10:00:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T16:02:25.426-07:00 Los_Angeles,"","","Fan Run ","",BI1,"","","","",✓,"","","","","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-84b215bf .+_FAN_STATUS(_TL)?,"",CUNNINGHAM_FC_RM382_FAN_STATUS_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:50:58.553Z UTC
@p:ubcv:r:25a35719-0084816e Cunningham Unsorted Points 625_HE_03_PC,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL73,"",625_HE_03_PC,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",625_HE_03_PC,✓,BO2202,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_HE_03_PC_POLL_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:39.98Z UTC
@p:ubcv:r:25a35718-19045eed Cunningham DHX-1 625_DHX1_SRC_VLV_FB,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL33,"",625_DHX1_SRC_VLV_FB,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",625_DHX1_SRC_VLV_FB,✓,AI1504,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_DHX1_SRC_VLV_FB_POLL_TL,Los_Angeles,%,"","","","","",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:21dffdad-7e214c14 Cunningham HW Main Meter Entering Water Temp,"","",@p:ubcv:r:21cacade-81dcf7f7 CUNN DES Meter,AI9,"",✓,"","","",@p:ubcv:r:21cacade-81dcf7f7 CUNN DES Meter,✓,"",conn fault,fault,"","","","",$equipRef $navName,"","","","","",✓,"","",@p:ubcv:r:215fd39e-2437f29b Cunningham HW Main Meter,"","","","",@p:ubcv:r:21697fca-2b8e529c Cunningham Utilities,"",✓,0.5°C,10min,2020-04-09T03:30:00-07:00 Los_Angeles,"","",consumption,249222,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"","","",Entering Water Temp,"","","","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","",✓,"",Los_Angeles,°C,✓,"","",✓,"",2020-04-28T00:03:35.225Z UTC
@p:ubcv:r:25a35714-94eda78a Cunningham Unsorted Points CUNNINGHAM_AHU_01_SAT_SP_MUX,"","",@p:ubcv:r:25a26938-0dd0046d CUNN Penthouse 2 (790200),"",TL7,"",CUNNINGHAM_AHU_01_SAT_SP_MUX,"","",@p:ubcv:r:25a26938-0dd0046d CUNN Penthouse 2 (790200),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9584,2019-12-31T02:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T16:02:25.425-07:00 Los_Angeles,"","",CUNNINGHAM_AHU_01_SAT_SP_MUX,✓,AV11,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",CUNNINGHAM_AHU_01_SAT_SP_MUX_POLL_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:45.173Z UTC
@p:ubcv:r:25a35719-052ff0fb Cunningham DHX-1 625_DHX1_RECIRC_PUMP_C,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL69,"",625_DHX1_RECIRC_PUMP_C,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2634bf37-c0127d78 Cunningham DHX-1,✓,"","","",@p:ubcv:r:2634bdcd-e8e5ae85 Cunningham Hydronic Systems,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",625_DHX1_RECIRC_PUMP_C,✓,BO1202,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_DHX1_RECIRC_PUMP_C_POLL_TL,Los_Angeles,"","","","","","",2020-04-23T21:04:52.852Z UTC
@p:ubcv:r:25a35716-b6a4ecfd Cunningham Unsorted Points P7 F04_HC09_P7_PS_BV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL5,"",F04_HC09_P7_PS_BV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","OFF,ON",P7,@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-01-08T08:05:13-08:00 Los_Angeles,conn fault,"","",2,2020-01-08T08:04:05-08:00 Los_Angeles,fault,"",✓,Bool,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Run Status,"",BV3,"","","","",✓,"","",✓,"","",✓,✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:23e65d0f-e879dd15 .+_PS_BV(_TL)?,"",F04_HC09_P7_PS_BV_COV_TL,Los_Angeles,"","","","",✓,"",2020-05-12T11:03:26.94Z UTC
@p:ubcv:r:25a35716-b90d476e Cunningham Unsorted Points F03_01_HC12_HCV,"","",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"",TL14,"",F03_01_HC12_HCV,✓,"",@p:ubcv:r:25a267df-27090c71 CUNN Penthouse 1 (790100),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,✓,✓,"","",2020-04-08T23:09:01-07:00 Los_Angeles,conn fault,"","",9585,2019-12-31T02:07:27-08:00 Los_Angeles,fault,"",✓,Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO1202,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"",F03_01_HC12_HCV_POLL_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:45.163Z UTC
@p:ubcv:r:25a35718-8f140402 Cunningham Unsorted Points 625_AHU_01_RA_CO2,✓,"",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL28,"",625_AHU_01_RA_CO2,"",✓,@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9664,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Number,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",Zone Co2,"",AI1203,"","","","",✓,"","","","","","",✓,@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_AHU_01_RA_CO2_POLL_TL,Los_Angeles,ppm,"","","","",✓,2020-04-09T19:02:45.197Z UTC
@p:ubcv:r:25a35719-89756510 Cunningham Unsorted Points 625_AHU_01_C,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"",TL64,"",625_AHU_01_C,"","",@p:ubcv:r:25a25eaa-a7a0789c CUNN Basement (790300),"","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:25a29cac-a85a9067 Cunningham Unsorted Points,✓,"","","",@p:ubcv:r:25a29cac-098ebb3c Cunningham Unsorted Points,"",✓,"","",2020-04-08T23:15:00-07:00 Los_Angeles,conn fault,"","",9665,2019-12-30T06:15:00-08:00 Los_Angeles,fault,"","",Bool,2020-05-05T15:57:31.997-07:00 Los_Angeles,"","",625_AHU_01_C,✓,BO1101,"","","","",✓,"","","","","","","",@p:ubcv:r:215fd39e-6b9df129 Cunningham,"","","","","","","","",625_AHU_01_C_POLL_TL,Los_Angeles,"","","","","","",2020-04-08T18:54:20.955Z UTC
