id,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,ccmAHU4pumpVFD,ccmAHU5pumpVFD,ccmControlsOptMV,ccmFCU,ccmHPTest,ccmHeat,ccmHeatRecoveryMV,changeover,chilled,cmd,comp,condenser,connRef,cool,cooling,covTest,cur,curStatus,curVal,custom,damper,delta,differential,disMacro,disabled,discharge,dupOld2,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heatPump,heatRecovery,heating,heatingMode,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,lead,leaving,max,min,mode,modulating,motion,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,pump,quantityID,rate,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,stageDemanded,stageRequired,static,tagTableRef,tags,tank,temp,test2019,testUnits,tlName,tz,unit,utilityPoint,valve,vavMode,volume,water,zone,mod
@p:ubcv:r:235920e8-2e2f5275 CCM LEF-06 EF-06A CCM_EF_6_STROBIC_A_DMP_S,"",✓,"","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"",TL19,✓,CCM_EF_6_STROBIC_A_DMP_S,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2304c2ec-090c2aa0 CCM CCM EF6AB (580501),"","",✓,"","","","",✓,"","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e5f361-aa40a444 CCM LEF-06 EF-06A,✓,✓,"","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-05T10:01:18-07:00 Los_Angeles,"",cov,112,2018-10-16T10:03:16-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:15:36.528-07:00 Los_Angeles,2019-01-31T10:24:21.684-08:00 Los_Angeles,"","","","","","","",Exhaust Air Damper Cmd,"",BI1,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0e-4a6670e6 .+_EF_.+_STROBIC_.+_DMP_S(_TL)?,"","","","","",CCM_EF_6_STROBIC_A_ISO_S_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:28.482Z UTC
@p:ubcv:r:235921da-71c223e8 CCM Rm 1045 FC-15 CCM_FCU_15_RT_SP,"",✓,"","",@p:ubcv:r:2304c375-208bab8a CCM CCM_FCU_15 (580618),"",TL2,✓,CCM_FCU_15_RT_SP,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304c375-208bab8a CCM CCM_FCU_15 (580618),"","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","",@p:ubcv:r:23dcd603-d9ab9a33 CCM Rm 1045 FC-15,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:20:38-07:00 Los_Angeles,"","",83124,2018-10-13T04:13:05-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:24:19.907-07:00 Los_Angeles,2019-01-31T10:24:21.674-08:00 Los_Angeles,"","","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd603-8e6ad92a CCM Rm 1045,"","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"",✓,"","","","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"","",✓,"","",CCM_FCU_15_RT_SP_TL,Los_Angeles,°C,"","","","","",✓,2020-04-09T19:02:23.174Z UTC
@p:ubcv:r:235920ed-517fe892 CCM Unsorted Points MN_E_AHU_01_VFD_SPD,"",✓,"","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"",TL21,✓,MN_E_AHU_01_VFD_SPD,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"",✓,"","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:03:58-07:00 Los_Angeles,"","",81917,2018-10-14T13:27:25-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:13:34.381-07:00 Los_Angeles,2019-01-31T10:24:20.777-08:00 Los_Angeles,"","","","","","","",Discharge Fan Speed Cmd,"",AO2,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","",✓,"","","","","",@p:ubcv:r:23ee3f1c-84aea70e .+_AHU_.+_VFD_SPD(_AV)?(_TL)?,"","","","","",CCM_AHU_01_VFD_SPD_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:22.839Z UTC
@p:ubcv:r:2359217e-84e572d5 CCM Rm 1124 FC-09 CCM_FCU_09_HCV,"","","","",@p:ubcv:r:2304b9f4-c73bf8b5 CCM CCM_FCU_09 (580218),"",TL5,✓,CCM_FCU_09_HCV,"","","","","",✓,"","","","","",✓,"","",@p:ubcv:r:2304b9f4-c73bf8b5 CCM CCM_FCU_09 (580218),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcd602-bac83b5c CCM Rm 1124 FC-09,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,✓,"","",✓,"",✓,"","","",2020-05-12T14:20:34-07:00 Los_Angeles,"","",83144,2018-10-13T04:18:47-07:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T14:25:08.623-07:00 Los_Angeles,2019-01-31T10:24:21.65-08:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"",AO3,"","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd602-424d1b56 CCM Rm 1124,"","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"","","","","",CCM_FCU_09_HCV_TL,Los_Angeles,%,"",✓,"","",✓,"",2020-04-09T19:02:22.81Z UTC
@p:ubcv:r:23592239-c175828d CCM Unsorted Points SGAV_4_06_03_EX_FLW_ALM,"",✓,✓,"",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"",TL1,✓,SGAV_4_06_03_EX_FLW_ALM,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-531afc84 CCM 057.0 CCM EF4ABC SW CATWALK (580900),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,✓,"","","",✓,"",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-03-02T09:38:03-08:00 Los_Angeles,"",cov,1,2020-03-02T09:38:03-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:05.09-07:00 Los_Angeles,2018-11-28T16:32:55.428-08:00 Los_Angeles,"","","","","","","",Exhaust Air Flow Alarm,"",BV317,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2441221b-87876233 .+_EXH?_FLO?W_ALA?R?M?(_BV)?(_TL)?,"","","","","",SGAV_4_06_03_EX_FLW_ALM_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.629Z UTC
@p:ubcv:r:22b585ff-e3291e18 CCM Steam Boilers SB-01 CCM_B1_IGNITION,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL230,✓,CCM_B1_IGNITION,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e39d36-934b1d22 CCM Steam Boilers SB-01,✓,"","","","","","",@p:ubcv:r:216986a9-44c05452 CCM Hydronic Systems,"","","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",62081,2018-06-12T12:00:00-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:21:04.847-07:00 Los_Angeles,2018-11-28T16:32:32.857-08:00 Los_Angeles,"","","","","","","",CCM_B1_IGNITION,✓,BV221,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_B1_IGNITION_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.022Z UTC
@p:ubcv:r:235920c5-9a5903b5 CCM Rm 1013 FC-02 CCM_FCU_02_FAN_STATUS,"",✓,"","",@p:ubcv:r:2304b9f4-d0548e31 CCM CCM_FCU_02 (580214),"",TL3,✓,CCM_FCU_02_FAN_STATUS,"","","","","",✓,"","","","","","","","",@p:ubcv:r:2304b9f4-d0548e31 CCM CCM_FCU_02 (580214),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcd602-a2a20f6b CCM Rm 1013 FC-02,✓,"",✓,"","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T02:44:08-07:00 Los_Angeles,"","",809,2019-03-08T13:39:59-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:25:08.245-07:00 Los_Angeles,2018-11-28T16:32:49.229-08:00 Los_Angeles,"","","","","","","","Fan Run ","","","","","","","","",✓,"","","","","","","",@p:ubcv:r:23dcd602-15829e8d CCM Rm 1013,✓,"","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0f-84b215bf .+_FAN_STATUS(_TL)?,"","","","","",CCM_FCU_02_FANSTAT_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:28.484Z UTC
@p:ubcv:r:23737ddc-cfa07150 CCM Unsorted Points MN_E_AHU_04B_SAT_HTG_CO_POLL_TL,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL94,✓,MN_E_AHU_04B_SAT_HTG_CO_POLL_TL,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:15:06-07:00 Los_Angeles,"","",74292,2018-12-07T05:02:02-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:19.314-07:00 Los_Angeles,2018-11-28T16:32:52.933-08:00 Los_Angeles,"","","","","","","",MN_E_AHU_04B_SAT_HTG_CO_POLL_TL,✓,"","","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,_,"","","","","","",2020-04-09T19:15:21.553Z UTC
@p:ubcv:r:23592172-030a7efe CCM Unsorted Points CCM_HEX_SAFE2RUN_COV_TL,"","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"",TL26,✓,CCM_HEX_SAFE2RUN_COV_TL,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-e4b2049a CCM 057.0 CCM STEAM HEX  (580100),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T09:43:27-07:00 Los_Angeles,"",cov,8242,2018-10-11T21:14:31-07:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:14:17.036-07:00 Los_Angeles,2018-11-28T16:32:32.643-08:00 Los_Angeles,"","","","","","","",CCM_HEX_SAFE2RUN_COV_TL,✓,BV4,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","","",Los_Angeles,"","","","","","","",2020-04-09T19:16:26.847Z UTC
@p:ubcv:r:22b585ff-44ad32c9 CCM Unsorted Points CCM_LD_S2R,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL144,✓,CCM_LD_S2R,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",31992,2018-06-07T14:30:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:21:04.883-07:00 Los_Angeles,2018-11-28T16:32:33.874-08:00 Los_Angeles,"","","","","","","",CCM_LD_S2R,✓,AV506,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",CCM_LD_S2R_TL,Los_Angeles,Ω,"","","","","","",2020-04-09T19:02:22.314Z UTC
@p:ubcv:r:25cec465-a57cfcdc CCM Rm 1220 SAV-5-08 SAV_5_08_SUP_FLW_FDBK,"","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL105,"",SAV_5_08_SUP_FLW_FDBK,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbb94e-ddca0c26 CCM Rm 1220 SAV-5-08,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",9290,2020-02-05T08:45:00-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:17.491-07:00 Los_Angeles,"","","","","","","","",SAV_5_08_SUP_FLW_FDBK,✓,AV259,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",SAV_5_08_SUP_FLW_FDBK_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:23.28Z UTC
@p:ubcv:r:22b585ff-af9b991c CCM Unsorted Points CCM_HP_2_LOAD_LWT,"","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"",TL208,✓,CCM_HP_2_LOAD_LWT,"","","","","","","","","","","","","","",@p:ubcv:r:2340261f-ec011b29 CCM 057.0 CCM (580000),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2020-05-12T14:16:01-07:00 Los_Angeles,"","",93842,2018-06-12T11:55:12-07:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T14:21:04.288-07:00 Los_Angeles,2019-01-31T10:24:21.8-08:00 Los_Angeles,"",✓,"","","","","",Leaving Hot Water Temp,"","","","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2415ac1e-ac6b46c7 .+_W?S?HP(_.+)?_LOAD_LWT(_TL)?,"","",✓,"","",CCM_WSHP_2_LOAD_LWT_POLL_TL,Los_Angeles,°C,"","","","",✓,"",2020-04-09T19:02:22.315Z UTC
@p:ubcv:r:235920a5-fdfadc33 CCM AHU-05 AHU-05A NW_AHU_05A_OAD,"",✓,"","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL37,✓,NW_AHU_05A_OAD,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","",✓,"","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23e5f576-6bafbf5c CCM AHU-05 AHU-05A,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:10:47-07:00 Los_Angeles,"","",82604,2018-10-15T06:11:39-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:19.38-07:00 Los_Angeles,2019-01-31T10:24:21.165-08:00 Los_Angeles,"","","","","","","",Outside Air Damper Cmd,"",AO9,"","","","",✓,"",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0f-65ca6cdf .+_OAD(_\d+)?(_TL)?,"","","","","",NW_AHU_05A_OAD_POLL_TL,Los_Angeles,%,"","","","","","",2020-04-09T19:02:23.281Z UTC
@p:ubcv:r:25cec466-b1f4f5ca CCM Rm 1251 SAV-5-01 SGAV_5_01_SUP_FLW_CMND,"","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL91,"",SGAV_5_01_SUP_FLW_CMND,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbb94e-94bd1b8a CCM Rm 1251 SAV-5-01,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",9290,2020-02-05T08:45:00-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:17.54-07:00 Los_Angeles,"","","","","","","","",SGAV_5_01_SUP_FLW_CMND,✓,AV207,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",SGAV_5_01_SUP_FLW_CMND_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:23.282Z UTC
@p:ubcv:r:2359218b-58c050bb CCM Unsorted Points MN_E_AHU4_LAGFAN_STATUS,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL34,✓,MN_E_AHU4_LAGFAN_STATUS,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:22b585fe-b3c991c9 CCM Unsorted Points,✓,"","","","","","",@p:ubcv:r:22b585e7-917a1d9d CCM Unsorted Points,"","","","","",✓,"","","",2019-10-01T08:35:35-07:00 Los_Angeles,"",cov,2,2019-01-08T07:22:06-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:14.383-07:00 Los_Angeles,2018-11-28T16:32:52.014-08:00 Los_Angeles,"","","","","","","",MN_E_AHU4_LAGFAN_STATUS,✓,BV85,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",MN_E_AHU4_LAGFAN_STATUS_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:26.027Z UTC
@p:ubcv:r:25cec466-a81d34e4 CCM Rm 1205 SAV-6-01 SGAV_6_01_EX_FLW_FDBK,"","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"",TL115,"",SGAV_6_01_EX_FLW_FDBK,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-95c93d75 CCM 057.0 CCM AHU5AB (580700),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbb94e-444c1edb CCM Rm 1205 SAV-6-01,✓,"","","","","","",@p:ubcv:r:23dbb94e-4db1f01c CCM Floor 1,"","","","","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",9290,2020-02-05T08:45:00-08:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:17:17.588-07:00 Los_Angeles,"","","","","","","","",SGAV_6_01_EX_FLW_FDBK,✓,AV266,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",SGAV_6_01_EX_FLW_FDBK_TL,Los_Angeles,L/s,"","","","","","",2020-04-09T19:02:23.283Z UTC
@p:ubcv:r:235920ed-ca5df397 CCM AHU-01 CCM_AHU_01_HUMV,"","","","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"",TL26,✓,CCM_AHU_01_HUMV,"","","","","","","","","","","","","","",@p:ubcv:r:2007bc45-82951d5d CCM AHU-1 (5800300),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbc780-8ba1aca0 CCM AHU-01,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:03:58-07:00 Los_Angeles,"","",81918,2018-10-14T13:27:32-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:13:34.414-07:00 Los_Angeles,2019-01-31T10:24:20.947-08:00 Los_Angeles,"","","","","","","","Humidifier Valve ","",AO7,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:2410474d-d4701ece .+_HUMV(_\d+)?(_TL)?,"","","","","",CCM_AHU_01_HUMV_TL,Los_Angeles,%,"",✓,"","",✓,"",2020-04-09T19:02:22.845Z UTC
@p:ubcv:r:2359218b-dbcafda9 CCM AHU-04 AHU-04B CCM_AHU_04B_FZ_1,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL53,✓,CCM_AHU_04B_FZ_1,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OK,Freeze","",@p:ubcv:r:23dbc780-8e253c73 CCM AHU-04 AHU-04B,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2019-10-01T08:01:08-07:00 Los_Angeles,"",cov,2,2018-12-20T12:37:09-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:14.215-07:00 Los_Angeles,2018-11-28T16:32:48.566-08:00 Los_Angeles,"","","","","","","",CCM_AHU_04B_FZ_1,✓,BI105,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",MN_E_AHU_04B_FZ_1_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.641Z UTC
@p:ubcv:r:235921be-c3d1b8f5 CCM LEF-05 EF-05A NW_EF_5_STROBIC_A_STATUS_MUXIN,"","","","",@p:ubcv:r:2304c2ec-e1ffdb70 CCM CCM EF5AB (580502),"",TL15,✓,NW_EF_5_STROBIC_A_STATUS_MUXIN,"","","","","","","","","","","","","","",@p:ubcv:r:2304c2ec-e1ffdb70 CCM CCM EF5AB (580502),"","",✓,"","","","","","","",$equipRef $bmsName,"","","","","","","","","OFF,ON","",@p:ubcv:r:23e5f361-5fced5f4 CCM LEF-05 EF-05A,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T10:05:57-07:00 Los_Angeles,"",cov,31,2018-11-05T10:12:24-08:00 Los_Angeles,ok,"","","","",Bool,2020-05-12T14:16:15.402-07:00 Los_Angeles,2018-11-28T16:32:46.444-08:00 Los_Angeles,"","","","","","","",NW_EF_5_STROBIC_A_STATUS_MUXIN,✓,BV73,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","","","","","","","",NW_EF_5_STROBIC_A_STATUS_MUXIN_COV_TL,Los_Angeles,"","","","","","","",2020-04-09T19:16:27.642Z UTC
@p:ubcv:r:235921be-3b3a9d65 CCM LEF-05 NW_EF_5_STROBIC_HEX_HRC_VLV,"","","","",@p:ubcv:r:2304c2ec-e1ffdb70 CCM CCM EF5AB (580502),"",TL33,✓,NW_EF_5_STROBIC_HEX_HRC_VLV,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2304c2ec-e1ffdb70 CCM CCM EF5AB (580502),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dcaa17-454ee9c3 CCM LEF-05,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","",✓,"","",✓,"","","",2020-05-12T14:16:02-07:00 Los_Angeles,"","",313918,2018-10-15T06:23:12-07:00 Los_Angeles,ok,"",✓,"","",Number,2020-05-12T14:16:18.523-07:00 Los_Angeles,2019-01-31T10:24:21.228-08:00 Los_Angeles,"","","","","","","",Heat Recovery Valve Cmd,"",AO1,"","","","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0e-ed15b796 .+_HRC_VLV(_TL)?,"","","","","",NW_EF_5_STROBIC_HEX_HRC_VLV_POLL_TL,Los_Angeles,%,"",✓,"","",✓,"",2020-04-09T19:02:23.018Z UTC
@p:ubcv:r:2359218b-ec22c2ac CCM AHU-04 AHU-04B CCM_AHU_04B_MODVLVFB,"","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"",TL80,✓,CCM_AHU_04B_MODVLVFB,"","","","","","","","","","","","","","",@p:ubcv:r:2304b905-7a00b8c8 CCM 057.0 CCM AHU 4AB SW CATWALK (580600),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:23dbc780-8e253c73 CCM AHU-04 AHU-04B,✓,"","","","","","",@p:ubcv:r:2203b248-e67f2438 CCM Air Systems,"","","","","",✓,"","","",2020-05-12T14:12:14-07:00 Los_Angeles,"","",82786,2018-10-14T13:40:27-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T14:16:22.152-07:00 Los_Angeles,2019-01-31T10:24:20.951-08:00 Los_Angeles,"","","","","",✓,"",Modulating Valve Sensor,"",AI16,"","","","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:206818d9-7d5ec66b CCM,"","","","","","","","",@p:ubcv:r:23e65d0e-a9f5ae66 .+_MODVLVFB(_\d+)?(_TL)?,"","","","","",MN_E_AHU_04B_MODVLVFB_POLL_TL,Los_Angeles,%,"",✓,"","",✓,"",2020-04-09T19:02:23.1Z UTC
