id,ahu,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chemN_1809_FHOpt,chemN_CPP,chilled,chiller,cmd,co2,condenser,connRef,coolingTower,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,filter,flow,groupRef,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mixing,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,preFilter,pressure,proj_1830_3W2W,pump,quantityID,rad,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:238a0dc3-487e2d3e Chem North Unsorted Points JCL-NAE19/Programming.HVAC.AHU-E2.RAD-VLV-AVG,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3005671,✓,JCL-NAE19/Programming.HVAC.AHU-E2.RAD-VLV-AVG,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",12995,2018-11-17T18:00:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.614-07:00 Los_Angeles,2018-11-25T13:45:23.634-08:00 Los_Angeles,"","","","","","",JCL-NAE19/Programming.HVAC.AHU-E2.RAD-VLV-AVG,✓,AV3005670,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/Programming.HVAC.AHU-E2.RAD-VLV-AVG.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:02:01.225Z UTC
@p:ubcv:r:22724d83-05ef9ce0 Chem North Unsorted Points JCL-NAE19/N2-A.19A003DX.SUMP-T,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3003083,✓,JCL-NAE19/N2-A.19A003DX.SUMP-T,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",106373,2018-04-23T13:40:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.787-07:00 Los_Angeles,2018-07-30T13:54:04.251-07:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A003DX.SUMP-T,✓,AI3000246,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.SUMP-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:01.226Z UTC
@p:ubcv:r:238a0dc3-f7545388 Chem North Rm E315 VAV-E315 JCL-NAE19/N2-A.19A115VM.OCC-MODE,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3008041,✓,JCL-NAE19/N2-A.19A115VM.OCC-MODE,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Unoccupied,Stand By,Occupied,No Schedule","",@p:ubcv:r:248034ca-99cc620f Chem North Rm E315 VAV-E315,"","","","",@p:ubcv:r:248034ca-f3b563ef Chem North Floor 2,"","",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T14:20:00-07:00 Los_Angeles,"","",77001,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Str,2020-05-12T14:22:58.788-07:00 Los_Angeles,2018-11-25T13:45:23.578-08:00 Los_Angeles,"","","","","",✓,Occupancy Mode,"",MSO3001495,✓,"","","","","",✓,"","","","","","","","","",@p:ubcv:r:248034ca-72121ff7 Chem North Rm E315,"","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:2481a05c-0f3cf521 .+(\.|-|\.)OCC-MODE,"","",JCL-NAE19/N2-A.19A115VM.OCC-MODE.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:50:04.948Z UTC
@p:ubcv:r:238a0dc3-f1d9bcb5 Chem North Rm E113 VAV-E113 JCL-NAE19/N2-A.19A105VM.ZN-T,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3001134,✓,JCL-NAE19/N2-A.19A105VM.ZN-T,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:248034ca-73b941d8 Chem North Rm E113 VAV-E113,"","","","",@p:ubcv:r:248034ca-7b683009 Chem North Basement,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",25667,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.616-07:00 Los_Angeles,2018-12-07T09:45:30.935-08:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3001132,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:248034ca-2f18c466 Chem North Rm E113,"","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE19/N2-A.19A105VM.ZN-T.Trend,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:01.227Z UTC
@p:ubcv:r:238a0dc2-cb0d7a98 Chem North Heating Plant JCL-NAE19/N2-A.19A001DX.PE3-S,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000423,✓,JCL-NAE19/N2-A.19A001DX.PE3-S,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:248034e6-ad88ae7b Chem North Heating Plant,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-05-12T09:31:11-07:00 Los_Angeles,"","",203,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.62-07:00 Los_Angeles,2018-11-25T13:45:23.908-08:00 Los_Angeles,"","","","","","",Pump Run Status,"",BI3000422,"","","","","","",✓,"","","","",✓,✓,"","","","",✓,"","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:2549f4de-0619d1f0 .+(\.|-| )P(CHWP)?E?\d+\w?-S,"","",JCL-NAE19/N2-A.19A001DX.PE3-S.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:38.104Z UTC
@p:ubcv:r:24edab6a-0ea66ddc Chem North Unsorted Points JCL-NAE19/Schedule.Third floor fan coil shedule,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),SCH3005456,"",✓,JCL-NAE19/Schedule.Third floor fan coil shedule,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","",unknown,"","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","",✓,"",Number,"","","","","","","","",Scheduled Occupancy,"","","","","","","","",✓,"","","","","","","","","","","","",✓,"",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","","",Los_Angeles,"","","","","","",2019-11-07T23:48:39.867Z UTC
@p:ubcv:r:238a0dc3-b21e0280 Chem North Unsorted Points JCL-NAE19/BACnet1.ChemE_EMTR.AI-4,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3008126,✓,JCL-NAE19/BACnet1.ChemE_EMTR.AI-4,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51467,2018-11-21T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.789-07:00 Los_Angeles,2018-11-25T13:45:23.624-08:00 Los_Angeles,"","","","","","",JCL-NAE19/BACnet1.ChemE_EMTR.AI-4,✓,AI3008118,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/BACnet1.ChemE_EMTR.AI-4.Trend1,Los_Angeles,L/h,"","","","","",2020-04-09T19:02:01.229Z UTC
@p:ubcv:r:22724d83-c6c15648 Chem North Unsorted Points JCL-NAE19/N2-A.19A003DX.DUMP-C,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000469,✓,JCL-NAE19/N2-A.19A003DX.DUMP-C,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",24,2018-02-07T14:45:03-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.441-07:00 Los_Angeles,2018-07-30T13:54:04.239-07:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A003DX.DUMP-C,✓,BO3000468,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.DUMP-C.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:36.667Z UTC
@p:ubcv:r:238a0dc2-863fea60 Chem North Heating Plant JCL-NAE19/N2-A.19A001DX.PE2-S,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000418,✓,JCL-NAE19/N2-A.19A001DX.PE2-S,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:248034e6-ad88ae7b Chem North Heating Plant,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","",25294,2018-11-22T12:30:00-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.622-07:00 Los_Angeles,2018-11-25T13:45:23.921-08:00 Los_Angeles,"","","","","","",Pump Run Status,"",BI3000417,"","","","","","",✓,"","","","",✓,✓,"","","","",✓,"","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:2549f4de-0619d1f0 .+(\.|-| )P(CHWP)?E?\d+\w?-S,"","",JCL-NAE19/N2-A.19A001DX.PE2-S.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:38.967Z UTC
@p:ubcv:r:22724d83-56e59de9 Chem North Cooling Plant CH-1 JCL-NAE19/N2-A.19A003DX.PE5-S,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000458,✓,JCL-NAE19/N2-A.19A003DX.PE5-S,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:22725012-8c971afd Chem North Cooling Plant CH-1,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-01-08T08:07:21-08:00 Los_Angeles,"","",20,2017-12-14T11:27:49-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.443-07:00 Los_Angeles,2018-07-30T13:54:04.237-07:00 Los_Angeles,"","","","","","",Pump Run Status,"",BI3000457,"","","","","","",✓,"","","","","",✓,"","","","",✓,"","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:2549f4de-0619d1f0 .+(\.|-| )P(CHWP)?E?\d+\w?-S,"","",JCL-NAE19/N2-A.19A003DX.PE5-S.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:37.706Z UTC
@p:ubcv:r:238a0dc2-390a012f Lab E415 EV-04 JCL-NAE19/N2-A.19A126DX.EV-E04-F,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000193,✓,JCL-NAE19/N2-A.19A126DX.EV-E04-F,✓,"","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2480599d-4f8d35b8 Lab E415 EV-04,✓,"","",✓,@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51017,2018-11-22T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.796-07:00 Los_Angeles,2018-11-25T13:45:23.95-08:00 Los_Angeles,"","","","","","",Exhaust Air Flow,"",AI3000192,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2480598d-eae27103 Lab E415,"","","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:24808299-5ddfbef9 .+(\.|-| )E(V|F)-?(E|D)?\d+-F(.+)?,"","",JCL-NAE19/N2-A.19A126DX.EV-E04-F.Trend,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:01.234Z UTC
@p:ubcv:r:238a0dc3-720c8f8a Chem North AHU-1 JCL-NAE19/N2-A.19A007DX.SA-SP,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3003090,✓,JCL-NAE19/N2-A.19A007DX.SA-SP,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:248034e6-55f973a1 Chem North AHU-1,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",67770,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.799-07:00 Los_Angeles,2018-12-07T09:45:27.094-08:00 Los_Angeles,"","","","","","",Discharge Air Pressure Sp,"","","","","","","","",✓,✓,"","",✓,"","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"",✓,"","","","",@p:ubcv:r:23e65d3d-ca68aab9 .+(\.|-| )SAP?-SP,✓,"",JCL-NAE19/N2-A.19A007DX.SA-SP.Trend1,Los_Angeles,Pa,"","","","","",2020-04-09T19:02:01.236Z UTC
@p:ubcv:r:22724d83-5acf07d8 Chem North Cooling Plant CH-1 JCL-NAE19/N2-A.19A003DX.CH1-A,"","",✓,@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000445,✓,JCL-NAE19/N2-A.19A003DX.CH1-A,"","","",✓,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:22725012-8c971afd Chem North Cooling Plant CH-1,"","","","",@p:ubcv:r:21dff50a-f2e59374 Chem North Hydronic Systems,"","",✓,"","","",2020-05-12T14:20:12-07:00 Los_Angeles,"","",295459,2018-04-24T13:15:25-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.8-07:00 Los_Angeles,2018-12-07T09:45:28.82-08:00 Los_Angeles,"","","","","","",Chiller Alarm,"",BI3000444,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:25869220-109261db .+(\.|-| |_)CH\d?(-\d+)?-A(LM)?,"","",JCL-NAE19/N2-A.19A003DX.CH1-A.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:37.371Z UTC
@p:ubcv:r:238a0dc3-11bd84c5 Chem North AHU-1 JCL-NAE19/N2-A.19A007DX.MAT-LL,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3003087,✓,JCL-NAE19/N2-A.19A007DX.MAT-LL,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:248034e6-55f973a1 Chem North AHU-1,"","","","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",67770,2018-11-21T17:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.803-07:00 Los_Angeles,2018-11-25T13:45:23.692-08:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A007DX.MAT-LL,✓,AO3000250,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","",✓,"",JCL-NAE19/N2-A.19A007DX.MAT-LL.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:01.239Z UTC
@p:ubcv:r:238a0dc3-b36e9bcb Chem North Lab E413 EV-13 JCL-NAE19/N2-A.19A126DX.EV-E13-A,"",✓,✓,@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000603,✓,JCL-NAE19/N2-A.19A126DX.EV-E13-A,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Alarm,Normal","",@p:ubcv:r:248059f3-9779fec3 Chem North Lab E413 EV-13,✓,✓,"","",@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-04-09T09:17:46-07:00 Los_Angeles,"","",970,2018-11-28T11:33:24-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.445-07:00 Los_Angeles,2018-12-07T09:45:31.681-08:00 Los_Angeles,"","","","","","",Exhaust Air Fan Alarm,"",BI3000602,"","","","","","",✓,"","","","","","","","","",@p:ubcv:r:2480599d-aa77df31 Chem North Lab E413,"","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:258694ff-feac8f01 .+(\.|-| |_)(EF|EV)-.+-A(LM)?,"","",JCL-NAE19/N2-A.19A126DX.EV-E13-A.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:31.121Z UTC
@p:ubcv:r:22724d83-d6a11f40 Chem North Unsorted Points JCL-NAE19/N2-A.19A003DX.CWST-SP,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3003082,✓,JCL-NAE19/N2-A.19A003DX.CWST-SP,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T14:20:00-07:00 Los_Angeles,"","",106384,2018-04-23T13:40:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.805-07:00 Los_Angeles,2018-07-30T13:54:04.244-07:00 Los_Angeles,"","","","","","",JCL-NAE19/N2-A.19A003DX.CWST-SP,✓,AO3000243,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.CWST-SP.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:01.24Z UTC
@p:ubcv:r:22724d83-0bff6916 Chem North EF-4 JCL-NAE19/N2-A.19A003DX.EF04-S,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000499,✓,JCL-NAE19/N2-A.19A003DX.EF04-S,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:248050ae-5c3354c1 Chem North EF-4,✓,✓,"","",@p:ubcv:r:2203b248-8ad86041 Chem North Air Systems,"","",✓,"","","",2020-02-12T14:09:44-08:00 Los_Angeles,"","",23,2017-08-17T07:52:10-07:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T14:22:58.447-07:00 Los_Angeles,2018-12-07T09:45:28.821-08:00 Los_Angeles,"","","","","","",Exhaust Fan Run Status,"",BI3000498,"","","","","","",✓,"","","","","","","","","","",✓,"","",✓,@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/N2-A.19A003DX.EF04-S.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:50.65Z UTC
@p:ubcv:r:238a0dc3-64a81958 Chem North AHU-1 RF JCL-NAE19/N2-A.19A007DX.RF-C,"",✓,"",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3000537,✓,JCL-NAE19/N2-A.19A007DX.RF-C,"","","","",✓,"","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","",✓,"","","Off,On","",@p:ubcv:r:2480379f-6f1bbc4e Chem North AHU-1 RF,"",✓,"","",@p:ubcv:r:248034e6-b6b50772 Chem North Air  Systems,"","",✓,"","","",2020-05-12T06:00:14-07:00 Los_Angeles,"","",893,2018-11-19T06:00:18-08:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:22:58.449-07:00 Los_Angeles,2018-12-07T09:45:31.556-08:00 Los_Angeles,"","","","","","",Return Fan Enable Cmd,"",BO3000536,"","","","","","",✓,"","","","","","","","",✓,"","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","",@p:ubcv:r:23e65d3d-da30c357 .+(\.|-| )RF(\d?)-C,"","",JCL-NAE19/N2-A.19A007DX.RF-C.Trend,Los_Angeles,"","","","","","",2020-04-08T18:55:25.424Z UTC
@p:ubcv:r:238a0dc3-bb174045 Chem North Unsorted Points JCL-NAE19/BACnet1.ChemE_EMTR.AI-5,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3008829,✓,JCL-NAE19/BACnet1.ChemE_EMTR.AI-5,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51467,2018-11-21T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.806-07:00 Los_Angeles,2018-11-25T13:45:23.267-08:00 Los_Angeles,"","","","","","",JCL-NAE19/BACnet1.ChemE_EMTR.AI-5,✓,AI3008117,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/BACnet1.ChemE_EMTR.AI-5.Trend1,Los_Angeles,kW,"","","","","",2020-04-09T19:02:01.243Z UTC
@p:ubcv:r:238a0dc3-a80e0acc Chem North Unsorted Points JCL-NAE19/BACnet1.CANATAL-400010.C-05.AI-2007,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3008827,✓,JCL-NAE19/BACnet1.CANATAL-400010.C-05.AI-2007,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-04-02T13:15:26-07:00 Los_Angeles,"","",192,2018-12-20T12:41:09-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.452-07:00 Los_Angeles,2018-11-25T13:45:23.267-08:00 Los_Angeles,"","","","","","",JCL-NAE19/BACnet1.CANATAL-400010.C-05.AI-2007,✓,AI3008631,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/BACnet1.CANATAL-400010.C-05.AI-2007.Trend1,Los_Angeles,_,"","","","","",2020-04-09T19:15:04.388Z UTC
@p:ubcv:r:238a0dc3-6e902764 Chem North Unsorted Points JCL-NAE19/BACnet1.ChemE_EMTR.AI-1,"","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"",TL3008127,✓,JCL-NAE19/BACnet1.ChemE_EMTR.AI-1,"","","","","","","",@p:ubcv:r:21e6b359-6ae22e34 CHEMN (NAE-19),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:2347bb51-be9dbfce Chem North Unsorted Points,"","","","",@p:ubcv:r:2347bb51-3ed5edcb Chem North Unsorted Points,"","",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","",51467,2018-11-21T05:30:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:22:58.809-07:00 Los_Angeles,2018-11-25T13:45:23.624-08:00 Los_Angeles,"","","","","","",JCL-NAE19/BACnet1.ChemE_EMTR.AI-1,✓,AI3008121,"","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093b3b4-af6809d9 Chem North,"","","","","","","","","",JCL-NAE19/BACnet1.ChemE_EMTR.AI-1.Trend1,Los_Angeles,MWh,"","","","","",2020-04-09T19:02:01.246Z UTC
