id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,domestic,effective,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,low,mixed,navName,noTagMatch,objectId,outside,point,power,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,water,zachName,zone,mod
@p:ubcv:r:238b49f8-24c8249e Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-11,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000560,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-11,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [172] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.614-07:00 Los_Angeles,2018-11-25T13:45:23.723-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-11,✓,AI3000547,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.887Z UTC
@p:ubcv:r:24edab69-c92b890e Old Auditorium Unsorted Points JCL-NAE27/Schedule.AHU3 Schedule,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),SCH3000360,"",✓,JCL-NAE27/Schedule.AHU3 Schedule,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","",unknown,"","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",198,2019-08-19T12:10:00-07:00 Los_Angeles,"","","",✓,Number,"","","","","",Scheduled Occupancy,"","","",✓,"","","","","",✓,"",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:24ede125-239d50ec .+(S|s)chedule(.+)?,"","",Los_Angeles,MWh,"","","","","",2020-04-30T11:06:01.89Z UTC
@p:ubcv:r:238b49f8-4bd67b2f Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC006.LT-A,"",✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000178,✓,JCL-NAE27/FCB.01A-FEC006.LT-A,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Normal,Alarm","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-04-09T04:29:30-07:00 Los_Angeles,"","","",12,2018-12-20T12:39:18-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:07.947-07:00 Los_Angeles,2018-12-07T09:45:31.932-08:00 Los_Angeles,"",✓,"",Low Temp Alarm,"",BI3000176,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,✓,JCL-NAE27/FCB.01A-FEC006.LT-A.Trend1,Los_Angeles,"","","","",OldAud.AHU2.LT-A,"",2020-04-30T11:06:01.894Z UTC
@p:ubcv:r:238b49f8-66077a6b Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Swings Space.AI-40,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000600,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Swings Space.AI-40,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [173] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.62-07:00 Los_Angeles,2018-11-25T13:45:23.799-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Swings Space.AI-40,✓,AI3000591,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.898Z UTC
@p:ubcv:r:238b49f8-4e127b4f Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.F3-S,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000061,✓,JCL-NAE27/FCB.Local Application.F3-S,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:01:40-07:00 Los_Angeles,"","","",1020,2018-11-18T21:51:41-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.228-07:00 Los_Angeles,2018-11-25T13:45:23.298-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.F3-S,✓,BI3000059,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.F3-S.Trend1,Los_Angeles,"","","","",OldAud.EF.F3-S,"",2020-04-30T11:06:01.901Z UTC
@p:ubcv:r:238b49f8-341e4eb1 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC008.SF-S,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000251,✓,JCL-NAE27/FCB.01A-FEC008.SF-S,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"",✓,"","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:00:02-07:00 Los_Angeles,"","","",726,2018-11-19T07:30:28-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.122-07:00 Los_Angeles,2018-12-07T09:45:32.075-08:00 Los_Angeles,"","","",Discharge Fan Run Status,"",BI3000249,"",✓,"","","","",✓,"",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"",JCL-NAE27/FCB.01A-FEC008.SF-S.Trend1,Los_Angeles,"","","","",OldAud.AHU4.SF-S,"",2020-04-30T11:06:01.905Z UTC
@p:ubcv:r:238b49f8-9b3bc8a2 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-4,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000574,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-4,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [174] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.626-07:00 Los_Angeles,2018-11-25T13:45:23.715-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-4,✓,AI3000542,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.908Z UTC
@p:ubcv:r:238b49f8-d9bca767 Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.P1&2-C,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000056,✓,JCL-NAE27/FCB.Local Application.P1&2-C,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T21:55:07-07:00 Los_Angeles,"","","",207,2018-12-20T12:39:17-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.071-07:00 Los_Angeles,2018-11-25T13:45:23.295-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.P1&2-C,✓,BO3000055,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.P1&2-C.Trend1,Los_Angeles,"","","","",OldAud.HW.P1&2-C,"",2020-04-30T11:06:01.912Z UTC
@p:ubcv:r:238b49f8-782fdedd Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-10,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000559,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-10,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [175] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.631-07:00 Los_Angeles,2018-11-25T13:45:23.719-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-10,✓,AI3000546,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.916Z UTC
@p:ubcv:r:238b49f8-0d5946e9 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-7,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000619,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-7,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [176] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.637-07:00 Los_Angeles,2018-11-25T13:45:23.8-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Allard Hall.AI-7,✓,AI3000545,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.919Z UTC
@p:ubcv:r:238b49f8-90ffafab Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC007.SF-C,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000217,✓,JCL-NAE27/FCB.01A-FEC007.SF-C,✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"",✓,"","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:01:32-07:00 Los_Angeles,"","","",1034,2018-11-18T21:51:32-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.165-07:00 Los_Angeles,2018-12-07T09:45:36.12-08:00 Los_Angeles,"","","",Discharge Fan Run Cmd,"",BO3000216,"",✓,"","","","",✓,"","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"",JCL-NAE27/FCB.01A-FEC007.SF-C.Trend1,Los_Angeles,"","","","",OldAud.AHU3.SF-C,"",2020-04-30T11:06:01.923Z UTC
@p:ubcv:r:238b49f8-49d98d53 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC008.OA-T,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000278,✓,JCL-NAE27/FCB.01A-FEC008.OA-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.594-07:00 Los_Angeles,2018-12-07T09:45:32.059-08:00 Los_Angeles,"","","",Outside Air Temp,"",AV3000277,✓,✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-5671e7b8 .+(\.|-| |_)OA(_|-)T,✓,JCL-NAE27/FCB.01A-FEC008.OA-T.Trend1,Los_Angeles,°C,"","","",OldAud.AHU4.OA-T,"",2020-04-30T11:06:01.927Z UTC
@p:ubcv:r:263d6d8f-11a73bb0 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC005.Parameters.0440 AHU-01 EFFDAT-SP,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000756,"",JCL-NAE27/FCB.01A-FEC005.Parameters.0440 AHU-01 EFFDAT-SP,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,✓,"",✓,"","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:50:00-07:00 Los_Angeles,"","","",1847,2020-04-29T20:10:00-07:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.7-07:00 Los_Angeles,"","","","",Discharge Air Temp Effective Sp,"",AV3000743,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"",✓,"","",@p:ubcv:r:23e65d3d-79dbc720 .+(\.|-| )EFFDAT-SP,✓,JCL-NAE27/FCB.01A-FEC005.Parameters.0440 AHU-01 EFFDAT-SP.Trend1,Los_Angeles,°C,"","","",0440.AHU-01.EFFDAT-SP,"",2020-04-30T11:06:01.931Z UTC
@p:ubcv:r:238b49f8-28de0434 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.AMS Nest.AI-26,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000615,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.AMS Nest.AI-26,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [177] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.643-07:00 Los_Angeles,2018-11-25T13:45:23.802-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.AMS Nest.AI-26,✓,AI3000613,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.934Z UTC
@p:ubcv:r:238b49f8-5e8cc6ab Old Auditorium Unsorted Points JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-1,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000472,✓,JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-1,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T00:00:00-07:00 Los_Angeles,"","","",540,2018-11-19T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.284-07:00 Los_Angeles,2018-11-25T13:45:23.892-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-1,✓,AI3000467,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/BACnet1.OldAud_EMTR.Analog Inputs.AI-1.Trend1,Los_Angeles,MWh,"","","",OldAud.Accumulated Heat Energy,"",2020-04-30T11:06:01.938Z UTC
@p:ubcv:r:2261059e-1113058c Old Auditorium HW Main Meter Flow,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,AI4,"",✓,"","",@p:ubcv:r:21cad3bc-bb87be1f Old Admin DES Meter,✓,L/h => L/s,ok,0L/s,"","","",$equipRef $navName,"","","","","","","","",@p:ubcv:r:2261059e-f0b0b7d2 Old Auditorium HW Main Meter,"","","",✓,@p:ubcv:r:2261059e-7b27ba16 Old Auditorium Utilities,"",✓,0.25L/s,10min,2020-05-12T15:50:00-07:00 Los_Angeles,"","",consumption,108988,2018-04-11T10:50:00-07:00 Los_Angeles,ok,"",✓,"",Number,"","","","","",Flow,"","","",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,L/s,✓,"",✓,"","",2020-04-28T00:03:35.828Z UTC
@p:ubcv:r:238b49f8-2c99f423 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC008.EF11-S,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000271,✓,JCL-NAE27/FCB.01A-FEC008.EF11-S,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Off,On","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-11T17:00:07-07:00 Los_Angeles,"","","",727,2018-11-19T07:31:32-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.129-07:00 Los_Angeles,2018-12-07T09:45:32.06-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.01A-FEC008.EF11-S,✓,BI3000269,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.01A-FEC008.EF11-S.Trend1,Los_Angeles,"","","","",OldAud.AHU4.EF11-S,"",2020-04-30T11:06:01.942Z UTC
@p:ubcv:r:238b49f8-ffff6192 Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.044-CV-HE1-O,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000483,✓,JCL-NAE27/FCB.Local Application.044-CV-HE1-O,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:50:00-07:00 Los_Angeles,"","","",76421,2018-11-22T15:40:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.708-07:00 Los_Angeles,2018-12-07T09:45:31.864-08:00 Los_Angeles,"","","",JCL-NAE27/FCB.Local Application.044-CV-HE1-O,✓,AO3000453,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","",JCL-NAE27/FCB.Local Application.044-CV-HE1-O.Trend1,Los_Angeles,_,"","","",OldAud.044-CV-HE1-O,"",2020-04-30T11:06:01.946Z UTC
@p:ubcv:r:238b49f8-40737eee Old Auditorium Unsorted Points JCL-NAE27/FCB.Local Application.DHWR-T,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000041,✓,JCL-NAE27/FCB.Local Application.DHWR-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"",✓,"","","",✓,"","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"",✓,✓,Number,2020-05-12T15:51:08.607-07:00 Los_Angeles,2018-12-07T09:45:30.718-08:00 Los_Angeles,"","","",Domestic Entering Hot Water Temp,"",AI3000039,"",✓,"","","","","","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-98942545 .+(\.|-|_)DHWR\d?-T,✓,JCL-NAE27/FCB.Local Application.DHWR-T.Trend1,Los_Angeles,°C,"","",✓,OldAud.DW.DHWR-T,"",2020-04-30T11:06:01.95Z UTC
@p:ubcv:r:238b49f8-1f35fe79 Old Auditorium Unsorted Points P7 JCL-NAE27/FCB.01A-FEC006.P7-S,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000181,✓,JCL-NAE27/FCB.01A-FEC006.P7-S,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $equipName $bmsName,"","","","","","","Off,On",P7,@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-05T16:44:06-07:00 Los_Angeles,"","","",1384,2018-11-21T10:42:06-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:08.086-07:00 Los_Angeles,2018-12-07T09:45:31.937-08:00 Los_Angeles,"","","",Run Status,"",BI3000179,"",✓,"",✓,"","",✓,"",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE27/FCB.01A-FEC006.P7-S.Trend1,Los_Angeles,"","","","",OldAud.AHU2.P7-S,"",2020-05-12T11:03:27.736Z UTC
@p:ubcv:r:238b49f8-6c991ac7 Old Auditorium Unsorted Points JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-6,"","",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000576,✓,JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-6,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","","","bacnet::ConfirmedServiceErr: [178] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","","","",fault,"","",✓,Number,2020-05-12T15:01:45.648-07:00 Los_Angeles,2018-11-25T13:45:23.714-08:00 Los_Angeles,"","","",JCL-NAE27/BACnet1.WiFi CAS gateway.Hugh Demspter.AI-6,✓,AI3000544,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","","","","",Los_Angeles,_,"","","","","",2020-04-30T11:06:01.959Z UTC
@p:ubcv:r:238b49f8-62b385db Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC005.RA-T,✓,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000123,✓,JCL-NAE27/FCB.01A-FEC005.RA-T,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25509,2018-11-22T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:51:08.618-07:00 Los_Angeles,2018-12-07T09:45:31.975-08:00 Los_Angeles,"","","",Return Air Temp,"",AI3000122,"",✓,"","","",✓,"","",✓,@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:23e65d3d-33dbc1b0 .+(\.|-| )RA-T,✓,JCL-NAE27/FCB.01A-FEC005.RA-T.Trend1,Los_Angeles,°C,"","","",OldAud.AHU1.RA-T,"",2020-04-30T11:06:01.962Z UTC
@p:ubcv:r:238b49f8-46f1f850 Old Auditorium Unsorted Points JCL-NAE27/FCB.01A-FEC007.LT-A,"",✓,@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"",TL3000230,✓,JCL-NAE27/FCB.01A-FEC007.LT-A,"",@p:ubcv:r:238b484a-36841009 BUTO (NAE-27),"","","","","","","",$equipRef $bmsName,"","","","","","","Normal,Alarm","",@p:ubcv:r:238b49ec-2e2025a3 Old Auditorium Unsorted Points,"","","","",@p:ubcv:r:238b49ec-98d6343b Old Auditorium Unsorted Points,"",✓,"","",2020-04-09T04:29:32-07:00 Los_Angeles,"","","",12,2018-12-20T12:39:18-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:51:07.983-07:00 Los_Angeles,2018-12-07T09:45:32.093-08:00 Los_Angeles,"",✓,"",Low Temp Alarm,"",BI3000228,"",✓,"","","","","","","",@p:ubcv:r:2261059e-5552e76f Old Auditorium,"","","","",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,✓,JCL-NAE27/FCB.01A-FEC007.LT-A.Trend1,Los_Angeles,"","","","",OldAud.AHU3.LT-A,"",2020-04-30T11:06:01.966Z UTC
