id,ahu,air,alarm,bacnetConnRef,bacnetCur,bacnetDis,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,bypass,chilled,chiller,cmd,co2,condenser,connRef,cool,cooling,count,covTest,cur,curConvert,curErr,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,freezeStat,groupRef,heat,heatWheel,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,lastTagged,leaving,low,mixed,mixing,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,pump,quantityID,reheat,reliability,return,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siemens,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,status,tagTableRef,tags,temp,test,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:238a0b4b-a3272916 ICICS Rm 310 VAV-07 JCL-NAE01/N2-17.IC17-033.DMPR-POS,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3043564,"",✓,JCL-NAE01/N2-17.IC17-033.DMPR-POS,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc37-d8577a1a ICICS Rm 310 VAV-07,"","","","","","",@p:ubcv:r:21978aa2-70b093b5 ICICS Floor 3,"","","",✓,"","","",2020-05-12T14:46:21-07:00 Los_Angeles,"","","",23033,2018-11-21T06:06:43-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:49.656-07:00 Los_Angeles,2018-11-25T13:45:23.836-08:00 Los_Angeles,"","","","","",JCL-NAE01/N2-17.IC17-033.DMPR-POS,✓,AI3009754,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-06bef1d0 ICICS Rm 310,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-17.IC17-033.DMPR-POS.Trend1,Los_Angeles,_,"","","","","","",LP-LVL3.VAV-7.DMPR-POS,"",2020-04-09T19:15:02.897Z UTC
@p:ubcv:r:238a0b4a-6792553c ICICS Rm 110 VAV-02 JCL-NAE01/N2-17.IC17-031.Parameters.ACLG-SP,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3038455,"",✓,JCL-NAE01/N2-17.IC17-031.Parameters.ACLG-SP,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"",✓,"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:21979f4e-5d18a1c2 ICICS Rm 110 VAV-02,"","","","","","",@p:ubcv:r:21978a98-3cec515f ICICS Floor 1,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50965,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:50.249-07:00 Los_Angeles,2018-12-07T12:37:21.16-08:00 Los_Angeles,"","","","","",Zone Temp Cooling Sp,"",AI3033851,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-5a6be9c7 ICICS Rm 110,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"",✓,"","","","",@p:ubcv:r:23e65d3e-89385aab .+(\.|-| )ACLG-SP,"",✓,"",JCL-NAE01/N2-17.IC17-031.Parameters.ACLG-SP.Trend2,Los_Angeles,°C,"","","","","","",ACLG-SP,✓,2020-04-09T19:01:57.64Z UTC
@p:ubcv:r:238a0b48-d19cb9f0 ICICS AHU-01 JCL-NAE01/N2-16.IC16-002.SA-P,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3007760,"",✓,JCL-NAE01/N2-16.IC16-002.SA-P,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:2399bc38-8f61f0f3 ICICS AHU-01,"","","","","","",@p:ubcv:r:2203b248-90711536 ICICS Air Systems,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",51249,2018-11-21T17:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:49.582-07:00 Los_Angeles,2018-12-07T12:37:21.615-08:00 Los_Angeles,"","","","","",Discharge Air Pressure,"",AI3007759,"","","","","","",✓,"","",✓,"","","","","","","","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3d-6b746a04 .+(\.|-| )(S|D)A\d?-P,"","","",JCL-NAE01/N2-16.IC16-002.SA-P.Trend,Los_Angeles,Pa,"","","","","","",IC-AHU1.SA-P,"",2020-04-09T19:01:57.641Z UTC
@p:ubcv:r:21dffdad-36eb0aa6 ICICS HW Main Meter Flow,"","","",@p:ubcv:r:21cace6f-5db87f24 ICICS DES Meter,AI4,"","","",✓,"","","","","","","","",@p:ubcv:r:21cace6f-5db87f24 ICICS DES Meter,"","","","",✓,L/h => L/s,"",ok,0.06999999999999999L/s,"","","","",$equipRef $navName,"","","","","","","","","","",@p:ubcv:r:20a64f6e-863d1c2c ICICS HW Main Meter,"","","","",✓,"",@p:ubcv:r:21697fca-46767efd ICICS Utilities,"","","",✓,0.25L/s,10min,"",2020-05-12T14:50:00-07:00 Los_Angeles,"","",consumption,135657,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,"","",Number,"","","","","","","",Flow,"","","","","","","","",✓,"","","","","","","","","","","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","","",Los_Angeles,L/s,✓,"","",✓,"","","","",2020-04-28T00:03:35.788Z UTC
@p:ubcv:r:238a0b5b-236431ff ICICS Unsorted Points JCL-NAE02/FCB.07A-FEC011.D81A-EN,"","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","",TL3000648,"",✓,JCL-NAE02/FCB.07A-FEC011.D81A-EN,"","","","","","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","False,True","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T13:08:18-07:00 Los_Angeles,"","","",973,2018-11-20T09:41:09-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:45:18.455-07:00 Los_Angeles,2018-11-25T13:45:23.783-08:00 Los_Angeles,"","","","","",JCL-NAE02/FCB.07A-FEC011.D81A-EN,✓,BV3000647,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE02/FCB.07A-FEC011.D81A-EN.Trend1,Los_Angeles,"","","","","","","",D-81a.D81A-EN,"",2020-05-06T11:02:03.494Z UTC
@p:ubcv:r:238a0b49-aad6f270 ICICS Rm 350 Zone JCL-NAE01/N2-17.IC17-141.03-RH-12 ZN-T,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3011099,"",✓,JCL-NAE01/N2-17.IC17-141.03-RH-12 ZN-T,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399bc38-25d2e30a ICICS Rm 350 Zone,"","","","","","",@p:ubcv:r:21978aa2-70b093b5 ICICS Floor 3,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50965,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:50.099-07:00 Los_Angeles,2018-12-07T12:37:23.174-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3011098,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-56eb42ef ICICS Rm 350,"","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,"",JCL-NAE01/N2-17.IC17-141.03-RH-12 ZN-T.Trend,Los_Angeles,°C,"","","","","","",CS-LVL3-RH.03-RH-12 ZN-T,✓,2020-04-09T19:01:57.642Z UTC
@p:ubcv:r:238a0b4c-c69a3032 ICICS Unsorted Points JCL-NAE01/Programming.In-Slab Zones.Slab temperature set points.South ave cooling ZN-T set point,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3052470,"",✓,JCL-NAE01/Programming.In-Slab Zones.Slab temperature set points.South ave cooling ZN-T set point,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",51403,2018-11-21T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:50.25-07:00 Los_Angeles,2018-11-25T13:45:23.463-08:00 Los_Angeles,"","","","","",JCL-NAE01/Programming.In-Slab Zones.Slab temperature set points.South ave cooling ZN-T set point,✓,AV3052402,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/Programming.In-Slab Zones.Slab temperature set points.South ave cooling ZN-T set point.Trend1,Los_Angeles,°C,"","","","","","",South ave cooling ZN-T set point,"",2020-04-09T19:01:57.643Z UTC
@p:ubcv:r:238a0b48-ec12e740 ICICS Unsorted Points JCL-NAE01/N2-16.IC16-018.00-FC-TX FC-S,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3008044,"",✓,JCL-NAE01/N2-16.IC16-018.00-FC-TX FC-S,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","Off,On","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"",✓,"","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T07:51:10-07:00 Los_Angeles,"","","",1439,2018-11-22T05:25:23-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:48.365-07:00 Los_Angeles,2018-12-07T12:37:22.139-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3008043,"","","","","","",✓,"","","","","","","","","",✓,"","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-16.IC16-018.00-FC-TX FC-S.Trend,Los_Angeles,"","","","","","","",IC-LVL0-FC.00-FC-TX FC-S,"",2020-04-08T18:50:04.906Z UTC
@p:ubcv:r:238a0b2f-39e0f7a7 ICICS Cooling Plant P-3 JCL-NAE03/FCB.Local Application.IC-CW_CP3-S,"","","",@p:ubcv:r:21e6a661-36fe7a6c ICICS (NAE-03),"","",TL3000478,"",✓,JCL-NAE03/FCB.Local Application.IC-CW_CP3-S,"","","","","","","",@p:ubcv:r:21e6a661-36fe7a6c ICICS (NAE-03),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","",@p:ubcv:r:20a64f6e-b22a1f92 ICICS Elec Main Meter,"","","","Off,On","",@p:ubcv:r:239abd0f-a1123f65 ICICS Cooling Plant P-3,"","","","","","",@p:ubcv:r:216983e3-ef52cc34 ICICS Hydronic Systems,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",45581,2018-11-22T15:00:00-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:46:38.369-07:00 Los_Angeles,2018-12-07T12:37:21.115-08:00 Los_Angeles,"","","","","",Pump Run Status,"",BI3000476,"","","","","","",✓,"","","",✓,"","","","","",✓,✓,"","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3d-23085a85 .+(\.|-|_)C?H?P\d+(-)?S,"","","",JCL-NAE03/FCB.Local Application.IC-CW_CP3-S.Trend1,Los_Angeles,"","","","","","","",IC-CW.CP3-S,"",2020-05-08T11:39:27.767Z UTC
@p:ubcv:r:238a0b49-dcbdc870 ICICS Rm 660 FC-SR JCL-NAE01/N2-17.IC17-023.AH2-FLR-OVRD-S,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3009474,"",✓,JCL-NAE01/N2-17.IC17-023.AH2-FLR-OVRD-S,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:2399bc37-c38e80aa ICICS Rm 660 FC-SR,"","","","","","",@p:ubcv:r:2399b50a-f5463425 ICICS Floor 6,"","","",✓,"","","",2020-05-06T10:35:40-07:00 Los_Angeles,"","","",39,2018-12-12T06:50:14-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:48.366-07:00 Los_Angeles,2018-11-25T13:45:23.621-08:00 Los_Angeles,"","","","","",JCL-NAE01/N2-17.IC17-023.AH2-FLR-OVRD-S,✓,BO3009473,"","","","","","",✓,"","","","","","","","",@p:ubcv:r:2399b50a-d7b5f8ad ICICS Rm 660,"","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/N2-17.IC17-023.AH2-FLR-OVRD-S.Trend,Los_Angeles,"","","","","","","",IC-LVL6-RH.AH2-FLR-OVRD-S,"",2020-04-08T18:50:12.629Z UTC
@p:ubcv:r:238a0b48-758f1610 ICICS Unsorted Points JCL-NAE01/N2-17.IC17-003.EF-11-S,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3008740,"",✓,JCL-NAE01/N2-17.IC17-003.EF-11-S,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,✓,✓,"","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T07:20:06-07:00 Los_Angeles,"","","",788,2018-11-19T07:00:12-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:54:48.566-07:00 Los_Angeles,2018-12-07T12:37:22.094-08:00 Los_Angeles,"","","","","",Exhaust Fan Run Status,"",BI3008739,"","","","","","",✓,"","","","","","","","","",✓,"","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3d-9d7111b8 .+(\.|-| |_)EF-?(\d+)?\w?-S,"","","",JCL-NAE01/N2-17.IC17-003.EF-11-S.Trend,Los_Angeles,"","","","","","","",CS-ROOF.EF-11-S,"",2020-04-08T18:55:50.657Z UTC
@p:ubcv:r:238a0b5b-25ef64fd ICICS Heating Plant JCL-NAE02/BACnet IP1.Device-400162.Analog Inputs.AI-10,"","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","",TL3000109,"",✓,JCL-NAE02/BACnet IP1.Device-400162.Analog Inputs.AI-10,"","","","","","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2399b9d2-4242a72c ICICS Heating Plant,"","","","","","",@p:ubcv:r:216983e3-ef52cc34 ICICS Hydronic Systems,"","","",✓,"","","",2020-05-05T11:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [4] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",42251,2018-11-21T05:30:00-08:00 Los_Angeles,fault,"","","",✓,Number,2020-05-12T01:13:13.302-07:00 Los_Angeles,2018-12-07T13:46:07.094-08:00 Los_Angeles,"","","","","",JCL-NAE02/BACnet IP1.Device-400162.Analog Inputs.AI-10,✓,AI3000097,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE02/BACnet IP1.Device-400162.Analog Inputs.AI-10.Trend1,Los_Angeles,°C,"","","","","","",Return Temperature,"",2020-05-06T11:02:03.627Z UTC
@p:ubcv:r:21683145-e1a485d1 ICICS AHU-03 JCL-NAE01/N2-17.AHU-03 - Hugh Dempster AHU.LT-A,"","",✓,@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"",AHU.LT-A.Trend1,TL3038679,"",✓,JCL-NAE01/N2-17.AHU-03 - Hugh Dempster AHU.LT-A,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Normal,Alarm","",@p:ubcv:r:2167ed82-9070724b ICICS AHU-03,"","","","","",✓,@p:ubcv:r:2203b248-90711536 ICICS Air Systems,"","","",✓,"","","",2019-05-22T14:47:30-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [126] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",79,2017-09-28T12:01:12-07:00 Los_Angeles,fault,"","","",✓,Bool,2020-05-12T01:13:13.261-07:00 Los_Angeles,2018-12-07T12:37:21.858-08:00 Los_Angeles,"",✓,"","","",Low Temp Alarm,"",BI3038590,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,"",✓,"","",Los_Angeles,"","","","","","","","","",2020-04-08T18:50:46.193Z UTC
@p:ubcv:r:238a0b4b-8e3e373d ICICS Unsorted Points JCL-NAE01/Programming.LP.AHU-3.Schedule-destination-OST,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3049421,"",✓,JCL-NAE01/Programming.LP.AHU-3.Schedule-destination-OST,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Occupied,UnOccupied,Standby,Not Set","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","-1 enumNumberToStr(self, false)",2019-03-29T06:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [125] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",208,2018-11-19T06:00:00-08:00 Los_Angeles,fault,"","","",✓,Number,2020-05-12T01:13:13.299-07:00 Los_Angeles,2018-11-25T13:45:24.033-08:00 Los_Angeles,"","","","","",Scheduled Occupancy,"",MSV3043617,"","","","","","",✓,"","","","","","","","","","","",✓,"","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:24ede125-239d50ec .+(S|s)chedule(.+)?,"","","","",Los_Angeles,_,"","","","","","","","",2020-04-14T16:50:00.002Z UTC
@p:ubcv:r:238a0b5b-0a6a5259 ICICS Unsorted Points JCL-NAE02/FCB.07A-FEC008.D51-EN,"","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","",TL3000540,"",✓,JCL-NAE02/FCB.07A-FEC008.D51-EN,"","","","","","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","False,True","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-08T16:39:53-07:00 Los_Angeles,"","","",438,2018-11-19T12:57:07-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:45:18.398-07:00 Los_Angeles,2018-11-25T13:45:23.729-08:00 Los_Angeles,"","","","","",JCL-NAE02/FCB.07A-FEC008.D51-EN,✓,BV3000539,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE02/FCB.07A-FEC008.D51-EN.Trend1,Los_Angeles,"","","","","","","",D-51.D51-EN,"",2020-05-06T11:02:03.758Z UTC
@p:ubcv:r:21683145-c5ef4e08 ICICS AHU-03 JCL-NAE01/N2-17.AHU-03 - Hugh Dempster AHU.EAD-O,"",✓,"",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"",AHU.EAD-O.Trend1,TL3038661,"",✓,JCL-NAE01/N2-17.AHU-03 - Hugh Dempster AHU.EAD-O,"","","","",✓,"","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","",✓,"","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2167ed82-9070724b ICICS AHU-03,✓,"","","","","",@p:ubcv:r:2203b248-90711536 ICICS Air Systems,"","","",✓,"","","",2019-05-22T15:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [126] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",54794,2017-10-04T05:15:00-07:00 Los_Angeles,fault,"","","",✓,Number,2020-05-12T01:13:13.334-07:00 Los_Angeles,2018-12-07T12:37:21.218-08:00 Los_Angeles,"","","","","",Exhaust Air Damper Cmd,"",AO3038580,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:2538b658-929a77d9 .+(\.|-| |_)EAD-O,"","","","",Los_Angeles,%,"","","","","","","","",2020-04-14T16:50:02.172Z UTC
@p:ubcv:r:238a0b5a-7132cea4 ICICS Heating Plant P-1 JCL-NAE02/FCB.Local Application.IC-HX1_HEP1-C,"","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","",TL3000067,"",✓,JCL-NAE02/FCB.Local Application.IC-HX1_HEP1-C,"","","","","","","",@p:ubcv:r:21e6a640-8dab48fe ICICS (NAE-02),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:239d8c47-6638acb3 ICICS Heating Plant P-1,"","","","","","",@p:ubcv:r:216983e3-ef52cc34 ICICS Hydronic Systems,"","","",✓,"","","",2020-05-05T11:00:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [237] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",41202,2018-11-22T15:00:00-08:00 Los_Angeles,fault,"","","",✓,Bool,2020-05-12T01:13:13.305-07:00 Los_Angeles,2018-12-07T12:37:21.471-08:00 Los_Angeles,"","","","","",JCL-NAE02/FCB.Local Application.IC-HX1_HEP1-C,✓,BO3000032,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE02/FCB.Local Application.IC-HX1_HEP1-C.Trend1,Los_Angeles,"","","","","","","",IC-HX1.HEP1-C,"",2020-05-06T11:02:04.056Z UTC
@p:ubcv:r:238a0b4b-df2add3a ICICS Unsorted Points JCL-NAE01/Programming.ICICS.Level 0.Level 0 average zone temperature,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3049535,"",✓,JCL-NAE01/Programming.ICICS.Level 0.Level 0 average zone temperature,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",50965,2018-11-22T05:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:49.991-07:00 Los_Angeles,2018-11-25T13:45:23.974-08:00 Los_Angeles,"","","","","",JCL-NAE01/Programming.ICICS.Level 0.Level 0 average zone temperature,✓,AV3049516,"","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","","","","","",JCL-NAE01/Programming.ICICS.Level 0.Level 0 average zone temperature.Trend1,Los_Angeles,°C,"","","","","","",Level 0 average zone temperature,"",2020-04-09T19:01:57.646Z UTC
@p:ubcv:r:238a0b48-d2260ada ICICS Unsorted Points JCL-NAE01/N2-16.IC16-043.CSLAB1-T,"","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","",TL3008550,"",✓,JCL-NAE01/N2-16.IC16-043.CSLAB1-T,"","","","","","","",@p:ubcv:r:2167ee3b-73db1b1f ICICS (NAE-01),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:238a0afb-e0104249 ICICS Unsorted Points,"","","","","","",@p:ubcv:r:238a0afb-9da1ee79 ICICS Unsorted Points,"","","",✓,"","","",2020-05-12T14:45:00-07:00 Los_Angeles,"","","",51249,2018-11-21T17:15:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:54:49.583-07:00 Los_Angeles,2018-12-07T12:37:21.367-08:00 Los_Angeles,"","","","","",Slab Temp,"",AI3008549,"","","","","",✓,✓,"","","","","","","","","","","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,"","","","","","",@p:ubcv:r:23e65d3d-af99a3e5 .+(\.|-| )(U|C)SLAB\d-T,"",✓,"",JCL-NAE01/N2-16.IC16-043.CSLAB1-T.Trend,Los_Angeles,°C,"","","","","","",IC-LVL4-SLAB.CSLAB1-T,"",2020-04-09T19:01:57.647Z UTC
@p:ubcv:r:263b76aa-6a0aebe5 ICICS Elec Main Meter Energy,"","","","","","","","","","","","","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"","","","",✓,"","",ok,4415220.5kWh,"","","","",$equipRef $navName,"","","",✓,"","",✓,"","","",@p:ubcv:r:20a64f6e-b22a1f92 ICICS Elec Main Meter,"","","","","","",@p:ubcv:r:21697fca-46767efd ICICS Utilities,"","","",✓,"",15min,"",2020-05-12T14:45:00-07:00 Los_Angeles,"","",consumption,319715,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"","","",Number,"","","","","","","",Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_ICICS_165.Elec_Energy,✓,"","",✓,"","","","",10393,"","","","","","","","",✓,"",@p:ubcv:r:20a64f6e-b5068697 ICICS,110,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","","","","",Los_Angeles,kWh,✓,"","","","","","","",2020-05-04T19:39:55.181Z UTC
