id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bmsName2,bridgeName,bypass,chilled,cmd,co2,connRef,cool,cooling,count,covTest,cur,curStatus,curVal,damper,delta,differential,disMacro,discharge,dupOld,dupOld2,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,freq,groupRef,heat,heating,heatingMode,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,max,min,mixed,mode,navName,noTagMatch,objectId,occ,occupancy,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointRef,pointType,power,preFilter,pressure,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,tags,temp,testPts,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,wifi,wifiId,window,zone,mod
@p:ubcv:r:22582394-fa35076a CIRS Rm 1230A FF-05 CIRS_FF05_FF_HTG_VLV_CTRL,"","","","",@p:ubcv:r:22581e67-8a46a813 CIRS North_In-Slab_Manifold_MAN-01_CP620903 (620903),"",TL2,"",✓,CIRS_FF05_FF_HTG_VLV_CTRL,"","","","",✓,"",@p:ubcv:r:22581e67-8a46a813 CIRS North_In-Slab_Manifold_MAN-01_CP620903 (620903),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:225ffb3d-52f73d74 CIRS Rm 1230A FF-05,✓,"","","","","","",@p:ubcv:r:225ffb3b-5dfe3b3d CIRS Floor 1,✓,✓,"",✓,"","","",2020-05-12T11:08:31-07:00 Los_Angeles,"","","",73982,2018-04-02T15:34:56-07:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T11:10:32.8-07:00 Los_Angeles,2019-01-23T16:53:26.91-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO7,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3d-40c6a6fe CIRS Rm 1230A,"","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:23e65d0e-a65213b1 .+_(HTG(_COIL)?|RHT)_VLV_CTRL(_TL)?,"","","","",CIRS_FF05_HTG_VLV_CTRL_POLL_TL,Los_Angeles,%,"",✓,"",✓,"","","","",2020-04-09T19:02:28.165Z UTC
@p:ubcv:r:24d4e882-e8a0d5a3 CIRS Unsorted Points CIRS_L4_WIN_N_STAIR_2_S,"","","","",@p:ubcv:r:22581905-893ded98 CIRS Elec_Rm4161_L4N_CP621400 (621400),"",TL84,"",✓,CIRS_L4_WIN_N_STAIR_2_S,"","","","","","",@p:ubcv:r:22581905-893ded98 CIRS Elec_Rm4161_L4N_CP621400 (621400),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Closed,Open","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-02-10T13:04:33-08:00 Los_Angeles,"","","",6,2020-01-30T17:47:11-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:01:54.783-07:00 Los_Angeles,"","","","","","",Window Status,"",BI1101,"","","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:24d5de60-df6447d0 .+_WIN(S(\d+)?)?_.+(_TL)?,"","","","",CIRS_L4_WIN_N_STAIR_2_S_COV_TL,Los_Angeles,"","","","","","","",✓,"",2020-04-08T18:54:33.588Z UTC
@p:ubcv:r:225824de-18991868 CIRS Unsorted Points CIRS_RCW_FILTRATE_PUMP_LEAD_ENABLE,"","","","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"",TL103,"",✓,CIRS_RCW_FILTRATE_PUMP_LEAD_ENABLE,"","","","","","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","OFF,ON","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2018-12-11T23:05:16-08:00 Los_Angeles,"","","",2,2017-09-13T18:49:42-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:04:58.306-07:00 Los_Angeles,2018-11-28T16:32:44.762-08:00 Los_Angeles,"","","","","",CIRS_RCW_FILTRATE_PUMP_LEAD_ENABLE,✓,BV6,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_RCW_FILTRATE_PUMP_LEAD_ENABLE_COV_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:49:21.897Z UTC
@p:ubcv:r:2258235e-13940a97 CIRS Rm 3181A FC-04 CIRS_FCU04_CLG_REQUEST_BV,"","","","",@p:ubcv:r:22581905-ae411024 CIRS Data_RM4161_L3N_CP621200___IP_BBMD47808 (621200),"",TL23,"",✓,CIRS_FCU04_CLG_REQUEST_BV,"","","","","","",@p:ubcv:r:22581905-ae411024 CIRS Data_RM4161_L3N_CP621200___IP_BBMD47808 (621200),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","OFF,ON","",@p:ubcv:r:225ffb3d-a999c92f CIRS Rm 3181A FC-04,✓,"","","","","","",@p:ubcv:r:225ffb3d-60e6d2c7 CIRS Floor 3,"","","",✓,"","","",2020-05-12T09:39:05-07:00 Los_Angeles,"","","",3074,2018-03-30T22:55:42-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:04:55.35-07:00 Los_Angeles,2018-11-28T16:32:29.987-08:00 Los_Angeles,"","","","","",CIRS_FCU04_CLG_REQUEST_BV,✓,BV4,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3d-3b0cc995 CIRS Rm 3181A,"","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_FCU04_CLG_REQUEST_BV_COV_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:53:15.673Z UTC
@p:ubcv:r:22582394-e522c612 CIRS Unsorted Points CIRS_L1N_PRES_CTRL_RA_DMP,"",✓,"","",@p:ubcv:r:22581e67-8a46a813 CIRS North_In-Slab_Manifold_MAN-01_CP620903 (620903),"",TL43,"",✓,CIRS_L1N_PRES_CTRL_RA_DMP,"","","","",✓,"",@p:ubcv:r:22581e67-8a46a813 CIRS North_In-Slab_Manifold_MAN-01_CP620903 (620903),"","","","","","","",✓,"","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:08:28-07:00 Los_Angeles,"","","",73835,2018-04-03T03:34:49-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:10:31.146-07:00 Los_Angeles,2019-01-23T16:53:17.135-08:00 Los_Angeles,"","","","","",Return Air Damper Cmd,"",AO8,"","","","","","","",✓,"","","","","","","","",✓,"","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:23e65d0f-635f2996 .+_RA_DMP(_TL)?,"","","","",CIRS_L1N_PRES_CTRL_RA_DMP_POLL_TL,Los_Angeles,%,"","","","","","","","",2020-04-09T19:02:28.166Z UTC
@p:ubcv:r:22582419-d081465a CIRS Rm 4355 Zone CIRS_L4S_RAD_OFFICE_12_C,"","","","",@p:ubcv:r:22582115-5f94c325 CIRS Underfloor_girdline_12/G_CP621502 (621502),"",TL3,"",✓,CIRS_L4S_RAD_OFFICE_12_C,"","","","",✓,"",@p:ubcv:r:22582115-5f94c325 CIRS Underfloor_girdline_12/G_CP621502 (621502),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:24d5d2e9-a506f3a7 CIRS Rm 4355 Zone,✓,"","","","","","",@p:ubcv:r:225ffb40-b948a04c CIRS Floor 4,"",✓,"",✓,"","","",2020-05-12T11:00:00-07:00 Los_Angeles,"","","",73591,2018-04-03T16:30:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:05:28.01-07:00 Los_Angeles,2019-01-23T16:52:55.353-08:00 Los_Angeles,"","","","","",Heating Cmd,"",AO1,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb41-9061db4e CIRS Rm 4355,"","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","","",Los_Angeles,_,"","","","","","","","",2020-04-09T19:15:22.443Z UTC
@p:ubcv:r:24d4e575-ae4c322a CIRS Unsorted Points CIRS_N1_GRP_DEC_LAB_WIN_4_S,"","","","",@p:ubcv:r:22581e67-36fc445f CIRS Electrical_Rm_L181A_CP620901 (620901),"",TL9,"",✓,CIRS_N1_GRP_DEC_LAB_WIN_4_S,"","","","","","",@p:ubcv:r:22581e67-36fc445f CIRS Electrical_Rm_L181A_CP620901 (620901),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Closed,Open","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-03-05T14:59:01-08:00 Los_Angeles,"","","",102,2019-08-06T18:28:49-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:13:03.827-07:00 Los_Angeles,"","","","","","",Window Status,"",BI4,"","","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:24d5de60-df6447d0 .+_WIN(S(\d+)?)?_.+(_TL)?,"","","","",CIRS_N1_GRP_DEC_LAB_WIN_4_S_COV_TL,Los_Angeles,"","","","","","","",✓,"",2020-04-08T18:52:23.859Z UTC
@p:ubcv:r:2258240f-5440dac5 CIRS Rm 2357 Zone CIRS_L2S_RAD_OFFICE_14_RT_AV,"",✓,"","",@p:ubcv:r:22581ed2-4128e882 CIRS Underfloor_girdline_12/G_CP621102 (621102),"",TL49,"",✓,CIRS_L2S_RAD_OFFICE_14_RT_AV,"","","","","","",@p:ubcv:r:22581ed2-4128e882 CIRS Underfloor_girdline_12/G_CP621102 (621102),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:24d5d2e9-f79721df CIRS Rm 2357 Zone,✓,"","","","","","",@p:ubcv:r:225ffb3d-63d70842 CIRS Floor 2,"","","",✓,"","","",2020-05-12T11:00:00-07:00 Los_Angeles,"","","",73786,2018-04-03T03:30:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:10:30.674-07:00 Los_Angeles,2019-01-23T16:53:05.728-08:00 Los_Angeles,"","","","","",Zone Temp,"",AV10322,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3f-ee014d7d CIRS Rm 2357,"","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"","",CIRS_L2S_RAD_OFFICE_14_RT_TL,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:28.347Z UTC
@p:ubcv:r:22582355-312602b6 CIRS Cooling Plant CIRS_CWS_CWRT_MUXED_CP620300,"","","","",@p:ubcv:r:225818d1-97f8927d CIRS Basement_Mech_Room_CP620300 (620300),"",TL56,"",✓,CIRS_CWS_CWRT_MUXED_CP620300,"","","","","","",@p:ubcv:r:225818d1-97f8927d CIRS Basement_Mech_Room_CP620300 (620300),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600022-a5e858ed CIRS Cooling Plant,✓,"","","","","","",@p:ubcv:r:225ff10c-3a1bb8cb CIRS Hydronic Systems,"","","",✓,"","","",2020-05-12T11:01:33-07:00 Los_Angeles,"","","",220862,2018-04-03T17:15:36-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:04:58.919-07:00 Los_Angeles,2018-11-28T16:32:54.744-08:00 Los_Angeles,"","","","","",CIRS_CWS_CWRT_MUXED_CP620300,✓,AV36,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_CWS_CWRT_MUXED_CP620300_POLL_TL,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:27.596Z UTC
@p:ubcv:r:2258242f-4cab92d8 CIRS Unsorted Points CIRS_L2_IN_SLAB_HWS_HWST_SP,"","","","",@p:ubcv:r:22581ed2-ba797346 CIRS Underfloor_girdline_4/F_CP621106 (621106),"",TL13,"",✓,CIRS_L2_IN_SLAB_HWS_HWST_SP,"","","","","","",@p:ubcv:r:22581ed2-ba797346 CIRS Underfloor_girdline_4/F_CP621106 (621106),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:00:53-07:00 Los_Angeles,"","","",73805,2018-04-03T03:24:34-07:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T11:11:12.128-07:00 Los_Angeles,2019-01-23T16:53:27.037-08:00 Los_Angeles,✓,"","","","",Leaving Hot Water Temp Sp,"",AV8,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"",✓,"","","",@p:ubcv:r:23e65d0e-fbb477f4 .+_HWST_SP(_TL)?,"",✓,"","",CIRS_L2_IN_SLAB_HWS_HWST_SP_POLL_TL,Los_Angeles,°C,"","","",✓,"","","","",2020-04-09T19:02:28.425Z UTC
@p:ubcv:r:225824de-5f9838e9 CIRS Rm 1321 UH-18 CIRS_UH18_RT_SP,"",✓,"","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"",TL116,"",✓,CIRS_UH18_RT_SP,"","","","","","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","","",@p:ubcv:r:225ffb3e-5b9fdb1f CIRS Rm 1321 UH-18,✓,"","","","","","",@p:ubcv:r:225ffb3b-5dfe3b3d CIRS Floor 1,"","","",✓,"","","",2020-05-12T11:01:19-07:00 Los_Angeles,"","","",73975,2018-04-02T15:53:47-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:04:58.686-07:00 Los_Angeles,2019-01-23T16:53:21.351-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV47,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3e-4d78a23b CIRS Rm 1321,"","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"",✓,"","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"","",CIRS_UH18_RT_SP_POLL_TL,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:28.057Z UTC
@p:ubcv:r:24d4e78d-5a8ce721 CIRS Unsorted Points CIRS_BLDG_SIM_SW_WIN_11_S,"","","","",@p:ubcv:r:22582046-64e7345b CIRS Underfloor_girdline_12/A-B_CP621202 (621202),"",TL50,"",✓,CIRS_BLDG_SIM_SW_WIN_11_S,"","","","","","",@p:ubcv:r:22582046-64e7345b CIRS Underfloor_girdline_12/A-B_CP621202 (621202),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","Closed,Open","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-03-13T12:32:52-07:00 Los_Angeles,"","","",79,2019-09-27T02:59:37-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:14:36.714-07:00 Los_Angeles,"","","","","","",Window Status,"",BI2,"","","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:24d5de60-df6447d0 .+_WIN(S(\d+)?)?_.+(_TL)?,"","","","",CIRS_BLDG_SIM_SW_WIN_11_S_COV_TL,Los_Angeles,"","","","","","","",✓,"",2020-04-08T18:54:28.797Z UTC
@p:ubcv:r:22582355-2b1c25ee CIRS Unsorted Points CIRS_BTU_EM11_MODE2_CLG_ENERGY_MUX,"","","","",@p:ubcv:r:225818d1-97f8927d CIRS Basement_Mech_Room_CP620300 (620300),"",TL211,"",✓,CIRS_BTU_EM11_MODE2_CLG_ENERGY_MUX,"","","","","","",@p:ubcv:r:225818d1-97f8927d CIRS Basement_Mech_Room_CP620300 (620300),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:00:00-07:00 Los_Angeles,"","","",74267,2018-03-30T17:30:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:04:58.933-07:00 Los_Angeles,2018-11-28T16:33:00.276-08:00 Los_Angeles,"","","","","",CIRS_BTU_EM11_MODE2_CLG_ENERGY_MUX,✓,AV134,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_BTU_EM11_MODE2_ENERGY_MUX_TL,Los_Angeles,kWh,"","","","","","","","",2020-04-09T19:02:27.597Z UTC
@p:ubcv:r:2258236a-ecb74806 CIRS Rm 1250 FC-01 CIRS_FCU01_NSB_BV,"","","","",@p:ubcv:r:22581905-7d4b9c2b CIRS Electrical_Rm_L181A_L1N_CP620900 (620900),"",TL33,"",✓,CIRS_FCU01_NSB_BV,"","","","","","",@p:ubcv:r:22581905-7d4b9c2b CIRS Electrical_Rm_L181A_L1N_CP620900 (620900),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","OFF,ON","",@p:ubcv:r:225ffb3d-d295f84a CIRS Rm 1250 FC-01,✓,"","","","","","",@p:ubcv:r:225ffb3b-5dfe3b3d CIRS Floor 1,"","","",✓,"","","",2019-02-26T15:51:34-08:00 Los_Angeles,"","","",1,2019-02-26T15:51:34-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:03:10.478-07:00 Los_Angeles,2018-11-28T16:32:55.685-08:00 Los_Angeles,"","","","","",CIRS_FCU01_NSB_BV,✓,BV12,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3d-9224592c CIRS Rm 1250,"","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_FCU01_NSB_BV_COV_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:54:19.272Z UTC
@p:ubcv:r:225824df-2355e717 CIRS Waste Water Treatment CIRS_RCLM_WW_CITY_WTR_TANK_ONLY_FLOAT,"","","","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"",TL15,"",✓,CIRS_RCLM_WW_CITY_WTR_TANK_ONLY_FLOAT,"","","","","","",@p:ubcv:r:22581905-32f98544 CIRS Wastewater_Reclamation_1302_CP620800 (620800),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","No_Water,Water","",@p:ubcv:r:22600a28-b5f4fb08 CIRS Waste Water Treatment,✓,"","","","","","",@p:ubcv:r:225ff10c-3a1bb8cb CIRS Hydronic Systems,"","","",✓,"","","",2018-05-23T12:06:32-07:00 Los_Angeles,"","","",19,2017-09-22T11:32:15-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T11:04:58.258-07:00 Los_Angeles,2018-11-28T16:32:31.02-08:00 Los_Angeles,"","","","","",CIRS_RCLM_WW_CITY_WTR_TANK_ONLY_FLOAT,✓,BI2401,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",CIRS_RCLM_WW_CITY_WTR_TANK_LLO_FLOAT_COV_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:53:32.886Z UTC
@p:ubcv:r:24d4e7bd-22ed8b52 CIRS Unsorted Points Wireless_018F2231_RT_SP_MAX,"","","","",@p:ubcv:r:22582046-db2973dd CIRS Underfloor_gridline_13A_CP621205 (621205),"",TL19,"",✓,Wireless_018F2231_RT_SP_MAX,"","","","","","",@p:ubcv:r:22582046-db2973dd CIRS Underfloor_gridline_13A_CP621205 (621205),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:08:40-07:00 Los_Angeles,"","","",27533,2019-07-28T17:05:53-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:10:31.829-07:00 Los_Angeles,"","","","","","",Wireless_018F2231_RT_SP_MAX,✓,AV10208,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",Wireless_018F2231_RT_SP_MAX_POLL_TL,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:28.549Z UTC
@p:ubcv:r:225823e0-5a2e5179 CIRS Rm 2131 Zone CIRS_L2N_RAD_OFFICE_11_MODE_MV,"","","","",@p:ubcv:r:22581fde-674170c3 CIRS Underfloor_Gridline_8/B_CP621004 (621004),"",TL32,"",✓,CIRS_L2N_RAD_OFFICE_11_MODE_MV,"","","","",✓,"",@p:ubcv:r:22581fde-674170c3 CIRS Underfloor_Gridline_8/B_CP621004 (621004),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","OS,OCCUPIED,NSB HEATING,STANDBY,NSB COOLING,ALARM,PURGE,OVERRIDE,UNOCCUPIED,DAY SB HEATING","",@p:ubcv:r:24d5d2e9-9a5fa0c1 CIRS Rm 2131 Zone,✓,"","","","","","",@p:ubcv:r:225ffb3d-63d70842 CIRS Floor 2,"",✓,✓,✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T11:00:00-07:00 Los_Angeles,"","","",68256,2018-04-03T03:30:00-07:00 Los_Angeles,ok,"","","",Str,2020-05-12T11:10:28.485-07:00 Los_Angeles,2019-01-23T16:53:19.077-08:00 Los_Angeles,"","","","",✓,Heating Mode,"",MSV2,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:225ffb3f-566fc9ce CIRS Rm 2131,"","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","",@p:ubcv:r:23e65d0e-9a375203 .+_MODE_MV(_TL)?,"","","","",CIRS_L2N_RAD_OFFICE_11_MODE_TL,Los_Angeles,"","","","","","","","","",2020-04-08T18:54:09.218Z UTC
@p:ubcv:r:24d4e940-ca547255 CIRS Unsorted Points Wireless_01937926_RT_OFFICE_6A,"","","","",@p:ubcv:r:22582115-277bc97c CIRS Underfloor_girdline_12/F_CP621501 (621501),"",TL15,"",✓,Wireless_01937926_RT_OFFICE_6A,"","","","","","",@p:ubcv:r:22582115-277bc97c CIRS Underfloor_girdline_12/F_CP621501 (621501),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:09-07:00 Los_Angeles,"","","",27128,2019-07-30T03:41:10-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:05:27.154-07:00 Los_Angeles,"","","","","","",Wireless_01937926_RT_OFFICE_6A,✓,AV10201,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",Wireless_01937926_RT_POLL_TL,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:28.836Z UTC
@p:ubcv:r:24d4e999-6c88196b CIRS Unsorted Points Wireless_0193779D_RT_OFFICE_2,"","","","",@p:ubcv:r:22582115-b2174dd6 CIRS Underfloor_girdline_9/F_CP621503 (621503),"",TL10,"",✓,Wireless_0193779D_RT_OFFICE_2,"","","","","","",@p:ubcv:r:22582115-b2174dd6 CIRS Underfloor_girdline_9/F_CP621503 (621503),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:22600d2f-b47d62cf CIRS Unsorted Points,✓,"","","","","","",@p:ubcv:r:22600a2d-ba8df7a7 CIRS Unsorted Points,"","","",✓,"","","",2020-05-12T11:01:09-07:00 Los_Angeles,"","","",27452,2019-07-30T03:50:51-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:03:10.858-07:00 Los_Angeles,"","","","","","",Wireless_0193779D_RT_OFFICE_2,✓,AV10101,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","",Wireless_0193779D_RT_POLL_TL,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:28.884Z UTC
@p:ubcv:r:2258235a-b8cbc68e CIRS AHU-01 CIRS_AHU1_MIN_MAT_CO_POLL_TL,"","","","",@p:ubcv:r:2257efc0-2c38ebfc CIRS CIRS_BSMT_MECH_AHU1_HRAH_UH7_CP620100 (620100),"",TL89,"",✓,CIRS_AHU1_MIN_MAT_CO_POLL_TL,"","","","","","",@p:ubcv:r:2257efc0-2c38ebfc CIRS CIRS_BSMT_MECH_AHU1_HRAH_UH7_CP620100 (620100),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","",@p:ubcv:r:225fec25-ff07c372 CIRS AHU-01,✓,"","","","","","",@p:ubcv:r:225fec25-18138bcf CIRS Air Systems,"","","",✓,"","","",2020-05-12T11:01:31-07:00 Los_Angeles,"","","",73974,2018-04-02T15:22:42-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T11:04:59.318-07:00 Los_Angeles,2018-11-28T16:32:35.539-08:00 Los_Angeles,"","","","","",CIRS_AHU1_MIN_MAT_CO_POLL_TL,✓,LP3,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:209d1ef7-8e24b8e1 CIRS,"","","","","","","","","","","",Los_Angeles,_,"","","","","","","","",2020-04-09T19:15:21.913Z UTC
