id,air,alarm,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,chanGunnDeepDive,connRef,cur,curStatus,curVal,disMacro,disabled,discharge,elec,energy,enum,equipRef,frank,groupRef,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,kind,lastSynced,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,shortName,siemens,siemensName,siteRef,sourceID,sqlConnRef,sqlPoint,tags,temp,tlName,tz,unit,utilityPoint,window,mod
@p:ubcv:r:24919008-2eee2110 Chan Gunn Unsorted Points SMC_SLAB_HTG_STPT_MIN,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL251,✓,SMC_SLAB_HTG_STPT_MIN,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31914,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:08.109-07:00 Los_Angeles,"",SMC_SLAB_HTG_STPT_MIN,✓,AV2,"","","",✓,"","","","","",✓,SMC_SLAB_HTG_STPT_MIN,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_251,Los_Angeles,°C,"","",2020-04-09T19:01:56.409Z UTC
@p:ubcv:r:249187a1-80710d5c Chan Gunn Unsorted Points SMC.301532:VALVE_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL907,✓,SMC.301532:VALVE_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","CLOSED,OPEN",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:02-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [163] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15038,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Bool,2020-05-10T22:28:03.45-07:00 Los_Angeles,"",SMC.301532:VALVE_CMD,✓,BO1,"","","",✓,"","","","","",✓,SMC.301532:VALVE_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:12.459Z UTC
@p:ubcv:r:24194e51-2cf0ab52 Chan Gunn Unsorted Points SMC.301600.OCC,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL175,✓,SMC.301600.OCC,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:00-07:00 Los_Angeles,"","",20015,2019-03-13T17:00:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:07.437-07:00 Los_Angeles,"",SMC.301600.OCC,✓,BV34,"","","",✓,"","","","","",✓,SMC.301600.OCC,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_175,Los_Angeles,"","","",2020-02-12T22:12:44.926Z UTC
@p:ubcv:r:249187a6-e9770caf Chan Gunn Unsorted Points SMC.301532:AIR_TEMP_SP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL955,✓,SMC.301532:AIR_TEMP_SP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:02-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [184] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15040,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:03.458-07:00 Los_Angeles,"",SMC.301532:AIR_TEMP_SP,✓,AI1,"","","",✓,"","","","","",✓,SMC.301532:AIR_TEMP_SP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.988Z UTC
@p:ubcv:r:2491879f-a3821b10 Chan Gunn Unsorted Points SMC.301544:OAD_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL887,✓,SMC.301544:OAD_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-07-08T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [225] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",2880,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.508-07:00 Los_Angeles,"",SMC.301544:OAD_CMD,✓,AO0,"","","",✓,"","","","","",✓,SMC.301544:OAD_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.989Z UTC
@p:ubcv:r:24919005-99245205 Chan Gunn Unsorted Points SMC_WIND_SPEED,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL254,✓,SMC_WIND_SPEED,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31914,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:08.151-07:00 Los_Angeles,"",SMC_WIND_SPEED,✓,AV35,"","","",✓,"","","","","",✓,SMC_WIND_SPEED,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_254,Los_Angeles,m/s,"","",2020-04-09T19:01:56.412Z UTC
@p:ubcv:r:25a29cb2-39f22843 Chan Gunn Unsorted Points SMC.MF1.DEWPT.ALM,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL970,"",SMC.MF1.DEWPT.ALM,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","NORMAL,ALARM",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-11T16:56:19-07:00 Los_Angeles,"","",155,2019-12-30T08:45:06-08:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:16.156-07:00 Los_Angeles,"",SMC.MF1.DEWPT.ALM,✓,BV1,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301500_TrendLog_970,Los_Angeles,"","","",2020-02-12T22:05:52.697Z UTC
@p:ubcv:r:24919009-d1cdcc2d Chan Gunn Unsorted Points VALVE_CMD,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL269,✓,VALVE_CMD,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31951,2019-06-08T15:15:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:09.729-07:00 Los_Angeles,"",VALVE_CMD,✓,BO0,"","","",✓,"","","","","",✓,VALVE_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:16.189Z UTC
@p:ubcv:r:24919005-2239b403 Chan Gunn Unsorted Points SMC_NATV-3-6_TOP_FAN_STS,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL217,✓,SMC_NATV-3-6_TOP_FAN_STS,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31916,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:08.171-07:00 Los_Angeles,"",SMC_NATV-3-6_TOP_FAN_STS,✓,BV33,"","","",✓,"","","","","",✓,SMC_NATV-3-6_TOP_FAN_STS,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_217,Los_Angeles,"","","",2020-02-12T22:07:24.221Z UTC
@p:ubcv:r:24194e41-fe8505bd Chan Gunn Unsorted Points SMC_ASHP-1_CMD,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL48,✓,SMC_ASHP-1_CMD,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:06:07-07:00 Los_Angeles,"","",3484,2019-03-16T05:56:45-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:06.962-07:00 Los_Angeles,"",SMC_ASHP-1_CMD,✓,BO12,"","","",✓,"","","","","",✓,SMC_ASHP-1_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC_ASHP-1_CMD_TL_COV,Los_Angeles,"","","",2020-02-12T22:13:16.176Z UTC
@p:ubcv:r:25a29cb2-c84384c7 Chan Gunn Unsorted Points SMC.301670_21L1_KWH_HR_LAST,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1151,"",SMC.301670_21L1_KWH_HR_LAST,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12418,2020-01-03T05:00:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.499-07:00 Los_Angeles,"",SMC.301670_21L1_KWH_HR_LAST,✓,AV106,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301670_21L1_KWH_HR_LST_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:55.979Z UTC
@p:ubcv:r:25a29cb2-be91490a Chan Gunn Unsorted Points SMC.HTG.DEG.DAY,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1121,"",SMC.HTG.DEG.DAY,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-10T00:01:01-07:00 Los_Angeles,"","",86,2019-12-30T00:01:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:16.172-07:00 Los_Angeles,"",SMC.HTG.DEG.DAY,✓,AV87,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.HTG.DEG.DAY_TL_COV,Los_Angeles,°daysC,"","",2020-04-09T19:01:55.983Z UTC
@p:ubcv:r:249187a0-dffeae43 Chan Gunn Unsorted Points SMC_NATV-1-1_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL897,✓,SMC_NATV-1-1_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","OFF,ON",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",31185,2019-06-08T14:15:02-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:17.54-07:00 Los_Angeles,"",SMC.301515:VALVE_CMD,✓,BO0,"","","",✓,"","","","","",✓,SMC.301515:VALVE_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301500_TrendLog_897,Los_Angeles,"","","",2020-02-12T22:08:32.426Z UTC
@p:ubcv:r:2491879e-5f8b0401 Chan Gunn Unsorted Points SMC.301528:OAD_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL875,✓,SMC.301528:OAD_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [215] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15039,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:02.999-07:00 Los_Angeles,"",SMC.301528:OAD_CMD,✓,AO1,"","","",✓,"","","","","",✓,SMC.301528:OAD_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.993Z UTC
@p:ubcv:r:24919008-5b341540 Chan Gunn Unsorted Points VLV_CMD,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL259,✓,SMC_PCHW_DP_PG,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31952,2019-06-08T15:15:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:09.91-07:00 Los_Angeles,"",VLV_CMD,✓,AV19,"","","",✓,"","","","","",✓,VLV_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_259,Los_Angeles,_,"","",2020-04-09T19:15:01.645Z UTC
@p:ubcv:r:24919005-9a792414 Chan Gunn Unsorted Points SMC_ATR_EXH_POS,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL198,✓,SMC_ATR_EXH_POS,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31916,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:08.241-07:00 Los_Angeles,"",SMC_ATR_EXH_POS,✓,AV24,"","","",✓,"","","","","",✓,SMC_ATR_EXH_POS,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_198,Los_Angeles,%,"","",2020-04-09T19:01:56.421Z UTC
@p:ubcv:r:2426d149-e05a43d0 Chan Gunn Unsorted Points SMC.301516:AOV3,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL702,✓,SMC.301516:AOV3,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [110] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",11317,2019-03-20T19:15:01-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:01.716-07:00 Los_Angeles,"",SMC.301516:AOV3,✓,AO34,"","","",✓,"","","","","",✓,SMC.301516:AOV3,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.995Z UTC
@p:ubcv:r:25a29cb2-bf722942 Chan Gunn Unsorted Points SMC.301517_FAN_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1241,"",SMC.301517_FAN_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.558-07:00 Los_Angeles,"",SMC.301517_FAN_KWH,✓,AV19,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301517_FAN_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:55.987Z UTC
@p:ubcv:r:24919005-97a337b4 Chan Gunn Unsorted Points SMC_ATR_EF11_ENA,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL193,✓,SMC_ATR_EF11_ENA,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","DISABLED,ENABLED",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31916,2019-06-08T15:00:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:09:08.262-07:00 Los_Angeles,"",SMC_ATR_EF11_ENA,✓,BV35,"","","",✓,"","","","","",✓,SMC_ATR_EF11_ENA,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_193,Los_Angeles,"","","",2020-02-12T22:09:15.97Z UTC
@p:ubcv:r:25a29cb2-713fcea9 Chan Gunn Unsorted Points SMC.301508_2_H/C_P_KWH,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1251,"",SMC.301508_2_H/C_P_KWH,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12526,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.575-07:00 Los_Angeles,"",SMC.301508_2_H/C_P_KWH,✓,AV9,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301508_2_H/C_P_KWH_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:55.988Z UTC
@p:ubcv:r:24194e17-a1a5367d Chan Gunn Unsorted Points SMC.301619_TF-4_KWH,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL127,✓,SMC.301619_TF-4_KWH,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:08:48-07:00 Los_Angeles,"","",275095,2019-03-18T04:36:52-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:11.384-07:00 Los_Angeles,"",SMC.301619_TF-4_KWH,✓,AV40,"","","",✓,"","","","","",✓,SMC.301619_TF-4_KWH,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_127,Los_Angeles,kWh,"","",2020-04-09T19:01:56.423Z UTC
@p:ubcv:r:2426d237-0ce22724 Chan Gunn Unsorted Points SMC.301520:LTG.OCC,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL771,✓,SMC.301520:LTG.OCC,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","UNOCC,OCC",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",11314,2019-03-20T19:20:00-07:00 Los_Angeles,ok,"",Bool,2020-05-12T11:07:15.664-07:00 Los_Angeles,"",SMC.301520:LTG.OCC,✓,BO1009,"","","",✓,"","","","","",✓,SMC.301520:LTG.OCC,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,"","","",2019-12-03T18:23:00.175Z UTC
@p:ubcv:r:249187a5-9b90c9f9 Chan Gunn Unsorted Points SMC.301515:AIR_TEMP_SP,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL946,✓,SMC.301515:AIR_TEMP_SP,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",31185,2019-06-08T14:15:02-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.618-07:00 Los_Angeles,"",SMC.301515:AIR_TEMP_SP,✓,AI2,"","","",✓,"","","","","",✓,SMC.301515:AIR_TEMP_SP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.997Z UTC
@p:ubcv:r:2491900b-e76721d3 Chan Gunn Unsorted Points AIR_TEMP,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL285,✓,SMC_ATR_EF-11_AMP,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:01-07:00 Los_Angeles,"","",31950,2019-06-08T15:15:00-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:09.953-07:00 Los_Angeles,"",AIR_TEMP,✓,AI2,"","","",✓,"","","","","",✓,AIR_TEMP,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301600_TrendLog_285,Los_Angeles,A,"","",2020-04-09T19:01:56.426Z UTC
@p:ubcv:r:2422cc9f-7927cd11 Chan Gunn Unsorted Points SMC.301613:Airflow_TL_COV,"","",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),TL110,✓,SMC_PCHW_DP,"",@p:ubcv:r:24142613-4f3da7d6 SMED02 (301600),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:07:56-07:00 Los_Angeles,"","",453846,2019-03-13T14:42:43-07:00 Los_Angeles,ok,"",Number,2020-05-12T11:09:11.36-07:00 Los_Angeles,"",SMC.301613:Airflow_TL_COV,✓,"","","","",✓,"","","","","",✓,SMC.301613:Airflow_TL_COV,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC.301613:Airflow_TL_COV,Los_Angeles,kPa,"","",2020-04-09T19:01:56.428Z UTC
@p:ubcv:r:25a29cb2-e68a73bb Chan Gunn Unsorted Points SMC_ELEC_KWH_AUG,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1209,"",SMC_ELEC_KWH_AUG,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2020-05-12T11:00:03-07:00 Los_Angeles,"","",12527,2020-01-02T16:30:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:17.658-07:00 Los_Angeles,"",SMC_ELEC_KWH_AUG,✓,AV57,"","","",✓,"","","","","",✓,"",@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",SMC_ELEC_KWH_AUG_TL_15,Los_Angeles,kWh,"","",2020-04-09T19:01:55.992Z UTC
@p:ubcv:r:2491879d-81b64093 Chan Gunn Unsorted Points SMC.301524:OAD_CMD,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL871,✓,SMC.301524:OAD_CMD,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $siemensName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-11-26T09:45:02-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [212] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","",15043,2019-06-08T14:15:02-07:00 Los_Angeles,fault,"",Number,2020-05-10T22:28:03.479-07:00 Los_Angeles,"",SMC.301524:OAD_CMD,✓,AO1,"","","",✓,"","","","","",✓,SMC.301524:OAD_CMD,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","","",Los_Angeles,_,"","",2020-04-09T19:15:00.999Z UTC
@p:ubcv:r:241431a6-8275c000 Chan Gunn Unsorted Points SMC_ELEC_KWH_SUN,"","",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),TL1623,✓,SMC_ELEC_KWH_SUN,"",@p:ubcv:r:2347ccae-f3163209 SMED01 (301500),"","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:24142ca0-15cfcef4 Chan Gunn Unsorted Points,"",@p:ubcv:r:24142ca0-0c440766 Chan Gunn Unsorted Points,✓,"","","",2019-04-30T09:40:04-07:00 Los_Angeles,"","",12770,2019-03-06T15:15:00-08:00 Los_Angeles,ok,"",Number,2020-05-12T11:07:15.677-07:00 Los_Angeles,"",SMC_ELEC_KWH_SUN,✓,AV68,"","","",✓,"","","","",SMC_ELEC_KWH_SUN,✓,SMC_ELEC_KWH_SUN,@p:ubcv:r:220659be-9cc7b5eb Chan Gunn,"","","","","",301500_TrendLog_1623,Los_Angeles,kWh,"","",2020-04-09T19:01:55.995Z UTC
