id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bacnetWriteLevel,bmsName,bridgeName,cmd,co2,connRef,cooling,count,covTest,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,dxCoilMode,effective,elec,elecMeterLoad,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,groupRef,heat,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,low,min,mixed,mode,navName,newPoint,noTagMatch,objectId,occ,occupancyIndicator,oldPoint,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preFilter,pressure,primaryLoop,pump,quantityID,reliability,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,vfd,volume,water,waterMeterLoad,wifi,wifiId,writable,writeLevel,writeStatus,zachName,zone,zones,mod
@p:ubcv:r:2242fc11-65c056bc AERL other FC-1 JCL-NAE12/N2-A.02A007UN.DX1-C,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000080,"",✓,"",JCL-NAE12/N2-A.02A007UN.DX1-C,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","Off,On","",@p:ubcv:r:2242f07f-70368ff9 AERL other FC-1,"","","","","",@p:ubcv:r:2242ea4c-73a9dfb1 AERL Floor 1,"","",✓,"","","",2020-05-12T13:52:02-07:00 Los_Angeles,"","","",37513,2018-03-19T12:50:44-07:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T13:54:12.733-07:00 Los_Angeles,2018-11-06T11:09:21.135-08:00 Los_Angeles,"","","","","",JCL-NAE12/N2-A.02A007UN.DX1-C,"",✓,BO3000079,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:2242f5aa-09caa776 AERL other,"","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","",JCL-NAE12/N2-A.02A007UN.DX1-C.Trend,Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:51:44.908Z UTC
@p:ubcv:r:2242fc11-87266f98 AERL Heating Plant JCL-NAE12/N2-B.02B001DX.EF2-C,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000196,"",✓,"",JCL-NAE12/N2-B.02B001DX.EF2-C,"",✓,"",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On",EF2,@p:ubcv:r:2242f080-587be69b AERL Heating Plant,✓,✓,"","","",@p:ubcv:r:216981ef-9ee8f059 AERL Hydronic Systems,"","",✓,"","","",2020-05-12T11:00:20-07:00 Los_Angeles,"","","",479,2018-01-06T15:04:09-08:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T13:54:12.735-07:00 Los_Angeles,2018-12-07T09:45:28.866-08:00 Los_Angeles,"","","","","",Exhaust Fan Run Cmd,"","",BO3000195,"","",✓,"","","","",✓,"","","","","","","","","",✓,"","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"",JCL-NAE12/N2-B.02B001DX.EF2-C.Trend,Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:55:39.937Z UTC
@p:ubcv:r:247f29fa-01b069c3 AERL Unsorted Points JCL-NAE13/FCB.Local Application.3160 SHWS P04-S,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000551,"",✓,"",JCL-NAE13/FCB.Local Application.3160 SHWS P04-S,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-07T12:07:45-07:00 Los_Angeles,"","","",232,2019-05-23T14:40:58-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:00:14.177-07:00 Los_Angeles,"","","","","","",Pump Run Status,✓,"",BI3000528,"","",✓,"","","","",✓,"","","","","",✓,"","","",✓,"","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:2549f4de-0619d1f0 .+(\.|-| )P(CHWP)?E?\d+\w?-S,"",JCL-NAE13/FCB.Local Application.3160 SHWS P04-S.Trend1,Los_Angeles,"","","","","","","","","","","","",3160.SHWS.P04-S,"","",2020-04-08T18:55:24.554Z UTC
@p:ubcv:r:2242fc11-3034fd20 AERL Lab 2 Zone JCL-NAE12/N2-A.02A001UN.WESTCO-L,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000005,"",✓,"",JCL-NAE12/N2-A.02A001UN.WESTCO-L,"","",✓,@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:25d48c78-135df3d7 AERL Lab 2 Zone,"","","","","",@p:ubcv:r:2242e995-27198246 AERL Floor 2,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",37333,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T13:54:12.739-07:00 Los_Angeles,2018-12-07T09:45:38.595-08:00 Los_Angeles,"","","","","",Zone Co2,"","",AI3000004,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:25d48c78-aef765e2 AERL Lab 2,"","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-b3e00eb3 .+(\.|-| )WESTCO-L,"",JCL-NAE12/N2-A.02A001UN.WESTCO-L.Trend,Los_Angeles,ppm,"","","","","","","","","","","","",✓,"",2020-04-09T19:01:59.335Z UTC
@p:ubcv:r:253ba37e-2868311d AERL Unsorted Points P05 JCL-NAE13/FCB.FEC-005.P05-S,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000694,"",✓,"",JCL-NAE13/FCB.FEC-005.P05-S,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","Off,On",P05,@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T13:00:03-07:00 Los_Angeles,"","","",425,2019-10-16T11:13:02-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:00:14.188-07:00 Los_Angeles,"","","","","","",Run Status,"","",BI3000630,"","","","","","","",✓,"","","","","",✓,"","","",✓,"","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE13/FCB.FEC-005.P05-S.Trend1,Los_Angeles,"","","","","","","","","","","","",3160.AHU-01.P05-S,"","",2020-05-12T11:03:27.621Z UTC
@p:ubcv:r:253ba37e-1085c938 AERL Unsorted Points JCL-NAE13/FCB.FEC-006.DA-T,"",✓,"","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000773,"",✓,"",JCL-NAE13/FCB.FEC-006.DA-T,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",29542,2019-10-17T07:20:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:00:14.197-07:00 Los_Angeles,"","","","","","",Discharge Air Temp,"","",AI3000652,"","","","","","","",✓,"","","","","","","","","","","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,JCL-NAE13/FCB.FEC-006.DA-T.Trend1,Los_Angeles,°C,"","","","","","","","","","","",3160.AHU-02.DA-T,"","",2020-04-09T19:02:17.645Z UTC
@p:ubcv:r:2242fc11-ca24d733 AERL Lab 4 Zone JCL-NAE12/N2-A.02A005UN.WESTCO-L,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000041,"",✓,"",JCL-NAE12/N2-A.02A005UN.WESTCO-L,"","",✓,@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:25d48c78-5c73a4e7 AERL Lab 4 Zone,"","","","","",@p:ubcv:r:2242ea4c-2f7027d9 AERL Floor 4,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",37333,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T13:54:12.74-07:00 Los_Angeles,2018-12-07T09:45:38.601-08:00 Los_Angeles,"","","","","",Zone Co2,"","",AI3000040,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:25d48c78-8949f561 AERL Lab 4,"","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-b3e00eb3 .+(\.|-| )WESTCO-L,"",JCL-NAE12/N2-A.02A005UN.WESTCO-L.Trend,Los_Angeles,ppm,"","","","","","","","","","","","",✓,"",2020-04-09T19:01:59.336Z UTC
@p:ubcv:r:2242fc12-68ba8aab AERL Office 4 Zone JCL-NAE12/N2-B.02B017UN.EF10-C,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000754,"",✓,"",JCL-NAE12/N2-B.02B017UN.EF10-C,"",✓,"",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On",EF10,@p:ubcv:r:25d48c78-9dad9eb8 AERL Office 4 Zone,✓,✓,"","","",@p:ubcv:r:2242ea4c-2f7027d9 AERL Floor 4,"","",✓,"","","",2020-05-12T06:00:09-07:00 Los_Angeles,"","","",1087,2018-03-14T21:00:03-07:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T13:54:12.744-07:00 Los_Angeles,2018-12-07T09:45:28.877-08:00 Los_Angeles,"","","","","",Exhaust Fan Run Cmd,"","",BO3000753,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:25d48c78-872605a3 AERL Office 4,✓,"","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-b8710d90 .+(\.|-| |_)EF-?(\d+)?\w?-C,"",JCL-NAE12/N2-B.02B017UN.EF10-C.Trend,Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:55:19.039Z UTC
@p:ubcv:r:2242fc12-0dc5b0d1 AERL Unsorted Points JCL-NAE12/Trend1,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3006908,"",✓,"",JCL-NAE12/Trend1,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T13:53:38-07:00 Los_Angeles,"","","",757536,2018-03-19T14:04:03-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T13:54:12.745-07:00 Los_Angeles,2018-07-30T13:54:04.517-07:00 Los_Angeles,"","","","","",JCL-NAE12/Trend1,"",✓,DEV512,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","","",Los_Angeles,_,"","","","","","","","","","","","","","",2020-04-09T19:15:04.067Z UTC
@p:ubcv:r:2242fc11-770c5ff7 AERL Office 3 Zone JCL-NAE12/N2-A.02A004UN.WESTCO-L,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000032,"",✓,"",JCL-NAE12/N2-A.02A004UN.WESTCO-L,"","",✓,@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:25d48c78-2e635a68 AERL Office 3 Zone,"","","","","",@p:ubcv:r:2242ea4c-daf9ee33 AERL Floor 3,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",37337,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T13:54:12.749-07:00 Los_Angeles,2018-12-07T09:45:38.619-08:00 Los_Angeles,"","","","","",Zone Co2,"","",AI3000031,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:25d48c78-50f4205e AERL Office 3,"","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-b3e00eb3 .+(\.|-| )WESTCO-L,"",JCL-NAE12/N2-A.02A004UN.WESTCO-L.Trend,Los_Angeles,ppm,"","","","","","","","","","","","",✓,"",2020-04-09T19:01:59.338Z UTC
@p:ubcv:r:224555b2-17e52684 AERL Heating Plant JCL-NAE13/FCB.Local Application.AL-HX1_P1-C,"","","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000034,"",✓,"",JCL-NAE13/FCB.Local Application.AL-HX1_P1-C,"",✓,"",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:2242f080-587be69b AERL Heating Plant,"","","","","",@p:ubcv:r:216981ef-9ee8f059 AERL Hydronic Systems,"","",✓,"","","",2020-02-04T11:15:04-08:00 Los_Angeles,"","","",189,2017-08-12T07:55:43-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:00:13.336-07:00 Los_Angeles,2018-12-07T09:45:22.576-08:00 Los_Angeles,"","","","","",Pump Run Cmd,"","",BO3000033,"","",✓,"","","","",✓,"","","","","",✓,"","","",✓,"","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"",JCL-NAE13/FCB.Local Application.AL-HX1_P1-C.Trend1,Los_Angeles,"","","","","","","","","","","","",AL-HX1.P1-C,"","",2020-04-08T18:52:36.496Z UTC
@p:ubcv:r:24edab6a-8e910bd5 AERL Unsorted Points JCL-NAE12/Programming.Floors.AL-LABS4.Schedule,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),SCH3001164,"","",✓,"",JCL-NAE12/Programming.Floors.AL-LABS4.Schedule,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","",unknown,"","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","",✓,"",Number,"","","","","","","",Scheduled Occupancy,"","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","","",Los_Angeles,°C,"","","","","","","","","","","","","","",2020-03-12T18:49:49.016Z UTC
@p:ubcv:r:253ba37e-1ed523ee AERL Unsorted Points JCL-NAE13/FCB.FEC-006.Parameters.EFFDAT-SP,"",✓,"","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"",TL3000926,"",✓,"",JCL-NAE13/FCB.FEC-006.Parameters.EFFDAT-SP,"","","",@p:ubcv:r:21cac102-163e3f25 AERL (NAE-13),"","","","","","","","","","","",$equipRef $bmsName,✓,"",✓,"","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",29542,2019-10-17T07:20:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:00:14.229-07:00 Los_Angeles,"","","","","","",Discharge Air Temp Effective Sp,"","",AV3000799,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"",✓,"","","",@p:ubcv:r:23e65d3d-79dbc720 .+(\.|-| )EFFDAT-SP,✓,JCL-NAE13/FCB.FEC-006.Parameters.EFFDAT-SP.Trend1,Los_Angeles,°C,"","","","","","","","","","","",3160.AHU-02.EFFDAT-SP,"","",2020-04-09T19:02:17.652Z UTC
@p:ubcv:r:2242fc12-0bef8786 AERL Heating Plant JCL-NAE12/N2-B.02B001DX.HOA-H,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3001181,"",✓,"",JCL-NAE12/N2-B.02B001DX.HOA-H,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:2242f080-587be69b AERL Heating Plant,"","","","","",@p:ubcv:r:216981ef-9ee8f059 AERL Hydronic Systems,"","",✓,"","","",2020-02-10T15:09:12-08:00 Los_Angeles,"","","",42,2017-05-19T14:35:19-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T13:54:12.754-07:00 Los_Angeles,2018-07-30T13:54:04.51-07:00 Los_Angeles,"","","","","",JCL-NAE12/N2-B.02B001DX.HOA-H,"",✓,BI3001180,"","",✓,"","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","",JCL-NAE12/N2-B.02B001DX.HOA-H.Trend1,Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:52:48.608Z UTC
@p:ubcv:r:254f1cda-6e7b137e AERL AHU-01 AHU Run Status,✓,"","","","","","","","","","","","","","","","","","","","","","","","","",$equipRef $navName,"","","","","","","","","",@p:ubcv:r:20dae5fa-ccb58b9a AERL AHU-01,"","","","","",@p:ubcv:r:2203b248-53158c67 AERL Air Systems,"","",✓,"","","","","",getAhuRuntime,"","","","","","","","",Bool,"","","","","","","",AHU Run Status,"","","","","","","","","","",✓,"","","","","","","","","",✓,✓,"","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","","",Los_Angeles,"","","","","","","","","","","","","","","",2019-11-01T18:29:47.568Z UTC
@p:ubcv:r:2242fc12-f8defab0 AERL ATRIUM JCL-NAE12/N2-B.02B018UN.DPR5-C,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000777,"",✓,"",JCL-NAE12/N2-B.02B018UN.DPR5-C,"",✓,"",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","",✓,"","","",$equipRef $bmsName,✓,"","","","","","","Close,Open",DPR5,@p:ubcv:r:2242f080-643125cb AERL ATRIUM,"","","","","",@p:ubcv:r:22453f95-9220b82c AERL Floor 5,"","",✓,"","","",2020-05-12T13:30:51-07:00 Los_Angeles,"","","",1144,2018-03-14T21:36:41-07:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T13:54:12.755-07:00 Los_Angeles,2018-12-07T09:45:28.878-08:00 Los_Angeles,"","","","","",Discharge Air Damper Cmd,"","",BO3000776,"","",✓,"","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"",JCL-NAE12/N2-B.02B018UN.DPR5-C.Trend,Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:55:18.123Z UTC
@p:ubcv:r:2242fc11-b31ae274 AERL Rm 123 VAV2 JCL-NAE12/N2-B.02B008VM.SUPFLOW,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000481,"",✓,"",JCL-NAE12/N2-B.02B008VM.SUPFLOW,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:2242f1dd-c26842fe AERL Rm 123 VAV2,"","","","",✓,@p:ubcv:r:2242ea4c-73a9dfb1 AERL Floor 1,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",37347,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T13:54:12.757-07:00 Los_Angeles,2019-04-11T16:04:14.106-07:00 Los_Angeles,"","","","","",Discharge Air Flow,"","",AI3000480,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:2242f1dd-714a4118 AERL Rm 123,"","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:2573299e-4bf282a5 .+(\.|-| )SUPFLOW,"",JCL-NAE12/N2-B.02B008VM.SUPFLOW.Trend,Los_Angeles,L/s,"","","","","","","","","","","","","","",2020-04-09T19:01:59.342Z UTC
@p:ubcv:r:24edab6a-e16308a1 AERL Unsorted Points JCL-NAE12/Programming.Floors.AL-OFFICE3.Schedule,"","","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),SCH3001148,"","",✓,"",JCL-NAE12/Programming.Floors.AL-OFFICE3.Schedule,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","",unknown,"","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2019-08-21T08:45:00-07:00 Los_Angeles,"","","",182,2019-08-19T12:26:00-07:00 Los_Angeles,"","","",✓,"",Number,"","","","","","","",Scheduled Occupancy,"","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","","","","",Los_Angeles,°C,"","","","","","","","","","","","","","",2020-03-12T18:49:49.017Z UTC
@p:ubcv:r:20dae951-e092fb00 AERL AHU-01 SF JCL-NAE12/N2-B.02B004UN.SF-C,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000290,"",✓,"",JCL-NAE12/N2-B.02B004UN.SF-C,"",✓,"",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:2093fba4-0ec2dd24 AERL Elec Main Meter,"","","Off,On","",@p:ubcv:r:22430a2f-464ec0f1 AERL AHU-01 SF,"",✓,"","","",@p:ubcv:r:2203b248-53158c67 AERL Air Systems,"","",✓,"","","",2019-10-08T07:52:02-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [45] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",895,2017-06-12T21:00:09-07:00 Los_Angeles,fault,"","",✓,✓,Bool,2020-05-11T05:22:39.948-07:00 Los_Angeles,2019-03-12T13:58:10.489-07:00 Los_Angeles,"","","","","",Discharge Fan Run Cmd,"","",BO3000289,"","",✓,"","","","",✓,"","","","","","","","","",✓,✓,"","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-2b48d00a .+(\.|-| )SF(\d+)?-C,"","",Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:55:45.061Z UTC
@p:ubcv:r:2242fc11-0379df05 AERL Lab 3 Zone JCL-NAE12/N2-A.02A003UN.WESTCO-L,"",✓,"","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3000023,"",✓,"",JCL-NAE12/N2-A.02A003UN.WESTCO-L,"","",✓,@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:25d48c78-3741d328 AERL Lab 3 Zone,"","","","","",@p:ubcv:r:2242ea4c-daf9ee33 AERL Floor 3,"","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",37339,2018-03-18T16:00:00-07:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T13:54:12.761-07:00 Los_Angeles,2018-12-07T09:45:38.253-08:00 Los_Angeles,"","","","","",Zone Co2,"","",AI3000022,"","",✓,"","","","",✓,"","","","","","","","",@p:ubcv:r:25d48c78-68e01347 AERL Lab 3,"","","","",✓,@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:23e65d3d-b3e00eb3 .+(\.|-| )WESTCO-L,"",JCL-NAE12/N2-A.02A003UN.WESTCO-L.Trend,Los_Angeles,ppm,"","","","","","","","","","","","",✓,"",2020-04-09T19:01:59.344Z UTC
@p:ubcv:r:247f2c2b-1b5e788e AERL Unsorted Points JCL-NAE12/N2-B.02B004UN.LT-ALM,"","",✓,"",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"",TL3006685,"",✓,"",JCL-NAE12/N2-B.02B004UN.LT-ALM,"","","",@p:ubcv:r:20dae2b1-e0f19069 AERL (NAE-12),"","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:22a9ccd0-6fd33978 AERL Unsorted Points,"","","","","",@p:ubcv:r:22a9c8ac-85bb40ab AERL Unsorted Points,"","",✓,"","","",2019-10-08T07:52:02-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [126] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",11,2019-01-15T13:32:18-08:00 Los_Angeles,fault,"","",✓,"",Bool,2020-05-11T00:31:14.088-07:00 Los_Angeles,"","",✓,"","","",Low Temp Alarm,✓,"",BI3000285,"","","","","","","",✓,"","","","","","","","","","","","","","",@p:ubcv:r:2093fba4-4cc32b93 AERL,"","","","","",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,✓,"",Los_Angeles,"","","","","","","","","","","","","","","",2020-04-08T18:50:25.306Z UTC
