id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,chiller,cmd,co2,condenser,connRef,cooling,coolingTower,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,lastTagged,leaving,low,max,mixed,mixing,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,preheat,pressure,proj_1830_3W2W,pump,quantityID,return,roomRef,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zachName,zone,mod
@p:ubcv:r:238b47ce-3c14e029 Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC016.BTSLS,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000772,✓,JCL-NAE16/FCB.16B-FEC016.BTSLS,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Close,Open","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-04-23T09:18:03-07:00 Los_Angeles,"","","",12,2018-12-17T15:08:13-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:22:47.822-07:00 Los_Angeles,2018-11-25T13:45:23.646-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-FEC016.BTSLS,✓,BI3000370,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC016.BTSLS.Trend1,Los_Angeles,"","","","","",BUTO.Misc.BTSLS,"",2020-04-08T18:55:17.835Z UTC
@p:ubcv:r:238b47ce-7d6fff2c Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC005.FCU_SCHWR-T,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000469,✓,JCL-NAE16/FCB.16B-FEC005.FCU_SCHWR-T,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",51260,2018-11-22T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:22:50.425-07:00 Los_Angeles,2018-11-25T13:45:23.89-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_SCHWR-T,✓,AI3000189,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_SCHWR-T.Trend1,Los_Angeles,_,"","","","",BUTO.FCU-SCHW.SCHWR-T,"",2020-04-09T19:15:04.263Z UTC
@p:ubcv:r:238b479a-cf422104 Buchanan Tower Rm 1005 FC-10-005 JCL-NAE15/FC-A.15A-FEC038.SF-S,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007055,✓,JCL-NAE15/FC-A.15A-FEC038.SF-S,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:257dabc2-bf82c634 Buchanan Tower Rm 1005 FC-10-005,"",✓,"","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-07T07:06:11-07:00 Los_Angeles,"","","",1507,2018-11-22T09:05:28-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:19:54.404-07:00 Los_Angeles,2018-12-07T09:45:31.095-08:00 Los_Angeles,"","","","","",Discharge Fan Run Status,"",BI3007054,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-4609d1c4 Buchanan Tower Rm 1005,✓,"",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE15/FC-A.15A-FEC038.SF-S.Trend1,Los_Angeles,"","","","","",BUTO.RM-1005 - FC-10-005.SF-S,"",2020-04-08T18:49:59.736Z UTC
@p:ubcv:r:238b47ce-c7ad9f14 Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC016.W_RM1297-T,✓,"",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000741,✓,JCL-NAE16/FCB.16B-FEC016.W_RM1297-T,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",51260,2018-11-22T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:22:50.433-07:00 Los_Angeles,2018-11-25T13:45:23.65-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3000354,"","","","",✓,"","","","","","","","","","","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:2538d9da-1aedb8c9 .+(\.|-| |_)RM(\d+\w?)?-Z?T,✓,"",JCL-NAE16/FCB.16B-FEC016.W_RM1297-T.Trend1,Los_Angeles,°C,"","","","",BUTO.12th-Floor.W_RM1297-T,✓,2020-04-14T16:50:02.645Z UTC
@p:ubcv:r:238b47ce-1a60258c Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC005.FCU_SCHWS-T,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000471,✓,JCL-NAE16/FCB.16B-FEC005.FCU_SCHWS-T,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",51260,2018-11-22T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:22:50.44-07:00 Los_Angeles,2018-11-25T13:45:23.893-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_SCHWS-T,✓,AI3000190,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC005.FCU_SCHWS-T.Trend1,Los_Angeles,_,"","","","",BUTO.FCU-SCHW.SCHWS-T,"",2020-04-09T19:15:04.269Z UTC
@p:ubcv:r:257d5cc3-67593eea Buchanan Tower Rm 0301 FC-03-001 JCL-NAE18/FCB-01.FEC-004.ZN-T,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002016,"",JCL-NAE18/FCB-01.FEC-004.ZN-T,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da867-4f2f7eda Buchanan Tower Rm 0301 FC-03-001,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.584-07:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3002014,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-bcd0371b Buchanan Tower Rm 0301,"","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE18/FCB-01.FEC-004.ZN-T.Trend1,Los_Angeles,°C,"","","","",RM-0301 - FC-03-001.ZN-T,✓,2020-04-09T19:02:01.027Z UTC
@p:ubcv:r:257d5cc3-2377b858 Buchanan Tower Rm 0397D FC-03-014 JCL-NAE18/FCB-01.FEC-017.SF-O,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002410,"",JCL-NAE18/FCB-01.FEC-017.SF-O,"","",✓,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257da867-84aa13a0 Buchanan Tower Rm 0397D FC-03-014,"",✓,"","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.586-07:00 Los_Angeles,"","","","","","",Discharge Fan Speed Cmd,"",AO3002409,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-bc46468a Buchanan Tower Rm 0397D,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","",✓,"","",@p:ubcv:r:23e65d3d-c41cb6bb .+(\.|-| )SF(\d+)?-O(.Trend\d)?,"","",JCL-NAE18/FCB-01.FEC-017.SF-O.Trend1,Los_Angeles,%,"","","","",RM-0397D - FC-03-014.SF-O,"",2020-04-09T19:02:01.028Z UTC
@p:ubcv:r:238b479a-edef6138 Buchanan Tower Rm 1002 FC-10-002 JCL-NAE15/FC-A.15A-FEC035.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006949,✓,JCL-NAE15/FC-A.15A-FEC035.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257dabc2-4ef95e32 Buchanan Tower Rm 1002 FC-10-002,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.88-07:00 Los_Angeles,2018-12-07T09:45:31.363-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3006948,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-28cf807f Buchanan Tower Rm 1002,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-FEC035.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-1002 - FC-10-002.ZN-SP,✓,2020-04-09T19:02:00.64Z UTC
@p:ubcv:r:257d5cc3-300a1390 Buchanan Tower Rm 0320 FC-03-019 JCL-NAE18/FCB-01.FEC-022.ZN-T,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002578,"",JCL-NAE18/FCB-01.FEC-022.ZN-T,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da867-144f2a34 Buchanan Tower Rm 0320 FC-03-019,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.593-07:00 Los_Angeles,"","","","","","",Zone Temp,"",AI3002576,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-4d731f65 Buchanan Tower Rm 0320,"","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE18/FCB-01.FEC-022.ZN-T.Trend1,Los_Angeles,°C,"","","","","RM-0320 - FC-03-018, FC-03-019.ZN-T",✓,2020-04-09T19:02:01.032Z UTC
@p:ubcv:r:257d5cc3-fb9daf96 Buchanan Tower Rm 0397I FC-03-009 JCL-NAE18/FCB-01.FEC-012.HTG-O,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3002278,"",JCL-NAE18/FCB-01.FEC-012.HTG-O,"","",✓,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da867-f6d3ceee Buchanan Tower Rm 0397I FC-03-009,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:54.598-07:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"",AO3002277,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-0c4ccd89 Buchanan Tower Rm 0397I,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE18/FCB-01.FEC-012.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,RM-0397I - FC-03-009.HTG-O,"",2020-04-09T19:02:01.035Z UTC
@p:ubcv:r:238b47ce-fae611e1 Buchanan Tower Unsorted Points JCL-NAE16/FCB.16B-FEC016.CA-A,"","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"",TL3000774,✓,JCL-NAE16/FCB.16B-FEC016.CA-A,"","","","","",@p:ubcv:r:21e6b249-09d05416 BUTO (NAE-16),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","Normal,Alarm","",@p:ubcv:r:238b4731-78b3b4ff Buchanan Tower Unsorted Points,"","","","","",@p:ubcv:r:238b4731-e442fe9a Buchanan Tower Unsorted Points,"",✓,"","","",2020-04-29T10:57:27-07:00 Los_Angeles,"","","",40,2018-12-17T15:08:13-08:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T14:22:48.104-07:00 Los_Angeles,2018-12-07T09:45:31.385-08:00 Los_Angeles,"","","","","",JCL-NAE16/FCB.16B-FEC016.CA-A,✓,BI3000371,"","","","",✓,"","","","","","","","","","","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","","","","",JCL-NAE16/FCB.16B-FEC016.CA-A.Trend1,Los_Angeles,"","","","","",BUTO.Misc.CA-A,"",2020-04-08T18:55:17.784Z UTC
@p:ubcv:r:238b479b-cbb46539 Buchanan Tower Rm 1097 SAV-10-001 JCL-NAE15/FC-A.15A-VMA053.ZN-SP,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007575,✓,JCL-NAE15/FC-A.15A-VMA053.ZN-SP,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257dabab-8d12935b Buchanan Tower Rm 1097 SAV-10-001,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.907-07:00 Los_Angeles,2018-12-07T09:45:32.012-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"",AV3007574,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabab-cac64c1b Buchanan Tower Rm 1097,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE15/FC-A.15A-VMA053.ZN-SP.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-1097 - SAV-10-001.ZN-SP,✓,2020-04-09T19:02:00.643Z UTC
@p:ubcv:r:238b4799-f163a318 Buchanan Tower Rm 0999B SAV-09-005 JCL-NAE15/FC-A.15A-VMA008.HTG-O,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3006006,✓,JCL-NAE15/FC-A.15A-VMA008.HTG-O,"","",✓,"","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257da865-96cac6ae Buchanan Tower Rm 0999B SAV-09-005,"","","","","",@p:ubcv:r:257da5e1-94b509b6 Buchanan Tower Basement,✓,✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50707,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T14:19:58.958-07:00 Los_Angeles,2018-12-07T09:45:30.681-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"",AO3006005,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f3-7b11d069 Buchanan Tower Rm 0999B,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE15/FC-A.15A-VMA008.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,BUTO.RM-0999B - SAV-09-005.HTG-O,"",2020-04-09T19:02:00.649Z UTC
@p:ubcv:r:257d5cc3-77bbcc88 Buchanan Tower Rm 418 FC-04-18 JCL-NAE18/FCB-01.FEC-046.ZN-SP,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3004514,"",JCL-NAE18/FCB-01.FEC-046.ZN-SP,"","","","","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257da95f-0d2d1902 Buchanan Tower Rm 418 FC-04-18,"","","","","",@p:ubcv:r:257da7f4-cd1f41b4 Buchanan Tower Floor 4,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15270,2019-12-04T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.606-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3003868,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-7af301ce Buchanan Tower Rm 418,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE18/FCB-01.FEC-046.ZN-SP.Trend1,Los_Angeles,°C,"","","","",1200.AHU-01.FC-04-18.ZN-SP,✓,2020-04-09T19:02:01.04Z UTC
@p:ubcv:r:257d5e3a-8086d527 Buchanan Tower Rm 625 FC-06-25 JCL-NAE05/FCB-01.FEC-053.ZN-SP,✓,"",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"",TL3002062,"",JCL-NAE05/FCB-01.FEC-053.ZN-SP,"","","","","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257daac8-6fe53027 Buchanan Tower Rm 625 FC-06-25,"","","","","",@p:ubcv:r:257daac8-b1ea6217 Buchanan Tower Floor 6,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15260,2019-12-04T23:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:15:34.632-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3000622,"","","","",✓,"","","","","","","","",@p:ubcv:r:257daac8-a9cfbbff Buchanan Tower Rm 625,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE05/FCB-01.FEC-053.ZN-SP.Trend1,Los_Angeles,°C,"","","","",1200.AHU-01.FC-06-25.ZN-SP,✓,2020-04-09T19:01:58.135Z UTC
@p:ubcv:r:238b479a-ad814514 Buchanan Tower Rm 1097E FC-10-014 JCL-NAE15/FC-A.15A-FEC047.ZN-T,✓,"",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"",TL3007349,✓,JCL-NAE15/FC-A.15A-FEC047.ZN-T,"","","","","",@p:ubcv:r:216918d6-1658af0a BUTO (NAE-15),"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:257dabc2-4ec5b58b Buchanan Tower Rm 1097E FC-10-014,"","","","","",@p:ubcv:r:257dabab-bea9c5e8 Buchanan Tower Floor 1,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",50668,2018-11-23T03:30:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:58.966-07:00 Los_Angeles,2018-12-07T09:45:30.667-08:00 Los_Angeles,"","","","","",Zone Temp,"",AI3007347,"","","","",✓,"","","","","","","","",@p:ubcv:r:257dabc2-4521ea35 Buchanan Tower Rm 1097E,"","",✓,@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"",JCL-NAE15/FC-A.15A-FEC047.ZN-T.Trend1,Los_Angeles,°C,"","","","",BUTO.RM-1097E - FC-10-014.ZN-T,✓,2020-04-09T19:02:00.65Z UTC
@p:ubcv:r:257d5cc3-b42cacea Buchanan Tower Rm 499A SAV-4-2 JCL-NAE18/FCB-01.VMA-059.DPR-O,✓,"",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"",TL3004077,"",JCL-NAE18/FCB-01.VMA-059.DPR-O,"","",✓,"","",@p:ubcv:r:257d5b13-c476a3a1 BUTO (NAE-18),"","","","","","",✓,"","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257da95f-746a57f9 Buchanan Tower Rm 499A SAV-4-2,"","","","","",@p:ubcv:r:257da7f4-cd1f41b4 Buchanan Tower Floor 4,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15139,2019-12-05T22:45:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:19:54.614-07:00 Los_Angeles,"","","","","","",Discharge Air Damper Cmd,"",AO3003688,"","","","",✓,"","","","","","","","",@p:ubcv:r:257da7f4-ef9db9f5 Buchanan Tower Rm 499A,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE18/FCB-01.VMA-059.DPR-O.Trend1,Los_Angeles,%,"","","","",1200.AHU-02.SAV-4-2.DPR-O,"",2020-04-09T19:02:01.045Z UTC
@p:ubcv:r:257d5e3a-ca32b1f5 Buchanan Tower Rm 603 FC-06-03 JCL-NAE05/FCB-01.FEC-035.ZN-SP,✓,"",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"",TL3001678,"",JCL-NAE05/FCB-01.FEC-035.ZN-SP,"","","","","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:257daada-424934c2 Buchanan Tower Rm 603 FC-06-03,"","","","","",@p:ubcv:r:257daac8-b1ea6217 Buchanan Tower Floor 6,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15260,2019-12-04T23:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:15:34.644-07:00 Los_Angeles,"","","","","","",Zone Temp Effective Sp,"",AV3000462,"","","","",✓,"","","","","","","","",@p:ubcv:r:257daada-3f1c9d02 Buchanan Tower Rm 603,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"",✓,"","","",@p:ubcv:r:2538dbc2-74c2178f .+(\.|-| )ZN-SP,✓,"",JCL-NAE05/FCB-01.FEC-035.ZN-SP.Trend1,Los_Angeles,°C,"","","","",1200.AHU-01.FC-06-03.ZN-SP,✓,2020-04-09T19:01:58.141Z UTC
@p:ubcv:r:257d5e3a-6bb742a0 Buchanan Tower Rm 5xx SAV-05-03 JCL-NAE05/FCB-01.VMA-031.DPR-O,✓,"",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"",TL3002222,"",JCL-NAE05/FCB-01.VMA-031.DPR-O,"","",✓,"","",@p:ubcv:r:257d5bd3-9a3ffa02 BUTO (NAE-05),"","","","","","",✓,"","","",$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:257daac8-808e3309 Buchanan Tower Rm 5xx SAV-05-03,"","","","","",@p:ubcv:r:257daac7-f3d4c5f0 Buchanan Tower Floor 5,"",✓,"","","",2020-05-12T14:15:00-07:00 Los_Angeles,"","","",15133,2019-12-05T23:00:00-08:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T14:15:34.647-07:00 Los_Angeles,"","","","","","",Discharge Air Damper Cmd,"",AO3000741,"","","","",✓,"","","","","","","","",@p:ubcv:r:257daac8-c72f402b Buchanan Tower Rm 5xx,"","","",@p:ubcv:r:209d1c46-fc6bda03 Buchanan Tower,"","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE05/FCB-01.VMA-031.DPR-O.Trend1,Los_Angeles,%,"","","","",1200.AHU-02.SAV-5-3.DPR-O,"",2020-04-09T19:01:58.143Z UTC
