id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bacnetWriteLevel,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,effective,elec,energy,entering,enum,equipRef,exhaust,fan,feedback,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,primaryLoop,pump,quantityID,return,roomRef,run,secondaryLoop,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,writable,writeLevel,writeStatus,zone,mod
@p:ubcv:r:238b41b7-b8211e5d Liu EF JCL-NAE57/N2-1.LC-DC-10.LC-MISC_DPR-S,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000211,✓,"",JCL-NAE57/N2-1.LC-DC-10.LC-MISC_DPR-S,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Alarm,Normal",@p:ubcv:r:24f08887-1f5c3886 Liu EF,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-11T22:42:29-07:00 Los_Angeles,"","","",132,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.713-07:00 Los_Angeles,2018-11-25T13:45:24.025-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-10.LC-MISC_DPR-S,✓,BI3000068,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-10.LC-MISC_DPR-S.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:47.275Z UTC
@p:ubcv:r:238b41b7-29e2b97b Liu EF JCL-NAE57/N2-1.LC-DC-10.LC-VENT_EF1-S,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000214,✓,"",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_EF1-S,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08887-1f5c3886 Liu EF,✓,✓,"","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-11T22:42:29-07:00 Los_Angeles,"","","",100,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.715-07:00 Los_Angeles,2018-11-25T13:45:24.027-08:00 Los_Angeles,"","",Exhaust Fan Run Feedback,"",BI3000070,"","","","",✓,"","","","","","",✓,"",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-9d7111b8 .+(\.|-| |_)EF-?(\d+)?\w?-S,"",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_EF1-S.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:47.64Z UTC
@p:ubcv:r:238b41b7-bb77aaa7 Liu Unsorted Points JCL-NAE57/BACnet IP1.LC-EMTR.Analog Inputs.AI-5,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3001860,✓,"",JCL-NAE57/BACnet IP1.LC-EMTR.Analog Inputs.AI-5,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:238b41b4-6b8a3644 Liu Unsorted Points,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",25376,2018-11-20T15:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.774-07:00 Los_Angeles,2018-11-25T13:45:23.725-08:00 Los_Angeles,"","",JCL-NAE57/BACnet IP1.LC-EMTR.Analog Inputs.AI-5,✓,AI3001403,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/BACnet IP1.LC-EMTR.Analog Inputs.AI-5.Trend1,Los_Angeles,kW,"","","","","","","","",2020-04-09T19:02:17.526Z UTC
@p:ubcv:r:238b41b7-2f746264 Liu Unsorted Points JCL-NAE57/N2-1.LC-DC-9.LC-MISC_LITE-1,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000240,✓,"",JCL-NAE57/N2-1.LC-DC-9.LC-MISC_LITE-1,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:238b41b4-6b8a3644 Liu Unsorted Points,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",13,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.717-07:00 Los_Angeles,2018-11-25T13:45:24.022-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-9.LC-MISC_LITE-1,✓,BO3000088,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-9.LC-MISC_LITE-1.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:46.916Z UTC
@p:ubcv:r:238b41b7-4616da85 Liu EF JCL-NAE57/N2-1.LC-DC-10.LC-VENT_SOUTH-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000223,✓,"",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_SOUTH-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f08887-1f5c3886 Liu EF,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.775-07:00 Los_Angeles,2018-11-25T13:45:24.027-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_SOUTH-T,✓,AI3000076,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-10.LC-VENT_SOUTH-T.Trend1,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:17.527Z UTC
@p:ubcv:r:238b41b7-eca7f391 Liu HR-1 JCL-NAE57/N2-1.LC-DC-5.LC-MISC_PNL2-DS,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000273,✓,"",JCL-NAE57/N2-1.LC-DC-5.LC-MISC_PNL2-DS,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Alarm,Normal",@p:ubcv:r:24f08886-adc56916 Liu HR-1,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",16,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.718-07:00 Los_Angeles,2018-11-25T13:45:23.998-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-5.LC-MISC_PNL2-DS,✓,BI3000119,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-5.LC-MISC_PNL2-DS.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:45.262Z UTC
@p:ubcv:r:238b41b7-04fc4caa Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.LC-DHW_DHWS-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000179,✓,"",JCL-NAE57/N2-1.LC-DC-1.LC-DHW_DHWS-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"",✓,✓,Number,2020-05-12T15:35:27.778-07:00 Los_Angeles,2018-12-07T09:45:31.932-08:00 Los_Angeles,✓,"",Leaving Hot Water Temp,"",AI3000034,"","","","",✓,"","","","","","","","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-ed0666fe .+(\.|-|_)DHWS\d?-T,✓,JCL-NAE57/N2-1.LC-DC-1.LC-DHW_DHWS-T.Trend1,Los_Angeles,°C,"","","",✓,"","","","",2020-04-09T19:02:17.528Z UTC
@p:ubcv:r:238b41b7-bbb08101 Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.LC-DHW_P3-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000180,✓,"",JCL-NAE57/N2-1.LC-DC-1.LC-DHW_P3-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T08:00:04-07:00 Los_Angeles,"","","",143,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.783-07:00 Los_Angeles,2018-12-07T09:45:28.236-08:00 Los_Angeles,"","",Pump Run Cmd,"",BO3000037,"","","","",✓,"","",✓,"","","",✓,"","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"",JCL-NAE57/N2-1.LC-DC-1.LC-DHW_P3-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:40.565Z UTC
@p:ubcv:r:238b41b7-c1abca6e Liu Rm 120A Zone JCL-NAE57/N2-1.LC-DC-8.LC-GRND_R120A-OR,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000295,✓,"",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_R120A-OR,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f089bf-b267760e Liu Rm 120A Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",17,2018-11-23T22:32:28-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.72-07:00 Los_Angeles,2018-11-25T13:45:23.995-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_R120A-OR,✓,BI3000139,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-b4138b3d Liu Rm 120A,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_R120A-OR.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:44.961Z UTC
@p:ubcv:r:238b41b7-509c9dd7 Liu Rm 130 Zone JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-V,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000293,✓,"",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-V,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f089bf-d672c911 Liu Rm 130 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.785-07:00 Los_Angeles,2018-11-25T13:45:23.995-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-V,✓,AO3000137,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-6635fd98 Liu Rm 130,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-V.Trend1,Los_Angeles,%,"","","","","","","","",2020-04-09T19:02:17.529Z UTC
@p:ubcv:r:238b41b7-f1f2db69 Liu Rm 100 Zone JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM100-V,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000300,✓,"",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM100-V,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f089bf-4a33d593 Liu Rm 100 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.787-07:00 Los_Angeles,2018-11-25T13:45:23.852-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM100-V,✓,AO3000143,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-9665d7a8 Liu Rm 100,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM100-V.Trend1,Los_Angeles,%,"","","","","","","","",2020-04-09T19:02:17.53Z UTC
@p:ubcv:r:238b41b7-98b1a978 Liu Rm132 FC-2 JCL-NAE57/N2-1.LC-DC-4.RM132-T,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3001902,✓,"",JCL-NAE57/N2-1.LC-DC-4.RM132-T,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f08886-81d8e396 Liu Rm132 FC-2,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",50121,2018-11-22T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.788-07:00 Los_Angeles,2018-11-25T13:45:23.816-08:00 Los_Angeles,"","",Zone Temp,"",AO3001876,"","","","",✓,"","","","","",@p:ubcv:r:24f08886-56c17f75 Liu Rm132,"","",✓,@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:2538d9da-1aedb8c9 .+(\.|-| |_)RM(\d+\w?)?-Z?T,✓,JCL-NAE57/N2-1.LC-DC-4.RM132-T.Trend1,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:17.531Z UTC
@p:ubcv:r:238b41b7-c7ec45d0 Liu Rm 130 Zone JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-ASP,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000288,✓,"",JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-ASP,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"",✓,"","","","",@p:ubcv:r:24f089bf-d672c911 Liu Rm 130 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.79-07:00 Los_Angeles,2018-11-25T13:45:23.999-08:00 Los_Angeles,"","",Zone Temp Effective Sp,"",AI3000133,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-6635fd98 Liu Rm 130,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"",✓,"","",@p:ubcv:r:2512c7c7-c930434f .+(\.|-| |_)RM\d+-ASP,✓,JCL-NAE57/N2-1.LC-DC-7.LC-GRND_RM130-ASP.Trend1,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:17.532Z UTC
@p:ubcv:r:238b41b7-e0635dbe Liu Heating Plant JCL-NAE57/N2-1.LC-DC-1.LC-MISC_SANT-ALM,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000207,✓,"",JCL-NAE57/N2-1.LC-DC-1.LC-MISC_SANT-ALM,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Normal,Alarm",@p:ubcv:r:21c5a449-a495fb42 Liu Heating Plant,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",14,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.721-07:00 Los_Angeles,2018-11-25T13:45:24.023-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-1.LC-MISC_SANT-ALM,✓,BI3000066,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-1.LC-MISC_SANT-ALM.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:47.004Z UTC
@p:ubcv:r:238b41b7-5080acb7 Liu EF JCL-NAE57/N2-1.LC-DC-11.LC-FC2_FC-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000234,✓,"",JCL-NAE57/N2-1.LC-DC-11.LC-FC2_FC-C,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08887-1f5c3886 Liu EF,✓,✓,"","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T14:40:06-07:00 Los_Angeles,"","","",1699,2018-11-19T19:00:08-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.799-07:00 Los_Angeles,2018-11-25T13:45:24.019-08:00 Los_Angeles,"","",Exhaust Fan Run Cmd,"",BO3000084,"","","","",✓,"","","","","","",✓,"","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:25d743d3-d887b119 .+(\.|-| |_)FC-C,"",JCL-NAE57/N2-1.LC-DC-11.LC-FC2_FC-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:46.543Z UTC
@p:ubcv:r:238b41b7-10899526 Liu Unsorted Points JCL-NAE57/Programming.Central Plant.LC-HW.LC-HW_OAT-LL,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000948,✓,"",JCL-NAE57/Programming.Central Plant.LC-HW.LC-HW_OAT-LL,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:238b41b4-6b8a3644 Liu Unsorted Points,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",24978,2018-11-22T15:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.801-07:00 Los_Angeles,2018-11-25T13:45:23.586-08:00 Los_Angeles,"","",JCL-NAE57/Programming.Central Plant.LC-HW.LC-HW_OAT-LL,✓,AV3000538,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/Programming.Central Plant.LC-HW.LC-HW_OAT-LL.PointHistory,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:17.533Z UTC
@p:ubcv:r:238b41b7-f0524437 Liu HR-1 JCL-NAE57/N2-1.LC-DC-5.LC-HRU1_HRU-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000264,✓,"",JCL-NAE57/N2-1.LC-DC-5.LC-HRU1_HRU-C,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08886-adc56916 Liu HR-1,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-11T21:06:22-07:00 Los_Angeles,"","","",1287,2018-11-22T11:11:16-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.766-07:00 Los_Angeles,2018-11-25T13:45:24.015-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-5.LC-HRU1_HRU-C,✓,BO3000112,"","","","",✓,"","","","","","","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-5.LC-HRU1_HRU-C.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:46.202Z UTC
@p:ubcv:r:238b41b7-13c9cdb6 Liu Rm 112 Zone JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-ASP,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000310,✓,"",JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-ASP,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"",✓,"","","","",@p:ubcv:r:24f089bf-60c55eea Liu Rm 112 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.803-07:00 Los_Angeles,2018-11-25T13:45:23.848-08:00 Los_Angeles,"","",Zone Temp Effective Sp,"",AI3000152,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-7b6fa7dc Liu Rm 112,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"",✓,"","",@p:ubcv:r:2512c7c7-c930434f .+(\.|-| |_)RM\d+-ASP,✓,JCL-NAE57/N2-1.LC-DC-9.LC-GRND_RM112-ASP.Trend1,Los_Angeles,°C,"","","","","","","",✓,2020-04-09T19:02:17.534Z UTC
@p:ubcv:r:238b41b7-af52d204 Liu HR-2 JCL-NAE57/N2-1.LC-DC-6.LC-HRU2_RF-DPR,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000280,✓,"",JCL-NAE57/N2-1.LC-DC-6.LC-HRU2_RF-DPR,✓,@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","",✓,"","",$equipRef $bmsName,✓,"","","","","Close,Open",@p:ubcv:r:24f08887-1c9ca78e Liu HR-2,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",17,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.723-07:00 Los_Angeles,2018-11-25T13:45:24.001-08:00 Los_Angeles,"","",Discharge Air Damper Cmd,"",BO3000125,"","","","",✓,"","","","",✓,"","","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","",@p:ubcv:r:2512c667-0f21317f .+(\.|-| |_)RF-DPR,"",JCL-NAE57/N2-1.LC-DC-6.LC-HRU2_RF-DPR.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:45.588Z UTC
@p:ubcv:r:238b41b7-965c0bce Liu Rm132 FC-1 JCL-NAE57/N2-1.LC-DC-3.LC-FC1_OCCPD,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000248,✓,"",JCL-NAE57/N2-1.LC-DC-3.LC-FC1_OCCPD,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","Off,On",@p:ubcv:r:24f08886-b266d2a8 Liu Rm132 FC-1,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-04-09T04:29:04-07:00 Los_Angeles,"","","",18,2018-11-28T12:06:57-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T15:35:27.725-07:00 Los_Angeles,2018-11-25T13:45:24.002-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-3.LC-FC1_OCCPD,✓,BI3000096,"","","","",✓,"","","","","",@p:ubcv:r:24f08886-56c17f75 Liu Rm132,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-3.LC-FC1_OCCPD.Trend1,Los_Angeles,"","","","","","","","","",2020-04-08T18:55:45.648Z UTC
@p:ubcv:r:238b41b7-fdbda757 Liu Rm 100 Zone JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM100-WC,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"",TL3000301,✓,"",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM100-WC,"",@p:ubcv:r:21c5a491-88e87273 Liu Centre (NAE-57),"","","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:24f089bf-4a33d593 Liu Rm 100 Zone,"","","","",@p:ubcv:r:238b41b4-b9244d9d Liu Unsorted Points,"",✓,"","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",49491,2018-11-23T03:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T15:35:27.805-07:00 Los_Angeles,2018-11-25T13:45:23.852-08:00 Los_Angeles,"","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM100-WC,✓,AI3000144,"","","","",✓,"","","","","",@p:ubcv:r:24f089bf-9665d7a8 Liu Rm 100,"","","",@p:ubcv:r:20a65214-8c3b2eb9 Liu,"","","","","","",JCL-NAE57/N2-1.LC-DC-8.LC-GRND_RM100-WC.Trend1,Los_Angeles,°C,"","","","","","","","",2020-04-09T19:02:17.535Z UTC
