id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,elec,energy,entering,enum,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:238b4247-4e49f09d Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_P1-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000349,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_P1-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",101,2018-11-21T07:28:03-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.912-07:00 Los_Angeles,2018-12-07T09:45:31.741-08:00 Los_Angeles,"","",Pump Run Status,"",BI3000122,"","","","",✓,"",✓,"","",✓,"",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_P1-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:33.045Z UTC
@p:ubcv:r:238b4247-bbf70d69 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_OCC-OVR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000265,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_OCC-OVR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Active,Inactive",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",19,2018-12-20T12:32:56-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.914-07:00 Los_Angeles,2018-11-25T13:45:24.015-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_OCC-OVR,✓,BI3000062,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_OCC-OVR.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:46.189Z UTC
@p:ubcv:r:20a661de-5a40e51f Sing Tao HW Main Meter Energy,"",@p:ubcv:r:21cad5a3-4a9603bb SOJ DES Meter,AI1,"",✓,"","",@p:ubcv:r:21cad5a3-4a9603bb SOJ DES Meter,✓,MWh => kWh,ok,916561.03515625kWh,"","","",$equipRef $navName,"","",✓,"","",@p:ubcv:r:20a661de-a7c8bb1f Sing Tao HW Main Meter,"","","",@p:ubcv:r:21697fca-7b42701e Sing Tao Utilities,"",✓,"",15min,"",2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,139476,2016-05-05T11:00:00-07:00 Los_Angeles,ok,✓,✓,"",Number,"","","","",Energy,"","","","","","",✓,"","",10364,"","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,68,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","",Los_Angeles,kWh,✓,"","",✓,"",2020-04-28T00:03:36.239Z UTC
@p:ubcv:r:238b4247-e76b9715 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000202,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.023-07:00 Los_Angeles,2018-11-25T13:45:24.029-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-T,✓,AI3000036,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.493Z UTC
@p:ubcv:r:238b4247-fc615acd Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC004-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000286,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC004-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.026-07:00 Los_Angeles,2018-11-25T13:45:24-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC004-WC,✓,AI3000079,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC004-WC.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.494Z UTC
@p:ubcv:r:238b4247-83498d86 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ZN-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000278,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ZN-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.027-07:00 Los_Angeles,2018-11-25T13:45:23.996-08:00 Los_Angeles,"","",Zone Temp,"",AO3000071,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.495Z UTC
@p:ubcv:r:238b4247-bd57cdb7 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZN-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001103,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZN-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.029-07:00 Los_Angeles,2018-11-25T13:45:23.439-08:00 Los_Angeles,"","",Zone Temp,"",AO3001102,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.496Z UTC
@p:ubcv:r:238b4247-c16d8477 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR1_RHC005-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000331,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR1_RHC005-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.03-07:00 Los_Angeles,2018-11-25T13:45:23.845-08:00 Los_Angeles,"","",Zone Temp,"",AI3000092,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3e-3f42a398 .+(\.|-| |_)RHC\d+-T,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR1_RHC005-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.497Z UTC
@p:ubcv:r:21dffdae-61f41572 Sing Tao HW Main Meter Entering Water Temp,"",@p:ubcv:r:21cad5a3-4a9603bb SOJ DES Meter,AI9,"",✓,"","",@p:ubcv:r:21cad5a3-4a9603bb SOJ DES Meter,✓,"",ok,78.19999694824219°C,"","","",$equipRef $navName,"","","",✓,"",@p:ubcv:r:20a661de-a7c8bb1f Sing Tao HW Main Meter,"","","",@p:ubcv:r:21697fca-7b42701e Sing Tao Utilities,"",✓,0.5°C,10min,"",2020-05-12T20:10:00-07:00 Los_Angeles,"",consumption,236376,2018-01-03T14:20:00-08:00 Los_Angeles,ok,"",✓,"",Number,"","","","",Entering Water Temp,"","","","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","",✓,"",Los_Angeles,°C,✓,"","",✓,"",2020-04-28T00:03:36.24Z UTC
@p:ubcv:r:238b4247-e3c51b96 Sing Tao Unsorted Points JCL-NAE56/Programming.Central Plant.SJ-HW.HWS-OAT-HL,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001834,✓,JCL-NAE56/Programming.Central Plant.SJ-HW.HWS-OAT-HL,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",50494,2018-11-23T03:15:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.076-07:00 Los_Angeles,2018-11-25T13:45:23.731-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Central Plant.SJ-HW.HWS-OAT-HL,✓,AV3001595,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Central Plant.SJ-HW.HWS-OAT-HL.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.498Z UTC
@p:ubcv:r:238b4247-af3d6a46 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR3_RHC007-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000338,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR3_RHC007-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.033-07:00 Los_Angeles,2018-11-25T13:45:23.846-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR3_RHC007-V,✓,AO3000101,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR3_RHC007-V.Trend1,Los_Angeles,_,"","","","","",2020-04-09T19:15:20.434Z UTC
@p:ubcv:r:238b4247-eedc36f5 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HWR-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000344,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HWR-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","",✓,"",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"",✓,✓,Number,2020-05-12T20:08:39.034-07:00 Los_Angeles,2018-11-25T13:45:23.846-08:00 Los_Angeles,"","",Entering Hot Water Temp,"",AI3000114,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-5ed87758 .+(\.|-| |_)HWR\d?-T,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-HW_HWR-T.Trend1,Los_Angeles,°C,"","","",✓,"",2020-04-09T19:02:17.5Z UTC
@p:ubcv:r:238b4247-b2434ebd Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC002-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000220,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC002-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.036-07:00 Los_Angeles,2018-11-25T13:45:24.028-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC002-V,✓,AO3000052,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-FLR1_RHC002-V.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:02:17.501Z UTC
@p:ubcv:r:238b4247-13eba0a2 Sing Tao Unsorted Points JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-5,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001097,✓,JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-5,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.038-07:00 Los_Angeles,2018-11-25T13:45:23.317-08:00 Los_Angeles,"","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-5,✓,AI3001089,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-5.Trend1,Los_Angeles,kW,"","","","","",2020-04-09T19:02:17.502Z UTC
@p:ubcv:r:238b4247-e5dfa0fa Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SF-C,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000209,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SF-C,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T13:30:04-07:00 Los_Angeles,"","",906,2018-11-19T06:00:05-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.954-07:00 Los_Angeles,2018-11-25T13:45:24.023-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SF-C,✓,BO3000042,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_SF-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:46.972Z UTC
@p:ubcv:r:238b4247-c9a29efd Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_H-VLV,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000199,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_H-VLV,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.041-07:00 Los_Angeles,2018-11-25T13:45:23.948-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_H-VLV,✓,AO3000034,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_H-VLV.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:02:17.503Z UTC
@p:ubcv:r:238b4247-10ce5a65 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR3_RHC007-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000337,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR3_RHC007-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.042-07:00 Los_Angeles,2018-11-25T13:45:23.846-08:00 Los_Angeles,"","",Zone Temp,"",AI3000100,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3e-3f42a398 .+(\.|-| |_)RHC\d+-T,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR3_RHC007-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.504Z UTC
@p:ubcv:r:238b4247-c4cd074b Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Months Peak,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000928,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Months Peak,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-03T13:24:20-07:00 Los_Angeles,"","",1344,2018-11-19T06:21:10-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.934-07:00 Los_Angeles,2018-11-25T13:45:23.592-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Months Peak,✓,AV3000432,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.This Months Peak.Trend1,Los_Angeles,kW,"","","","","",2020-04-09T19:02:17.505Z UTC
@p:ubcv:r:238b4247-c12cf1ad Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_OCC-OVR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000203,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_OCC-OVR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Unoccupied,Occupied",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",79,2018-11-29T13:58:05-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.916-07:00 Los_Angeles,2018-11-25T13:45:24.024-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_OCC-OVR,✓,BI3000038,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_OCC-OVR.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:47.167Z UTC
@p:ubcv:r:238b4247-190eb891 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC004-T,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000287,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC004-T,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.044-07:00 Los_Angeles,2018-11-25T13:45:23.999-08:00 Los_Angeles,"","",Zone Temp,"",AI3000080,"","","","",✓,"","","","","","",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3e-3f42a398 .+(\.|-| |_)RHC\d+-T,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC004-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:02:17.506Z UTC
@p:ubcv:r:238b4247-d6a363ea Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR2_RHC006-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000335,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR2_RHC006-V,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.045-07:00 Los_Angeles,2018-11-25T13:45:23.846-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR2_RHC006-V,✓,AO3000097,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-3.SJ-FLR2_RHC006-V.Trend1,Los_Angeles,_,"","","","","",2020-04-09T19:15:20.435Z UTC
@p:ubcv:r:238b4247-8921b78a Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ACT-DAT-SP,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000260,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ACT-DAT-SP,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,✓,"","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:39.047-07:00 Los_Angeles,2018-12-07T09:45:34.397-08:00 Los_Angeles,"","",Discharge Air Temp Sp,"",AI3000058,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"",✓,"","",@p:ubcv:r:23e65d3d-3f81ae2b .+(\.|-| )DAT-SP,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_ACT-DAT-SP.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.508Z UTC
