id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,chilled,cmd,connRef,cooling,curStatus,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,gas,groupRef,heating,his,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,navName,noTagMatch,objectId,outside,parcHtgEnergy,parc_Meter,perimeterHeat,point,pointType,power,pressure,pump,quantityID,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:245f4ba8-52ce7795 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-08.HTG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000089,TL3000448,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-08.HTG-O,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:33.108-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000089,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-08.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.957Z UTC
@p:ubcv:r:245f4ba7-54c5d7c9 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-05.DA-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000057,TL3000358,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-05.DA-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.11-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000057,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-05.DA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.958Z UTC
@p:ubcv:r:245f4ba8-abba74dd Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-08.SF-S,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000094,TL3000450,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-08.SF-S,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"",✓,"",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-04-27T14:18:12-07:00 Los_Angeles,"","",996,2019-05-01T15:07:36-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.705-07:00 Los_Angeles,"","",Discharge Fan Run Status,"",BI3000094,"","","","",✓,"","","","","",✓,"",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-08.SF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:37.55Z UTC
@p:ubcv:r:245f4baa-58eb0a9d Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-17.CLG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000189,TL3000728,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-17.CLG-O,"",✓,✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.113-07:00 Los_Angeles,"","",Cooling Valve Cmd,"",AO3000189,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-17.CLG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.959Z UTC
@p:ubcv:r:245f4bac-ca795b92 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  VND-35.BI-16,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3002029,TL3004435,✓,JCL-NAE07/FCB-01.JCL-NAE03  VND-35.BI-16,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","Inactive,Active","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T11:28:03-07:00 Los_Angeles,"","",1960,2019-04-30T11:07:42-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.743-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  VND-35.BI-16,✓,BI3002029,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  VND-35.BI-16.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:50:19.564Z UTC
@p:ubcv:r:245f4bac-07b308da Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.Parameters.EFFCLG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000719,TL3001049,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.Parameters.EFFCLG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.115-07:00 Los_Angeles,"","",Zone Temp Effective Cooling Sp,"",AV3000719,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.Parameters.EFFCLG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.96Z UTC
@p:ubcv:r:245f4bab-d53dbb1f Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-19.ZN-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000207,TL3000787,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-19.ZN-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.117-07:00 Los_Angeles,"","",Zone Temp,"",AI3000207,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-19.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.961Z UTC
@p:ubcv:r:245f4ba8-13b1e9eb Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.DA-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000099,TL3000478,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.DA-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.119-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000099,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-09.DA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.962Z UTC
@p:ubcv:r:245f4bac-3162c062 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Energy Rate,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000239,TL3000838,✓,JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Energy Rate,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.121-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Energy Rate,✓,AI3000239,"",✓,✓,"",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Energy Rate.Trend1,Los_Angeles,kW,"","","","","",2020-04-09T19:01:57.963Z UTC
@p:ubcv:r:245f4bac-3515b74f Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.ZN5-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3001314,TL3001322,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.ZN5-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",50584,2019-05-02T12:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.123-07:00 Los_Angeles,"","",Zone Temp,"",AI3001314,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.ZN5-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.964Z UTC
@p:ubcv:r:245f4baa-23e91f98 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.ZN-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000174,TL3000694,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.ZN-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.125-07:00 Los_Angeles,"","",Zone Temp,"",AI3000174,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.ZN-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.965Z UTC
@p:ubcv:r:245f4bac-1d62d58f Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.F03-S,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000288,TL3000945,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.F03-S,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","Off,On","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-04-22T11:19:33-07:00 Los_Angeles,"","",387,2019-05-04T20:34:22-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.688-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.F03-S,✓,BI3000288,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-20.F03-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:50:08.248Z UTC
@p:ubcv:r:245f4ba8-2a59b718 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-10.CLG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000112,TL3000511,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-10.CLG-O,"",✓,✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.127-07:00 Los_Angeles,"","",Cooling Valve Cmd,"",AO3000112,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-10.CLG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.966Z UTC
@p:ubcv:r:245f4bab-8efb8fef Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  VND-29.Volume Rate,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000224,TL3000823,✓,JCL-NAE07/FCB-01.JCL-NAE03  VND-29.Volume Rate,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.131-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  VND-29.Volume Rate,✓,AI3000224,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  VND-29.Volume Rate.Trend1,Los_Angeles,L/s,"","","","","",2020-04-09T19:01:57.967Z UTC
@p:ubcv:r:245f4bac-1ff5852c Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  VND-35.BI-24,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3002027,TL3004433,✓,JCL-NAE07/FCB-01.JCL-NAE03  VND-35.BI-24,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","Inactive,Active","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T11:28:02-07:00 Los_Angeles,"","",1978,2019-04-30T11:07:42-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.741-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  VND-35.BI-24,✓,BI3002027,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  VND-35.BI-24.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:50:19.496Z UTC
@p:ubcv:r:245f4bac-43107866 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.ZN4-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3001312,TL3001319,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.ZN4-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",50584,2019-05-02T12:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.133-07:00 Los_Angeles,"","",Zone Temp,"",AI3001312,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-26.ZN4-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.968Z UTC
@p:ubcv:r:245f4ba7-cc107cad Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-04.DA-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000047,TL3000331,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-04.DA-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.135-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000047,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-04.DA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.969Z UTC
@p:ubcv:r:245f4bab-40371645 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  VND-28.Energy Rate,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000221,TL3000820,✓,JCL-NAE07/FCB-01.JCL-NAE03  VND-28.Energy Rate,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.137-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  VND-28.Energy Rate,✓,AI3000221,"",✓,✓,"",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  VND-28.Energy Rate.Trend1,Los_Angeles,kW,"","","","","",2020-04-09T19:01:57.97Z UTC
@p:ubcv:r:245f4bac-826abbac Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.ZN1-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000276,TL3000896,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.ZN1-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.139-07:00 Los_Angeles,"","",Zone Temp,"",AI3000276,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.ZN1-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.971Z UTC
@p:ubcv:r:245f4ba9-144abb66 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-11.DA-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000121,TL3000540,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-11.DA-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.141-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000121,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-11.DA-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.972Z UTC
@p:ubcv:r:245f4bac-271a3838 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.Parameters.EFFCLG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000924,TL3001063,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.Parameters.EFFCLG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.143-07:00 Los_Angeles,"","",Zone Temp Effective Cooling Sp,"",AV3000924,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.Parameters.EFFCLG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.973Z UTC
@p:ubcv:r:245f4bac-b7c66e74 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.ZN2-T,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000279,TL3000898,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.ZN2-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:33.145-07:00 Los_Angeles,"","",Zone Temp,"",AI3000279,"","","","",✓,"","","","","","","",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-23.ZN2-T.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.974Z UTC
