id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,boiler,bridgeName,bypass,chilled,cmd,co2,condenser,connRef,cool,cooling,count,covTest,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,des,differential,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heatRecovery,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,johnson,kind,lastSynced,lastTagged,leaving,low,lowLim,mixed,mode,navName,nestHW,noTagMatch,objectId,occ,occupancyIndicator,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,primaryLoop,primarySide,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,scheduled,sensor,siteRef,slab,smokeDetector,sourceID,sp,speed,sqlConnRef,sqlPoint,sump,tagTableRef,temp,temporary,temporaryOccupancy,testUnits,tlName,toTag,tz,uh,unit,utilityPoint,valve,volume,warmCoomAdjust,water,wifi,wifiId,zachName,zone,mod
@p:ubcv:r:22c59c13-a5e3a6ee AMS Nest Rm 3302 VAV-3-15 JCL-NAE42/FCB-02.VMA-08.SAFLOW-SP,"",✓,"","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"",TL3001190,"",✓,JCL-NAE42/FCB-02.VMA-08.SAFLOW-SP,"","","","","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59bf3-02d02b30 AMS Nest Rm 3302 VAV-3-15,"","","","",✓,"",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32644,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:44.35-07:00 Los_Angeles,2019-04-11T16:04:13.995-07:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"","",AV3000140,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043e-6107a6ee AMS Nest Rm 3302,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","","","",JCL-NAE42/FCB-02.VMA-08.SAFLOW-SP.Trend1,"",Los_Angeles,"",L/s,"","","","","","","","","",2020-04-09T19:02:11.253Z UTC
@p:ubcv:r:22c59bf4-25368c3a AMS Nest Rm 3125 VAV-3-12 JCL-NAE41/FCB-02.VMA-32.ZN3125-Q,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3003500,"",✓,JCL-NAE41/FCB-02.VMA-32.ZN3125-Q,"","","","","",✓,"",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59bf3-0ee5e76c AMS Nest Rm 3125 VAV-3-12,"","","","","","",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:25.065-07:00 Los_Angeles,2018-12-07T09:45:34.788-08:00 Los_Angeles,"","","","","",Zone Co2,"","",AI3001251,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043d-78763063 AMS Nest Rm 3125,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-0ca8860f .+(\.|-| )ZN\d+\w\d-Q,"","","","",JCL-NAE41/FCB-02.VMA-32.ZN3125-Q.Trend1,"",Los_Angeles,"",ppm,"","","","","","","","",✓,2020-04-09T19:02:10.675Z UTC
@p:ubcv:r:22c59c15-7a1b4453 AMS Nest Rm 2404 FC-10 to FC-24 JCL-NAE42/FCB-01.FEC-20.HTG-O,"","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"",TL3003814,"",✓,JCL-NAE42/FCB-01.FEC-20.HTG-O,"","","","",✓,"","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22f4bbe7-5900bf1f AMS Nest Rm 2404 FC-10 to FC-24,"","","","","","",@p:ubcv:r:22c04b19-adb85333 AMS Nest Floor 2,✓,"",✓,"",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32869,2018-06-23T18:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,"",Number,2020-05-12T13:58:44.354-07:00 Los_Angeles,2018-12-07T09:45:35.237-08:00 Los_Angeles,"","","","","",Heating Valve Cmd,"","",AO3003800,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22f4bbe7-3fe46d89 AMS Nest Rm 2404,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","","","",JCL-NAE42/FCB-01.FEC-20.HTG-O.Trend1,"",Los_Angeles,"",%,"",✓,"","",✓,"","","","",2020-04-09T19:02:11.256Z UTC
@p:ubcv:r:22c59bf3-ee0c6fcc AMS Nest Unsorted Points JCL-NAE41/FCB-01.FEC-20.AC5-S,"","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3002708,"",✓,JCL-NAE41/FCB-01.FEC-20.AC5-S,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Off,On","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-01-15T12:09:38-08:00 Los_Angeles,"","","",9,2018-06-07T14:50:41-07:00 Los_Angeles,ok,"","","",✓,"",Bool,2020-05-12T14:03:23.243-07:00 Los_Angeles,2018-07-30T13:54:11.4-07:00 Los_Angeles,"","","","","",JCL-NAE41/FCB-01.FEC-20.AC5-S,"",✓,BI3000844,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE41/FCB-01.FEC-20.AC5-S.Trend1,"",Los_Angeles,"","","","","","","","","","","",2020-04-08T18:55:44.135Z UTC
@p:ubcv:r:226b94b2-a7a011a8 AMS Nest HW Submeters Energy Meter - 10 (HW) JCL-NAE43/FCB-01.VENDOR-16.Energy Rate,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3001429,"",✓,JCL-NAE43/FCB-01.VENDOR-16.Energy Rate,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22d78366-6bbe2d1e AMS Nest HW Submeters Energy Meter - 10 (HW),"","","","","","",@p:ubcv:r:21697fca-ea210447 AMS Nest Utilities,"","","","",✓,"","","",2020-05-12T13:45:00-07:00 Los_Angeles,"","","",71368,2018-04-18T23:15:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:49.503-07:00 Los_Angeles,2018-12-03T16:05:32.126-08:00 Los_Angeles,"","","","","",JCL-NAE43/FCB-01.VENDOR-16.Energy Rate,"",✓,AI3001428,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE43/FCB-01.VENDOR-16.Energy Rate.Trend1,"",Los_Angeles,"",kW,"","","","","","","",New SUB Penthouse.Energy meter 10.Energy Rate,"",2020-04-30T11:09:52.412Z UTC
@p:ubcv:r:22c59bf3-d62d3379 AMS Nest Rm 3206e VAV-3-02 JCL-NAE41/FCB-02.VMA-05.SA-F,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3002753,"",✓,JCL-NAE41/FCB-02.VMA-05.SA-F,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59bf3-a4afe074 AMS Nest Rm 3206e VAV-3-02,"","","","",✓,"",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:25.072-07:00 Los_Angeles,2019-04-11T16:04:13.852-07:00 Los_Angeles,"","","","","",Discharge Air Flow,"","",AV3000876,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043e-b37a3522 AMS Nest Rm 3206e,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","","","",JCL-NAE41/FCB-02.VMA-05.SA-F.Trend1,"",Los_Angeles,"",L/s,"","","","","","","","","",2020-04-09T19:02:10.678Z UTC
@p:ubcv:r:22c59c13-615ae6b3 AMS Nest UH-16 JCL-NAE42/FCB-02.FEC-34.UH-SP,"","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"",TL3001853,"",✓,JCL-NAE42/FCB-02.FEC-34.UH-SP,"","","","","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59c13-97d98866 AMS Nest UH-16,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32644,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:44.357-07:00 Los_Angeles,2018-07-30T13:54:09.668-07:00 Los_Angeles,"","","","","",JCL-NAE42/FCB-02.FEC-34.UH-SP,"",✓,AV3000511,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE42/FCB-02.FEC-34.UH-SP.Trend1,"",Los_Angeles,"",°C,"","","","","","","","","",2020-04-09T19:02:11.258Z UTC
@p:ubcv:r:22c59bf3-ec550115 AMS Nest Rm 3301a VAV-3-09 JCL-NAE41/FCB-02.VMA-12.ZN3301a-T,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3002945,"",✓,JCL-NAE41/FCB-02.VMA-12.ZN3301a-T,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c59bf3-f125b665 AMS Nest Rm 3301a VAV-3-09,"","","","","","",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32630,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:25.076-07:00 Los_Angeles,2018-12-07T09:45:34.595-08:00 Los_Angeles,"","","","","",Zone Temp,"","",AI3000985,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043e-25accc7b AMS Nest Rm 3301a,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"","","",JCL-NAE41/FCB-02.VMA-12.ZN3301a-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","","",✓,2020-04-09T19:02:10.681Z UTC
@p:ubcv:r:260ca754-bd021cd2 AMS Nest Unsorted Points JCL-NAE43/FCB-02.FEC-40.Setpoints.EFFDAP-SP,"",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3010947,"","",JCL-NAE43/FCB-02.FEC-40.Setpoints.EFFDAP-SP,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"",✓,"","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-03-23T10:20:48-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [79] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",1,2020-03-23T10:20:48-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:14.472-07:00 Los_Angeles,"","","","","","",Discharge Air Pressure Effective Sp,"","",AV3009870,"","","","","","","",✓,"","",✓,"","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","",✓,"","","","",@p:ubcv:r:23e65d3d-31623b78 .+(\.|-| )EFFDAP-SP,"","","","",JCL-NAE43/FCB-02.FEC-40.Setpoints.EFFDAP-SP.Trend1,"",Los_Angeles,"",Pa,"","","","","","","",AHU-08.EFFDAP-SP,"",2020-04-14T16:50:01.043Z UTC
@p:ubcv:r:22c59bbf-ef426194 AMS Nest Rm LL301 VAV-0-03 JCL-NAE40/FCB-01.VMA-11.ZNLL301-SP,"",✓,"","",@p:ubcv:r:20b868b4-088b26e7 AMS Nest (NAE-40),"",TL3000448,"",✓,JCL-NAE40/FCB-01.VMA-11.ZNLL301-SP,"","","","","","","",@p:ubcv:r:20b868b4-088b26e7 AMS Nest (NAE-40),"","","","","","","","","","","","","",$equipRef $bmsName,"","",✓,"","","","","","","",@p:ubcv:r:22c59bbf-7203f541 AMS Nest Rm LL301 VAV-0-03,"","","","","","",@p:ubcv:r:22c04b19-0bbc31f3 AMS Nest Floor 0,"","","","",✓,"","","",2020-04-17T07:03:21-07:00 Los_Angeles,"","","",93,2018-06-07T14:42:23-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:00:13.385-07:00 Los_Angeles,2018-12-07T09:45:34.597-08:00 Los_Angeles,"","","","","",Zone Temp Effective Sp,"","",AV3000071,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043b-ed2d2225 AMS Nest Rm LL301,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","",✓,"","","","",@p:ubcv:r:23e65d3e-9feca02b .+(\.|-| )ZN(LL)?\d+\w?-SP,✓,"","","",JCL-NAE40/FCB-01.VMA-11.ZNLL301-SP.Trend1,"",Los_Angeles,"",°C,"","","","","","","",FVAV-0-03.ZNLL301-SP,✓,2020-04-09T19:02:09.512Z UTC
@p:ubcv:r:260ca755-a401769a AMS Nest Unsorted Points P33 JCL-NAE43/FCB-02.FEC-46.P33-C,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3010052,"","",JCL-NAE43/FCB-02.FEC-46.P33-C,"","","","",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","",",",P33,@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-03-23T10:20:46-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [96] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",1,2020-03-23T10:20:46-07:00 Los_Angeles,fault,"","","",✓,"",Bool,2020-05-11T00:31:26.248-07:00 Los_Angeles,"","","","","","",Run Cmd,"","",BO3008777,"","","","","","","",✓,"","","","","",✓,"","","","",✓,"","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"","","","",JCL-NAE43/FCB-02.FEC-46.P33-C.Trend1,"",Los_Angeles,"","","","","","","","","",AHU-11.P33-C,"",2020-05-12T11:03:27.837Z UTC
@p:ubcv:r:22c43bc2-38900717 AMS Nest Heating Plant P21a JCL-NAE43/FCB-01.FEC-22.P21a-C,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3000863,"",✓,JCL-NAE43/FCB-01.FEC-22.P21a-C,"","","","",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $equipName $bmsName,"","","","","","","","","Off,On",P21a,@p:ubcv:r:21cadfbc-d21f9acc AMS Nest Heating Plant,"","","","","","",@p:ubcv:r:216980c6-65c96bd9 AMS Nest Hydronic Systems,"","","","",✓,"","","",2020-04-17T07:00:45-07:00 Los_Angeles,"","","",803,2018-06-07T14:54:38-07:00 Los_Angeles,ok,"",✓,"",✓,"",Bool,2020-05-12T13:58:47.913-07:00 Los_Angeles,2018-12-07T09:45:34.597-08:00 Los_Angeles,"","","","","",Run Cmd,"","",BO3000862,"","","","","","","",✓,"","","","","",✓,"","","","",✓,"","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-55a2ccd7 .+(\.|-| )P\d+\w?-(C|E),"","","","",JCL-NAE43/FCB-01.FEC-22.P21a-C.Trend1,"",Los_Angeles,"","","","","","",✓,"","",Solar HW System.P21a-C,"",2020-05-12T11:03:27.608Z UTC
@p:ubcv:r:22c43bc4-acf1ac30 AMS Nest AHU-10 JCL-NAE43/FCB-01.FEC-44.CHWL-T,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3002600,"",✓,JCL-NAE43/FCB-01.FEC-44.CHWL-T,"","","",✓,"","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c41cb3-603c649f AMS Nest AHU-10,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32729,2018-06-24T17:00:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:48.81-07:00 Los_Angeles,2018-12-07T09:45:35.847-08:00 Los_Angeles,✓,"","","","",Leaving Chilled Water Temp,"","",AI3002599,"","","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-e85d01da .+(\.|-| )CHWL-T,✓,"","","",JCL-NAE43/FCB-01.FEC-44.CHWL-T.Trend1,"",Los_Angeles,"",°C,"","","","",✓,"","",AHU-10.CHWL-T,"",2020-04-30T11:09:52.169Z UTC
@p:ubcv:r:260ca753-5120a437 AMS Nest Unsorted Points JCL-NAE43/FCB-02.FEC-59.HTG-O,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3010244,"","",JCL-NAE43/FCB-02.FEC-59.HTG-O,"","","","",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","",✓,"",✓,"","","",2020-03-25T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [73] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",177,2020-03-23T16:15:00-07:00 Los_Angeles,fault,"",✓,"",✓,"",Number,2020-05-11T00:31:26.479-07:00 Los_Angeles,"","","","","","",Heating Valve Cmd,"","",AO3008892,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","","","",JCL-NAE43/FCB-02.FEC-59.HTG-O.Trend1,"",Los_Angeles,"",%,"",✓,"","",✓,"","",HTG-O,"",2020-04-14T16:50:01.044Z UTC
@p:ubcv:r:22c59c14-f2e954f3 AMS Nest Rm 1501 VAV-1-15 JCL-NAE42/FCB-01.VMA-10.DA-T,"",✓,"","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"",TL3002031,"",✓,JCL-NAE42/FCB-01.VMA-10.DA-T,"","","","","","","",@p:ubcv:r:21e6b7aa-8a738fdb AMS Nest (NAE-42),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59c14-de2aaea0 AMS Nest Rm 1501 VAV-1-15,"","","","","","",@p:ubcv:r:22c04b18-65471f25 AMS Nest Floor 1,"","","","",✓,"","","",2020-05-12T13:30:00-07:00 Los_Angeles,"","","",32644,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T13:58:44.373-07:00 Los_Angeles,2019-04-11T16:04:13.7-07:00 Los_Angeles,"","","","","",Discharge Air Temp,"","",AI3000636,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22c04b19-eb1afb27 AMS Nest Rm 1501,"","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,✓,"","","",JCL-NAE42/FCB-01.VMA-10.DA-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","","","",2020-04-09T19:02:11.268Z UTC
@p:ubcv:r:260ca754-f7b6c1fa AMS Nest Unsorted Points JCL-NAE43/FCB-02.FEC-30.Parameters.ZN-T,"",✓,"","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3010912,"","",JCL-NAE43/FCB-02.FEC-30.Parameters.ZN-T,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c3e425-d7257141 AMS Nest Unsorted Points,"","","","","","",@p:ubcv:r:22c3e425-62ef79c7 AMS Nest Unsorted Points,"","","","",✓,"","","",2020-03-25T12:15:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [241] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",177,2020-03-23T16:15:00-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:15.095-07:00 Los_Angeles,"","","","","","",Zone Temp,"","",AV3009620,"","","","","","","",✓,"","","","","","","","","","","","","","",✓,@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,"","","",JCL-NAE43/FCB-02.FEC-30.Parameters.ZN-T.Trend1,"",Los_Angeles,"",°C,"","","","","","","",AHU-03.ZN-T,✓,2020-04-14T16:50:03.183Z UTC
@p:ubcv:r:22c59bf3-dec77c08 AMS Nest Rm 3206e VAV-3-02 JCL-NAE41/FCB-02.VMA-05.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"",TL3002754,"",✓,JCL-NAE41/FCB-02.VMA-05.SAFLOW-SP,"","","","","","","",@p:ubcv:r:2068543e-e3bfabbc AMS Nest (NAE-41),"","","","","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:22c59bf3-a4afe074 AMS Nest Rm 3206e VAV-3-02,"","","","",✓,"",@p:ubcv:r:22c04b18-07b532eb AMS Nest Floor 3,"","","","",✓,"","","",2020-05-12T14:00:00-07:00 Los_Angeles,"","","",32636,2018-06-25T18:30:00-07:00 Los_Angeles,ok,"","","",✓,"",Number,2020-05-12T14:03:25.079-07:00 Los_Angeles,2019-04-11T16:04:13.552-07:00 Los_Angeles,"","","","","",Discharge Air Flow Sp,"","",AV3000877,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:22d2043e-b37a3522 AMS Nest Rm 3206e,"","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","","","",JCL-NAE41/FCB-02.VMA-05.SAFLOW-SP.Trend1,"",Los_Angeles,"",L/s,"","","","","","","","","",2020-04-09T19:02:10.684Z UTC
@p:ubcv:r:22c43bc4-6833b2e3 AMS Nest AHU-04 JCL-NAE43/FCB-01.VENDOR-33.Analog Values.AV-4,"","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"",TL3003617,"",✓,JCL-NAE43/FCB-01.VENDOR-33.Analog Values.AV-4,"","","","","","","",@p:ubcv:r:20684b84-220a7b73 AMS Nest (NAE-43),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:22c43bc3-3b6cf48f AMS Nest AHU-04,"","","","","","",@p:ubcv:r:2203b248-ca87681d AMS Nest Air Systems,"","","","",✓,"","","",2020-04-03T08:30:00-07:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [224] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ","","",61146,2018-06-25T05:00:00-07:00 Los_Angeles,fault,"","","",✓,"",Number,2020-05-11T00:31:26.56-07:00 Los_Angeles,2018-07-30T13:54:07.15-07:00 Los_Angeles,"","","","","",JCL-NAE43/FCB-01.VENDOR-33.Analog Values.AV-4,"",✓,AV3003616,"","","","","","","",✓,"","","","","","","","","","","","","","","",@p:ubcv:r:2068335f-372e9f0b AMS Nest,"","","","","","","","","","","","","",JCL-NAE43/FCB-01.VENDOR-33.Analog Values.AV-4.Trend1,"",Los_Angeles,"",A,"","","","","","","",New SUB Penthouse.AHU-04 VFD.CURRENT,"",2020-04-09T19:02:12.452Z UTC
