,uniqueId,max,min,mean,std,update_rate
62,Elec Submeters LEED-6N6LW1 Utilities 6N6LW1_EnergyPosSumNR 6N6LW1_EnergyPosSumNR,3829.905762,3829.905762,3829.905762000001,0.0,0.6666666666666666
63,Elec Submeters LEED-6NBLC1 Utilities 6NBLC1_EnergyPosSum 6NBLC1_EnergyPosSum,266562.0625,266562.0625,266562.0625,0.0,0.6666666666666666
64,Elec Submeters LEED-6NBLC1 Utilities 6NBLC1_EnergyPosSumNR 6NBLC1_EnergyPosSumNR,266574.59375,266574.59375,266574.59375,0.0,0.6666666666666666
65,Elec Submeters LEED-6NBLW1 Utilities 6NBLW1_EnergyPosSum 6NBLW1_EnergyPosSum,88909.617188,88884.734375,88900.44205733335,8.026123902609653,0.6666666666666666
66,Elec Submeters LEED-6NBLW1 Utilities 6NBLW1_EnergyPosSumNR 6NBLW1_EnergyPosSumNR,88909.617188,88884.757812,88900.44645183334,8.023254584693806,0.6666666666666666
67,Elec Submeters LEED-6NBME1 Utilities 6NBME1_EnergyPosSum 6NBME1_EnergyPosSum,1358742.75,1358673.125,1358695.9765625,25.365252769075948,0.6666666666666666
68,Elec Submeters LEED-6NBME1 Utilities 6NBME1_EnergyPosSumNR 6NBME1_EnergyPosSumNR,1358742.75,1358673.125,1358696.0182291667,25.39616936861462,0.6666666666666666
69,Elec Submeters LEED-6NBMW1 Utilities 6NBMW1_EnergyPosSum 6NBMW1_EnergyPosSum,4506897.0,4505476.0,4506181.635416667,416.0649210233749,0.6666666666666666
70,Elec Submeters LEED-6NBMW1 Utilities 6NBMW1_EnergyPosSumNR 6NBMW1_EnergyPosSumNR,4506897.0,4505476.0,4506181.708333333,416.032589165234,0.6666666666666666
71,Elec Submeters LEED-6NRMC1 Utilities 6NRMC1_EnergyPosSum 6NRMC1_EnergyPosSum,2881004.5,2879863.5,2880434.5833333335,343.1104023885135,0.6666666666666666
72,Elec Submeters LEED-6NRMC1 Utilities 6NRMC1_EnergyPosSumNR 6NRMC1_EnergyPosSumNR,2881005.5,2879864.75,2880435.953125,343.11682946238096,0.6666666666666666
73,Elec Submeters LEED-6NRME1 Utilities 6NRME1_EnergyPosSum 6NRME1_EnergyPosSum,4069656.0,4068718.5,4069180.8854166665,276.1450578489393,0.6666666666666666
74,Elec Submeters LEED-6NRME1 Utilities 6NRME1_EnergyPosSumNR 6NRME1_EnergyPosSumNR,4069656.0,4068718.75,4069181.078125,276.1141172320442,0.6666666666666666
75,Elec Submeters LEED-6NRMW1 Utilities 6NRMW1_EnergyPosSum 6NRMW1_EnergyPosSum,750877.625,750705.5,750790.8046875,51.22403114942805,0.6666666666666666
76,Elec Submeters LEED-6NRMW1 Utilities 6NRMW1_EnergyPosSumNR 6NRMW1_EnergyPosSumNR,750877.5,750705.5,750790.7486979166,51.231274941890284,0.6666666666666666
77,Elec Submeters LEED-6SBME1 Utilities 6SBME1_EnergyPosSum 6SBME1_EnergyPosSum,1889647.375,1888999.25,1889321.546875,193.46052951307811,0.6666666666666666
78,Elec Submeters LEED-6SBME1 Utilities 6SBME1_EnergyPosSumNR 6SBME1_EnergyPosSumNR,1889647.25,1888999.25,1889321.5286458333,193.45350896975165,0.6666666666666666
79,Elec Submeters LEED-6SBMW1 Utilities 6SBMW1_EnergyPosSum 6SBMW1_EnergyPosSum,11486620.0,11481192.0,11483887.145833334,1595.3518519328143,0.6666666666666666
80,Elec Submeters LEED-6SBMW1 Utilities 6SBMW1_EnergyPosSumNR 6SBMW1_EnergyPosSumNR,11486620.0,11481192.0,11483887.145833334,1595.329646313902,0.6666666666666666
